rgn_id,type,label
1,eez,North Coast
2,eez,Haida Gwaii
3,eez,Central Coast
4,eez,North Vancouver Island
5,eez,West Vancouver Island
6,eez,Strait of Georgia
7,eez,Pacific Offshore
8,eez,Aristazabal Island
