rgn_id,year,jobs
1,1990,14720069.8601399
1,1991,14818793.3775502
1,1992,14781957.686685
1,1993,14883753.4620761
1,1994,14994997.6867936
1,1995,15049052.2936191
1,1996,15197743.0671252
1,1997,15449638.2301962
1,1998,15706995.845505
1,1999,15990999.1523455
1,2000,16240678.6835041
1,2001,16490512.0248666
1,2002,16930250.6632582
1,2003,17344157.4046936
1,2004,17583498.1482081
1,2005,17716113.520988
1,2006,17925315.3418581
1,2007,18318195.4040441
1,2008,18648747.5810654
1,2009,18785081.3169733
1,2010,18984515.2231103
1,2011,19144603.3122015
1,2012,19341079.2423086
2,1990,14720069.8601399
2,1991,14818793.3775502
2,1992,14781957.686685
2,1993,14883753.4620761
2,1994,14994997.6867936
2,1995,15049052.2936191
2,1996,15197743.0671252
2,1997,15449638.2301962
2,1998,15706995.845505
2,1999,15990999.1523455
2,2000,16240678.6835041
2,2001,16490512.0248666
2,2002,16930250.6632582
2,2003,17344157.4046936
2,2004,17583498.1482081
2,2005,17716113.520988
2,2006,17925315.3418581
2,2007,18318195.4040441
2,2008,18648747.5810654
2,2009,18785081.3169733
2,2010,18984515.2231103
2,2011,19144603.3122015
2,2012,19341079.2423086
3,1990,14720069.8601399
3,1991,14818793.3775502
3,1992,14781957.686685
3,1993,14883753.4620761
3,1994,14994997.6867936
3,1995,15049052.2936191
3,1996,15197743.0671252
3,1997,15449638.2301962
3,1998,15706995.845505
3,1999,15990999.1523455
3,2000,16240678.6835041
3,2001,16490512.0248666
3,2002,16930250.6632582
3,2003,17344157.4046936
3,2004,17583498.1482081
3,2005,17716113.520988
3,2006,17925315.3418581
3,2007,18318195.4040441
3,2008,18648747.5810654
3,2009,18785081.3169733
3,2010,18984515.2231103
3,2011,19144603.3122015
3,2012,19341079.2423086
4,1990,14720069.8601399
4,1991,14818793.3775502
4,1992,14781957.686685
4,1993,14883753.4620761
4,1994,14994997.6867936
4,1995,15049052.2936191
4,1996,15197743.0671252
4,1997,15449638.2301962
4,1998,15706995.845505
4,1999,15990999.1523455
4,2000,16240678.6835041
4,2001,16490512.0248666
4,2002,16930250.6632582
4,2003,17344157.4046936
4,2004,17583498.1482081
4,2005,17716113.520988
4,2006,17925315.3418581
4,2007,18318195.4040441
4,2008,18648747.5810654
4,2009,18785081.3169733
4,2010,18984515.2231103
4,2011,19144603.3122015
4,2012,19341079.2423086
5,1990,14720069.8601399
5,1991,14818793.3775502
5,1992,14781957.686685
5,1993,14883753.4620761
5,1994,14994997.6867936
5,1995,15049052.2936191
5,1996,15197743.0671252
5,1997,15449638.2301962
5,1998,15706995.845505
5,1999,15990999.1523455
5,2000,16240678.6835041
5,2001,16490512.0248666
5,2002,16930250.6632582
5,2003,17344157.4046936
5,2004,17583498.1482081
5,2005,17716113.520988
5,2006,17925315.3418581
5,2007,18318195.4040441
5,2008,18648747.5810654
5,2009,18785081.3169733
5,2010,18984515.2231103
5,2011,19144603.3122015
5,2012,19341079.2423086
6,1990,14720069.8601399
6,1991,14818793.3775502
6,1992,14781957.686685
6,1993,14883753.4620761
6,1994,14994997.6867936
6,1995,15049052.2936191
6,1996,15197743.0671252
6,1997,15449638.2301962
6,1998,15706995.845505
6,1999,15990999.1523455
6,2000,16240678.6835041
6,2001,16490512.0248666
6,2002,16930250.6632582
6,2003,17344157.4046936
6,2004,17583498.1482081
6,2005,17716113.520988
6,2006,17925315.3418581
6,2007,18318195.4040441
6,2008,18648747.5810654
6,2009,18785081.3169733
6,2010,18984515.2231103
6,2011,19144603.3122015
6,2012,19341079.2423086
7,1990,14720069.8601399
7,1991,14818793.3775502
7,1992,14781957.686685
7,1993,14883753.4620761
7,1994,14994997.6867936
7,1995,15049052.2936191
7,1996,15197743.0671252
7,1997,15449638.2301962
7,1998,15706995.845505
7,1999,15990999.1523455
7,2000,16240678.6835041
7,2001,16490512.0248666
7,2002,16930250.6632582
7,2003,17344157.4046936
7,2004,17583498.1482081
7,2005,17716113.520988
7,2006,17925315.3418581
7,2007,18318195.4040441
7,2008,18648747.5810654
7,2009,18785081.3169733
7,2010,18984515.2231103
7,2011,19144603.3122015
7,2012,19341079.2423086
8,1990,14720069.8601399
8,1991,14818793.3775502
8,1992,14781957.686685
8,1993,14883753.4620761
8,1994,14994997.6867936
8,1995,15049052.2936191
8,1996,15197743.0671252
8,1997,15449638.2301962
8,1998,15706995.845505
8,1999,15990999.1523455
8,2000,16240678.6835041
8,2001,16490512.0248666
8,2002,16930250.6632582
8,2003,17344157.4046936
8,2004,17583498.1482081
8,2005,17716113.520988
8,2006,17925315.3418581
8,2007,18318195.4040441
8,2008,18648747.5810654
8,2009,18785081.3169733
8,2010,18984515.2231103
8,2011,19144603.3122015
8,2012,19341079.2423086
