rgn_id,habitat,year,health
1,soft_bottom,2006,1
1,soft_bottom,2007,1
1,soft_bottom,2008,1
1,soft_bottom,2009,1
1,soft_bottom,2010,1
2,soft_bottom,2006,1
2,soft_bottom,2007,1
2,soft_bottom,2008,1
2,soft_bottom,2009,1
2,soft_bottom,2010,1
3,soft_bottom,2006,1
3,soft_bottom,2007,1
3,soft_bottom,2008,1
3,soft_bottom,2009,1
3,soft_bottom,2010,1
4,soft_bottom,2006,1
4,soft_bottom,2007,1
4,soft_bottom,2008,1
4,soft_bottom,2009,1
4,soft_bottom,2010,1
5,soft_bottom,2006,1
5,soft_bottom,2007,1
5,soft_bottom,2008,1
5,soft_bottom,2009,1
5,soft_bottom,2010,1
6,soft_bottom,2006,1
6,soft_bottom,2007,1
6,soft_bottom,2008,1
6,soft_bottom,2009,1
6,soft_bottom,2010,1
7,soft_bottom,2006,1
7,soft_bottom,2007,1
7,soft_bottom,2008,1
7,soft_bottom,2009,1
7,soft_bottom,2010,1
8,soft_bottom,2006,1
8,soft_bottom,2007,1
8,soft_bottom,2008,1
8,soft_bottom,2009,1
8,soft_bottom,2010,1
