context,variable_name,reference,process_order,type,file,variable,formula,column,where,skip,plot_map,latex,version,comments
,weighting.term,,1,constant,,Beta,0.67,,,,,\Beta,,
,discount.rate,,1,constant,,delta,0,,,,,\delta,,
,goal.weight,,2,file,data/conf/goal_weights.csv,g$alpha,,weight,is.na(parentid),,,,,
,goal,,2,file,data/conf/goal_weights.csv,g$g,,id,is.na(parentid),,,,,
,pressures,,2,file,data/results_global_data.csv,ig$p,ig$p / 100,pressures,,,,,,
,resilience,,2,file,data/results_global_data.csv,ig$r,ig$r / 100,resilience,,,,,,
,goal.subgoal,,2,file,data/results_global_data.csv,ig$g,,goal.subgoal,,,,,,
,region.id,,2,file,data/results_global_data.csv,ig$i,,id,,,,,,
,trend,,2,file,data/results_global_data.csv,ig$T,,trend,,,,,,
,status,,2,file,data/results_global_data.csv,ig$x,,status,,,,,,
,region.id,,2,file,data/regions/regions_global.csv,i$i,,id,,,,,,
,region.label,,2,file,data/regions/regions_global.csv,i$label,,label,,,,,,
FP,,Eq. S16,3,derived,,iFP$w,B_T + sum(Y),,,,,\frac{B_T}{B_T+\sum\limits_{k} Y_k},1,
FP,,,3,derived,,ig$x,w * x_FIS + (1 - w) * w_MAR,,ig$g=='FP',,,w * x_FIS + (1-w)*x_MAR,1,
,likely.future.status,,3,derived,,ig$x_F,1/(1 + delta) * (1 + Beta * ig$T + (1 - Beta) * (ig$r - ig$p)) * ig$x,,,,,(1 + \delta)^{-1} [ 1 + \beta T_i + (1 - \beta) (r_i - p_i) ] x_i,1,
,goal.score,,4,derived,,ig$I,(ig$x + ig$x_F)/2,,,,,"(x_i + \hat{x}_{i,F})/2",,
,index,,5,derived,,i$I,"aggregate(ig$I, by=list(i=ig$i), weighted.mean, g$alpha, na.rm=T)[,2]",,,,T,\sum_{i=1}^{N}\alpha_i I_i,,
,FIS.,,,,,,,,,,,,,
