region_id_2012,rgn_id_2013,rgn_nam_2013,rgn_key_2013,eez_iso3,rgn_typ
1,1,Cocos (Keeling) Islands,CC,CCK,ohi_region
2,94,Heard Island and McDonald Islands,HM,HMD,ohi_region
5,7,British Solomon Islands,SB,SLB,ohi_region
7,9,Federated State of Micronesia,FM,FSM,ohi_region
7,9,"Micronesia, FS",FM,FSM,ohi_region
7,9,Micronesia (Fed. States of),FM,FSM,ohi_region
7,9,Micronesia (Federated States of),FM,FSM,ohi_region
7,9,Micronesia Federated States of,FM,FSM,ohi_region
7,9,"Micronesia, Fed. States of",FM,FSM,ohi_region
7,9,"Micronesia, Fed. Sts.",FM,FSM,ohi_region
7,9,"Micronesia, Fed.States of",FM,FSM,ohi_region
7,9,"Micronesia, Federated States of",FM,FSM,ohi_region
10,14,"China, Taiwan Province of",TW,TWN,ohi_region
10,14,Taiwan (China),TW,TWN,ohi_region
10,14,Taiwan Province of China,TW,TWN,ohi_region
10,14,"Taiwan, China",TW,TWN,ohi_region
10,14,"Taiwan, Province of China",TW,TWN,ohi_region
14,18,"Fiji, Republic of",FJ,FJI,ohi_region
16,21,Democratic People's Republic of Korea,KP,PRK,ohi_region
16,21,"Korea, Dem. People's Rep",KP,PRK,ohi_region
16,21,"Korea, Dem. People's Rep. of",KP,PRK,ohi_region
16,21,"Korea, Dem. Rep.",KP,PRK,ohi_region
16,21,"Korea, Democratic People's Republic of",KP,PRK,ohi_region
16,20,"Korea, South",KR,KOR,ohi_region
17,21,Korea (North),KP,PRK,ohi_region
17,20,Korea Republic of,KR,KOR,ohi_region
17,21,"Korea, North",KP,PRK,ohi_region
17,20,"Korea, Rep.",KR,KOR,ohi_region
17,20,"Korea, Republic of",KR,KOR,ohi_region
17,20,Republic of Korea,KR,KOR,ohi_region
20,28,Comoros,KM,COM,ohi_region
21,32,R_union,RE,REU,ohi_region
21,32,Reunion,RE,REU,ohi_region
23,37,British Indian Ocean Territory (Chagos Archipelago),MU,MUS,ohi_region
25,39,"Maldives, Republic of",MV,MDV,ohi_region
28,42,Madagasca,MG,MDG,ohi_region
33,47,"Yemen, Rep.",YE,YEM,ohi_region
35,49,Sudan (former),SD,SDN,ohi_region
41,56,Cabo Verde,CV,CPV,ohi_region
45,62,Morocco (includes Western Sahara),MA,MAR,ohi_region
48,65,"Gambia, The",GM,GMB,ohi_region
48,65,The Gambia,GM,GMB,ohi_region
50,67,Libyan Arab Jamahiriya,LY,LBY,ohi_region
56,73,Russian Federation,RU,RUS,ohi_region
56,73,Russian Federation (before 9.91: USSR),RU,RUS,ohi_region
56,73,Un. Sov. Soc. Rep.,RU,RUS,ohi_region
60,77,Syrian Arab Republic,SY,SYR,ohi_region
68,95,Falkland Is.(Malvinas),FK,FLK,ohi_region
68,95,Falkland Islands (Islas Malvinas),FK,FLK,ohi_region
68,95,Falkland Islands (Malvinas),FK,FLK,ohi_region
68,89,South Georgia and South Sandwich Islands,GS,SGS,ohi_region
73,100,Congo,CG,COG,ohi_region
73,100,"Congo, R_publique du",CG,COG,ohi_region
73,100,"Congo, Rep.",CG,COG,ohi_region
73,100,"Congo, Republic of",CG,COG,ohi_region
73,100,"Congo, Republic of the",CG,COG,ohi_region
73,100,R_publique du Congo,CG,COG,ohi_region
80,110,Bahamas (The),BS,BHS,ohi_region
80,110,"Bahamas, The",BS,BHS,ohi_region
80,110,The Bahamas,BS,BHS,ohi_region
83,123,Commonwealth of Dominica,DM,DOM,ohi_region
84,116,Puerto Rico,PR,PRI,ohi_region
84,116,United States Virgin Islands,PR,PRI,ohi_region
84,116,US Virgin Islands,PR,PRI,ohi_region
84,116,Virgin Islands,PR,PRI,ohi_region
84,116,Virgin Islands (U.S.),PR,PRI,ohi_region
84,116,Virgin Islands (US),PR,PRI,ohi_region
84,116,"Virgin Islands, U.S.",PR,PRI,ohi_region
85,111,Turks and Caicos Is.,TC,TCA,ohi_region
85,117,UK Virgin Islands,VG,VGB,ohi_region
85,117,Virgin Islands (British),VG,VGB,ohi_region
85,117,"Virgin Islands, British",VG,VGB,ohi_region
86,119,Saint Kitts &amp Nevis,KN,KNA,ohi_region
86,119,St Kitts and Nevis,KN,KNA,ohi_region
86,119,St. Kitts & Nevis,KN,KNA,ohi_region
86,119,St. Kitts and Nevis,KN,KNA,ohi_region
88,122,St Lucia,LC,LCA,ohi_region
88,122,St. Lucia,LC,LCA,ohi_region
92,126,Trinidad & Tobago,TT,TTO,ohi_region
92,126,Trinidad &amp Tobago,TT,TTO,ohi_region
93,127,Saint Vincent &amp the Grenadines,VC,VCT,ohi_region
93,127,Saint Vincent/Grenadines,VC,VCT,ohi_region
93,127,St Vincent and the Grenadines,VC,VCT,ohi_region
93,127,St. Vincent & the Grenadines,VC,VCT,ohi_region
93,127,St.Vincent & Grenadines,VC,VCT,ohi_region
93,127,St. Vincent and The Grenadines,VC,VCT,ohi_region
93,127,St. Vincent and the Grenadines,VC,VCT,ohi_region
94,244,Curacao,CW,CUW,ohi_region
94,220,Saint Maarten (Dutch West Indies),SX,Southern Saint-Martin,ohi_region
94,249,Sint Eustasius,EQ,Sint-Eustasius,ohi_region
94,220,Sint Maarten,SX,Southern Saint-Martin,ohi_region
94,220,Sint Maarten (Dutch part),SX,Southern Saint-Martin,ohi_region
94,220,"Sint Maarten, Dutch West Indies",SX,Southern Saint-Martin,ohi_region
103,137,Ecuador,EC,ECU,ohi_region
103,137,Galapagos,EC,ECU,ohi_region
105,139,Venezuela (Bolivarian Republic of),VE,VEN,ohi_region
105,139,Venezuela Bolivarian Republic of,VE,VEN,ohi_region
105,139,"Venezuela, Boliv Rep of",VE,VEN,ohi_region
105,139,"Venezuela, Bolivarian Republic of",VE,VEN,ohi_region
105,139,"Venezuela, RB",VE,VEN,ohi_region
106,140,Guadeloupe,GX,Guadeloupe and Martinique,ohi_region
106,140,Martinique,GX,Guadeloupe and Martinique,ohi_region
106,221,Northern Saint Martin,MF,Saint Martin,ohi_region
106,221,Saint Martin,MF,Saint Martin,ohi_region
106,221,St. Martin (French part),MF,Saint Martin,ohi_region
108,146,Pitcairn Islands,PN,PCN,ohi_region
109,147,French Polynesia (Tuamotu),PF,PYF,ohi_region
109,161,Wallis and Futuna Islands,WF,WLF,ohi_region
111,13,Guam,MP,MNP,ohi_region
111,158,Howland Island,HB,Howland Island and Baker Island,ohi_region
111,13,N. Mariana Islands,MP,MNP,ohi_region
111,13,Northern Mariana Is.,MP,MNP,ohi_region
111,13,Northern Mariana Islands,MP,MNP,ohi_region
114,12,United States Minor Outlying Islands (Wake Is.),WI,Wake Island,ohi_region
116,163,United States of America,US,USA,ohi_region
119,167,British Guyana,GY,GUY,ohi_region
120,168,Surinam,SR,SUR,ohi_region
121,169,French Guyana,GF,GUF,ohi_region
122,171,Brazil,BR,BRA,ohi_region
122,171,Trinidade,BR,BRA,ohi_region
126,141,Faroe Islands,FO,FRO,ohi_region
131,180,UK,GB,GBR,ohi_region
131,180,United Kingdom of Great Britain and Northern Ireland,GB,GBR,ohi_region
137,186,Serbia and Montenegro,ME,SCG,ohi_region
