"region_id","goal","score","dimension"
260,"FIS",0,"pressures"
261,"FIS",0.8,"pressures"
262,"FIS",0.6,"pressures"
263,"FIS",0.91,"pressures"
264,"FIS",1.97,"pressures"
266,"FIS",0.77,"pressures"
267,"FIS",0.21,"pressures"
269,"FIS",2.37,"pressures"
270,"FIS",1.9,"pressures"
272,"FIS",5.41,"pressures"
273,"FIS",0.39,"pressures"
274,"FIS",18.7,"pressures"
275,"FIS",1.23,"pressures"
276,"FIS",0.26,"pressures"
277,"FIS",3.01,"pressures"
260,"ICO",6.43,"pressures"
261,"ICO",11.3,"pressures"
262,"ICO",11.79,"pressures"
263,"ICO",12.99,"pressures"
264,"ICO",12.13,"pressures"
266,"ICO",10.88,"pressures"
267,"ICO",9.68,"pressures"
269,"ICO",11.29,"pressures"
270,"ICO",10.03,"pressures"
272,"ICO",12.73,"pressures"
273,"ICO",8.8,"pressures"
274,"ICO",13.82,"pressures"
275,"ICO",9.51,"pressures"
276,"ICO",10.1,"pressures"
277,"ICO",8.89,"pressures"
260,"SPP",6.23,"pressures"
261,"SPP",9.41,"pressures"
262,"SPP",9.19,"pressures"
263,"SPP",9.94,"pressures"
264,"SPP",10.33,"pressures"
266,"SPP",9.05,"pressures"
267,"SPP",8.38,"pressures"
269,"SPP",10.25,"pressures"
270,"SPP",9.45,"pressures"
272,"SPP",12.41,"pressures"
273,"SPP",8.14,"pressures"
274,"SPP",21.41,"pressures"
275,"SPP",8.52,"pressures"
276,"SPP",8.57,"pressures"
277,"SPP",9.5,"pressures"
260,"FIS",28,"resilience"
261,"FIS",65.5,"resilience"
262,"FIS",62.97,"resilience"
263,"FIS",72.64,"resilience"
264,"FIS",69.81,"resilience"
266,"FIS",64.64,"resilience"
267,"FIS",57.59,"resilience"
269,"FIS",51.58,"resilience"
270,"FIS",55.31,"resilience"
272,"FIS",49.78,"resilience"
273,"FIS",47.3,"resilience"
274,"FIS",51.59,"resilience"
275,"FIS",46.69,"resilience"
276,"FIS",53.28,"resilience"
277,"FIS",62.87,"resilience"
260,"ICO",28,"resilience"
261,"ICO",65.5,"resilience"
262,"ICO",62.97,"resilience"
263,"ICO",72.64,"resilience"
264,"ICO",69.81,"resilience"
266,"ICO",64.64,"resilience"
267,"ICO",57.59,"resilience"
269,"ICO",51.58,"resilience"
270,"ICO",55.31,"resilience"
272,"ICO",49.78,"resilience"
273,"ICO",47.3,"resilience"
274,"ICO",51.59,"resilience"
275,"ICO",46.69,"resilience"
276,"ICO",53.28,"resilience"
277,"ICO",62.87,"resilience"
260,"SPP",28,"resilience"
261,"SPP",65.5,"resilience"
262,"SPP",62.97,"resilience"
263,"SPP",72.64,"resilience"
264,"SPP",69.81,"resilience"
266,"SPP",64.64,"resilience"
267,"SPP",57.59,"resilience"
269,"SPP",51.58,"resilience"
270,"SPP",55.31,"resilience"
272,"SPP",49.78,"resilience"
273,"SPP",47.3,"resilience"
274,"SPP",51.59,"resilience"
275,"SPP",46.69,"resilience"
276,"SPP",53.28,"resilience"
277,"SPP",62.87,"resilience"
261,"FIS",37,"status"
262,"FIS",29,"status"
263,"FIS",5,"status"
264,"FIS",48,"status"
266,"FIS",33,"status"
267,"FIS",22,"status"
268,"FIS",19,"status"
269,"FIS",31,"status"
270,"FIS",6,"status"
271,"FIS",27,"status"
272,"FIS",4,"status"
273,"FIS",45,"status"
274,"FIS",57,"status"
275,"FIS",23,"status"
276,"FIS",22,"status"
277,"FIS",34,"status"
278,"FIS",85,"status"
260,"FIS",0.39,"trend"
261,"FIS",0,"trend"
262,"FIS",-0.06,"trend"
263,"FIS",0,"trend"
264,"FIS",-0.06,"trend"
266,"FIS",-0.09,"trend"
267,"FIS",-0.03,"trend"
268,"FIS",-0.09,"trend"
269,"FIS",-0.17,"trend"
270,"FIS",0,"trend"
271,"FIS",0.02,"trend"
272,"FIS",0,"trend"
273,"FIS",0,"trend"
274,"FIS",0.31,"trend"
275,"FIS",-0.04,"trend"
276,"FIS",-0.04,"trend"
277,"FIS",-0.04,"trend"
278,"FIS",0.18,"trend"
260,"ICO",47.000086579535,"status"
