targets,layer_old,layer,name,description,citation,units,filename_old,fld_value,fld_id_num,fld_id_chr,fld_category,fld_year,fld_val_num,fld_val_chr,file_exists,val_min,val_max,val_0to1,flds_unused,flds_missing,rows_duplicated,num_ids_unique
AO,rn_ao_access,ao_access,Fisheries management effectiveness and opportunity,The opportunity for artisanal and recreational fishing based on the quality of management of the small- scale fishing sector (Mora et al 2009),5.04,value,r_mora_s4_2013a.csv,value,rgn_id,,,,value,,TRUE,0,0.854,TRUE,,,,185
AO,rny_ao_need,ao_need,"Purchasing power parity as a proxy for subsistence fishing need, by region",The per capita purchasing power parity (PPP) adjusted gross domestic product (GDP): GDPpcPPP,5.05,value,rgn_wb_gdppcppp_rescaled_year_2013b.csv,value,rgn_id,,,year,value,,TRUE,0.389403365,1,TRUE,,,,185
CW,rn_cw_fertilizer_trend,cw_fertilizer_trend,Fertilizer consumption as a proxy for trend in nutrient pollution,Statistics on fertilizer consumption from the Food and Agricultural Organization (FAO) ,5.19,trend score,GL-NCEAS_CW_Fertilizers_trend_v2013a.csv,trend.score,rgn_id,,,,trend.score,,TRUE,-1,1,FALSE,,,,185
CW,rn_cw_pesticide_trend,cw_pesticide_trend,Pesticide consumption as a proxy for trend in chemical pollution,Statistics on pesticides consumption from the Food and Agricultural Organization (FAO) ,5.58,trend score,GL-NCEAS_CW_Pesticides_trend_v2013a.csv,trend.score,rgn_id,,,,trend.score,,TRUE,-1,1.5247679107,FALSE,,,,185
CW,rn_cw_pathogen_trend,cw_pathogen_trend,Trends in access to improved sanitation as a proxy for pathogen pollution trend,Trends in percent of population with access to improved sanitation facilities ,5.57,trend score,po_pathogens_trend_sanitation2008to2011_popninland25km2008to2013.csv,trend,rgn_id,,,,trend,,TRUE,-0.0940269277,0.0324969509,FALSE,,,,185
CW,rn_cw_coastalpopn_trend,cw_coastalpopn_trend,Coastal human population as a proxy for trend in trash,"Coastal population, defined as the total population inland of 25 miles ",5.09,trend score,rgn_popn5yrtrend_inland25mi_2008to2013.csv,trend,rgn_id,,,,trend,,TRUE,-0.1893822466,0.270753851,FALSE,,,,185
FIS,fnk_fis_b_bmsy,fis_b_bmsy,B/Bmsy estimates obtained using the catch-MSY method,,6A,B / B_msy,fnk_fis_b_bmsy_lyr.csv,b_bmsy,fao_id,,taxon_name,year,b_bmsy,,TRUE,0.0461287908,1.9883056589,FALSE,,,,185
FIS,snk_fis_meancatch,fis_meancatch,Catch data for each Taxon/FAO/SAUP region averaged across years (1980-2011),Reported data includes years 2006-2011,6A,metric tons,snk_fis_meancatch_lyr.csv,mean_catch,,fao_saup_id,taxon_name_key,year,mean_catch,,TRUE,1.36907349309404E-005,4795395.86,FALSE,,,,185
FIS,snk_fis_proparea_saup2rgn,fis_proparea_saup2rgn,area of each saup/total OHI reporting region,For converting saup regions to OHI reporting regions,6A,proportion of area,snk_fis_proparea_saup2rgn_lyr.csv,prop_area,saup_id,,rgn_id,,prop_area,,TRUE,1.79195021000782E-005,1,TRUE,,,,185
FP,rn_fp_wildcaught_weight,fp_wildcaught_weight,Fisheries weighting factor,Proportional yield of wild caught fisheries,5.2,value,GL_FP_wildcaught_weight_v2013a_lyr.csv,w_fis,rgn_id,,,,w_fis,,TRUE,0.145926531,1,TRUE,,,,185
HAB CS CP,rnk_hab_health,hab_health,Habitat health,Modeled combined habitat health condition trend,,value,hab_habitat_health.csv,health,rgn_id,,habitat,,health,,TRUE,0,1,TRUE,,,,185
HAB CS CP,rnk_hab_trend,hab_trend,Habitat health trend,Modeled combined habitat health trend,,trend score,hab_habitat_trend.csv,trend,rgn_id,,habitat,,trend,,TRUE,-1,1,FALSE,,,,185
HAB CS CP,rnk_hab_extent,hab_extent,Habitat extent,Modeled combined habitat extent,,km^2,hab_habtitat_extent_NewSeaIce.csv,km2,rgn_id,,habitat,,km2,,TRUE,0,3804040,FALSE,,,,185
ICO,rnk_ico_spp_extinction_status,ico_spp_extinction_status,IUCN extinction risk category for iconic species,International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ,5.29,category,ico_spp_extinction_status.csv,category,rgn_id,,sciname,,,category,TRUE,,,,,,,185
ICO,rnk_ico_spp_popn_trend,ico_spp_popn_trend,IUCN population trend as a proxy for iconic species trend,International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ,5.29,trend score,ico_spp_popn_trend.csv,popn_trend,rgn_id,,sciname,,,popn_trend,TRUE,,,,,,,185
LE pressures,rnk_le_sector_weight,le_sector_weight,Jobs weighting,Jobs weighting by sector (defaulting to 1),,value,le_sector_weight_disaggregateNature2012b.csv,weight,rgn_id,,sector,,weight,,TRUE,1,1,TRUE,,,,185
LIV ECO,rn_liveco_trend,liveco_trend,Modeled livelihoods and economies trend,Modeled livelihoods and economies trend based on new approach,5.41-5.46,trend score,rgn_liv.eco_trend_2013a.csv,value,rgn_id,,component,,value,,TRUE,-0.9984378117,0.9999645353,FALSE,,,,185
LIV ECO,rny_le_popn,le_popn,Total population by subregion,Population data from The World Bank,5.71,count,rgn_wb_pop_2013a_updated.csv,count,rgn_id,,,year,count,,TRUE,0,1350695000,FALSE,,,,185
LSP,rny_lsp_prot_area_inland1km,lsp_prot_area_inland1km,Coastal protected areas inland 1km,Coastal protected areas inland to 1km,5.4,km^2,lsp_prot_area_inland1km.csv,area_km2,rgn_id,,,year,area_km2,,TRUE,0.8732507716,28756.1479081,FALSE,,,,185
LSP,rny_lsp_prot_area_offshore3nm,lsp_prot_area_offshore3nm,Coastal marine protected areas offshore 3km,Coastal marine protected areas offshore to 3nm,5.4,km^2,lsp_prot_area_offshore3nmb.csv,area_km2,rgn_id,,,year,area_km2,,TRUE,0,56272.27972,FALSE,,,,185
MAR,mar_harvest_species,mar_harvest_species,Mariculture species harvested,,,species name,mar_harvest_species_lyr.csv,species,,,species_code,,,species,TRUE,,,,,,,185
MAR,mar_harvest_tonnes,mar_harvest_tonnes,Mariculture harvest,Mariculture harvest by species and year,,tons,MAR_harvest_tonnes_lyr.csv,tonnes,rgn_id,,species_code,year,tonnes,,TRUE,0,3756310,FALSE,,,,185
MAR,mar_sustainability_score,mar_sustainability_score,Mariculture sustainability score,Mariculture sustainability score by species,,sustainability,mar_sustainability_score_lyr.csv,sust_coeff,rgn_id,,species,,sust_coeff,,TRUE,0.1,1,TRUE,,,,185
MAR,mar_trend_years,mar_trend_years,Mariculter years used for trend,,,year string,mar_trend_years_lyr.csv,trend_yrs,rgn_id,,,,,trend_yrs,TRUE,,,,,,,185
MAR,mar_coastalpopn_inland25mi,mar_coastalpopn_inland25mi,Coastal population inland 25 miles,Coastal population inland 25 miles by year (2005-2015),,people,rgn_popsum2005to2015_inland25mi.csv,popsum,rgn_id,,,year,popsum,,TRUE,0,222071000,FALSE,,,,185
NP,rnky_np_harvest_relative,np_harvest_relative,Harvest of marine resources,"Yield and value of six marine resources (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish)",5.51-5.53,value,np_harvest_relative_v2013a_updated_lyr_NAmanualoverride.csv,score,rgn_id,,product,year,score,,TRUE,0,1,TRUE,,,,185
NP,rnk_np_sustainability_score,np_sustainability_score,Sustainability of marine resource harvest,Assigned sustainability based on Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) listed species,5.51-5.53,value,np_sustainability_v2013a_updated_lyr.csv,score,rgn_id,,product,,score,,TRUE,0,1,TRUE,,,,185
NP pressures,rnk_np_weights_combo,np_weights_combo,Harvest of marine resources: weights,Weighting of marine resource harvest,5.51-5.53,tons,np_weight_combo_2013a_updated_lyr.csv,weight,rgn_id,,product,,weight,,TRUE,0,1,TRUE,,,,185
pressures,cc_acid,cc_acid,Ocean acidification,Modeled distribution of the aragonite saturation state (AAS) of the ocean in pre-industrial (~1870) and modern times (2000-2009) from Halpern et al. 2008,5.56,pressure score,cc_acid_2013_NEW.csv,pressure_score,rgn_id,,,,pressure_score,,TRUE,0.0135662,0.974705,TRUE,,,,185
pressures,cc_slr,cc_slr,Sea level rise,Modeled sea level rise after Halpern et al. 2008,5.63,pressure score,cc_slr_2013_NEW.csv,pressure_score,rgn_id,,,,pressure_score,,TRUE,0,0.9090909091,TRUE,,,,185
pressures,cc_sst,cc_sst,Sea surface temperature (SST) anomalies,Modeled sea level rise after Halpern et al. 2008,5.64,pressure score,cc_sst_2013_NEW.csv,pressure_score,rgn_id,,,,pressure_score,,TRUE,0.0011158321,0.3375835028,TRUE,,,,185
pressures,cc_uv,cc_uv,UV radiation,Modeled UV radiation after Halpern et al. 2008,5.76,pressure score,cc_uv_2013_NEW.csv,pressure_score,rgn_id,,,,pressure_score,,TRUE,0.6010214941,0.9090909091,TRUE,,,,185
pressures,fp_art_lb,fp_art_lb,Low bycatch caused by artisanal fishing ,Statistics of low bycatch artisanal fishing using non-destructive practices,5.03,pressure score,fp_art_lb_2013_NEW.csv,pressure_score,rgn_id,,,,pressure_score,,TRUE,0,0.9090909091,TRUE,,,,185
pressures,fp_com_hb,fp_com_hb,High bycatch caused by commercial fishing ,Statistics of destructive commercial fishing practices by 5 different gear types (developed in Halpern et al. 2008),5.11,pressure score,fp_com_hb_2013_NEW.csv,pressure_score,rgn_id,,,,pressure_score,,TRUE,0,0.6093222632,TRUE,,,,185
pressures,fp_com_lb,fp_com_lb,Low bycatch caused by commercial fishing ,Statistics of least destructive commercial fishing practices by 2 different gear types (developed in Halpern et al. 2008),5.12,pressure score,fp_com_lb_2013_NEW.csv,pressure_score,rgn_id,,,,pressure_score,,TRUE,0,0.7150793093,TRUE,,,,185
pressures,sp_genetic,sp_genetic,Introduced species as a proxy for genetic escapes ,Statistics on native or introduced species from the Mariculture Sustainibility Index (MSI),5.22,pressure score,GenEsc_v2013a.csv,pressures.score,rgn_id,,,,pressures.score,,TRUE,0,1,TRUE,,,,185
