goal,component,component_name,po_chemicals,po_trash,hd_intertidal,sp_alien,fp_com_lb,fp_com_hb,cc_sst,cc_acid,cc_slr
FIS,,,1,,,,3,2,1,1,
CW,,,3,3,,,,,2,,
CP,seaice_shoreline,,,,,,,,3,,2
LSP,,,3,2,1,1,2,2,3,1,1
ICO,,,3,2,1,1,3,2,3,1,1
HAB,seaice_extent,,2,2,,1,2,2,3,2,
SPP,,,2,2,1,1,3,3,3,1,1
NP,krill,,2,,,1,3,3,3,2,
LIV,cf,Commericial Fishing,1,0,0,0,3,2,1,1,0
LIV,tour,Tourism,3,3,1,1,2,1,2,1,1
TR,,,3,3,3,1,2,1,2,1,1
