"rgn_id","r0_label","r1_label","r2_label","rgn_label"
1,"Australia","Australia","Australia","Cocos Islands"
2,"Australia","Australia","Australia","Christmas Island"
3,"Australia","Australia","Australia","Norfolk Island"
4,"Australia","Australia","Australia","Macquarie Island"
5,"France","France","France","New Caledonia"
6,"Vanuatu","Vanuatu","Vanuatu","Vanuatu"
7,"Solomon Islands","Solomon Islands","Solomon Islands","Solomon Islands"
8,"Palau","Palau","Palau","Palau"
9,"Micronesia","Micronesia","Micronesia","Micronesia"
10,"Nauru","Nauru","Nauru","Nauru"
11,"Marshall Islands","Marshall Islands","Marshall Islands","Marshall Islands"
12,"United States","United States","United States","Wake Island"
13,"United States","United States","United States","Northern Mariana Islands and Guam"
14,"Taiwan","Taiwan","Taiwan","Taiwan"
15,"Philippines","Philippines","Philippines","Philippines"
16,"Australia","Australia","Australia","Australia"
17,"Papua New Guinea","Papua New Guinea","Papua New Guinea","Papua New Guinea"
18,"Fiji","Fiji","Fiji","Fiji"
19,"Tuvalu","Tuvalu","Tuvalu","Tuvalu"
20,"South Korea","South Korea","South Korea","South Korea"
21,"North Korea","North Korea","North Korea","North Korea"
24,"Cambodia","Cambodia","Cambodia","Cambodia"
25,"Thailand","Thailand","Thailand","Thailand"
26,"India","India","India","Andaman and Nicobar"
28,"Comoro Islands","Comoro Islands","Comoro Islands","Comoro Islands"
29,"France","France","France","Mayotte"
30,"France","France","France","Glorioso Islands"
31,"Seychelles","Seychelles","Seychelles","Seychelles"
32,"France","France","France","R_union"
33,"France","France","France","Juan de Nova Island"
34,"France","France","France","Bassas da India"
35,"France","France","France","Ile Europa"
36,"France","France","France","Ile Tromelin"
37,"Mauritius","Mauritius","Mauritius","Mauritius"
38,"United Kingdom","United Kingdom","United Kingdom","British Indian Ocean Territory"
39,"Maldives","Maldives","Maldives","Maldives"
40,"Sri Lanka","Sri Lanka","Sri Lanka","Sri Lanka"
41,"Mozambique","Mozambique","Mozambique","Mozambique"
42,"Madagascar","Madagascar","Madagascar","Madagascar"
43,"Kenya","Kenya","Kenya","Kenya"
44,"Somalia","Somalia","Somalia","Somalia"
45,"Eritrea","Eritrea","Eritrea","Eritrea"
46,"Djibouti","Djibouti","Djibouti","Djibouti"
47,"Yemen","Yemen","Yemen","Yemen"
48,"Oman","Oman","Oman","Oman"
49,"Sudan","Sudan","Sudan","Sudan"
50,"Saudi Arabia","Saudi Arabia","Saudi Arabia","Saudi Arabia"
51,"Kuwait","Kuwait","Kuwait","Kuwait"
52,"Bahrain","Bahrain","Bahrain","Bahrain"
53,"Pakistan","Pakistan","Pakistan","Pakistan"
54,"United Arab Emirates","United Arab Emirates","United Arab Emirates","United Arab Emirates"
55,"Portugal","Portugal","Portugal","Azores"
56,"Cape Verde","Cape Verde","Cape Verde","Cape Verde"
57,"Portugal","Portugal","Portugal","Madeira"
58,"Spain","Spain","Spain","Canary Islands"
59,"Belgium","Belgium","Belgium","Belgium"
60,"United Kingdom","United Kingdom","United Kingdom","Gibraltar"
61,"Tunisia","Tunisia","Tunisia","Tunisia"
62,"Morocco","Morocco","Morocco","Morocco"
63,"Morocco","Morocco","Morocco","Western Sahara"
64,"Mauritania","Mauritania","Mauritania","Mauritania"
65,"Gambia","Gambia","Gambia","Gambia"
66,"Senegal","Senegal","Senegal","Senegal"
67,"Libya","Libya","Libya","Libya"
68,"Malta","Malta","Malta","Malta"
69,"Latvia","Latvia","Latvia","Latvia"
70,"Estonia","Estonia","Estonia","Estonia"
71,"Bulgaria","Bulgaria","Bulgaria","Bulgaria"
72,"Romania","Romania","Romania","Romania"
73,"Russia","Russia","Russia","Russia"
74,"Georgia","Georgia","Georgia","Georgia"
75,"Ukraine","Ukraine","Ukraine","Ukraine"
76,"Turkey","Turkey","Turkey","Turkey"
77,"Syria","Syria","Syria","Syria"
78,"Lebanon","Lebanon","Lebanon","Lebanon"
79,"Israel","Israel","Israel","Israel"
80,"Greece","Greece","Greece","Greece"
81,"Cyprus","Cyprus","Cyprus","Cyprus"
82,"Albania","Albania","Albania","Albania"
84,"Algeria","Algeria","Algeria","Algeria"
85,"United Kingdom","United Kingdom","United Kingdom","Ascension"
86,"United Kingdom","United Kingdom","United Kingdom","Saint Helena"
88,"United Kingdom","United Kingdom","United Kingdom","Tristan da Cunha"
89,"United Kingdom","United Kingdom","United Kingdom","South Georgia and the South Sandwich Islands"
90,"South Africa","South Africa","South Africa","Prince Edward Islands"
91,"France","France","France","Crozet Islands"
92,"France","France","France","Amsterdam Island and Saint Paul Island"
93,"France","France","France","Kerguelen Islands"
94,"Australia","Australia","Australia","Heard and McDonald Islands"
95,"United Kingdom","United Kingdom","United Kingdom","Falkland Islands"
96,"Sierra Leone","Sierra Leone","Sierra Leone","Sierra Leone"
97,"Liberia","Liberia","Liberia","Liberia"
98,"Togo","Togo","Togo","Togo"
99,"Benin","Benin","Benin","Benin"
100,"Republique du Congo","Republique du Congo","Republique du Congo","Republique du Congo"
101,"Namibia","Namibia","Namibia","Namibia"
102,"South Africa","South Africa","South Africa","South Africa"
103,"Sao Tome and Principe","Sao Tome and Principe","Sao Tome and Principe","Sao Tome and Principe"
104,"Equatorial Guinea","Equatorial Guinea","Equatorial Guinea","Equatorial Guinea"
105,"Norway","Norway","Norway","Bouvet Island"
106,"Ghana","Ghana","Ghana","Ghana"
107,"France","France","France","Clipperton Island"
108,"United Kingdom","United Kingdom","United Kingdom","Bermuda"
110,"Bahamas","Bahamas","Bahamas","Bahamas"
111,"United Kingdom","United Kingdom","United Kingdom","Turks and Caicos Islands"
112,"Cuba","Cuba","Cuba","Cuba"
113,"United Kingdom","United Kingdom","United Kingdom","Cayman Islands"
114,"Haiti","Haiti","Haiti","Haiti"
115,"Dominican Republic","Dominican Republic","Dominican Republic","Dominican Republic"
116,"United States","United States","United States","Puerto Rico and Virgin Islands of the United States"
117,"United Kingdom","United Kingdom","United Kingdom","British Virgin Islands"
118,"United Kingdom","United Kingdom","United Kingdom","Anguilla"
119,"Saint Kitts and Nevis","Saint Kitts and Nevis","Saint Kitts and Nevis","Saint Kitts and Nevis"
120,"Antigua and Barbuda","Antigua and Barbuda","Antigua and Barbuda","Antigua and Barbuda"
121,"United Kingdom","United Kingdom","United Kingdom","Montserrat"
122,"Saint Lucia","Saint Lucia","Saint Lucia","Saint Lucia"
123,"Dominica","Dominica","Dominica","Dominica"
124,"Barbados","Barbados","Barbados","Barbados"
125,"Grenada","Grenada","Grenada","Grenada"
126,"Trinidad and Tobago","Trinidad and Tobago","Trinidad and Tobago","Trinidad and Tobago"
127,"Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","Saint Vincent and the Grenadines"
129,"Panama","Panama","Panama","Panama"
130,"Costa Rica","Costa Rica","Costa Rica","Costa Rica"
131,"Nicaragua","Nicaragua","Nicaragua","Nicaragua"
132,"Colombia","Colombia","Colombia","Colombia"
133,"Honduras","Honduras","Honduras","Honduras"
134,"El Salvador","El Salvador","El Salvador","El Salvador"
135,"Mexico","Mexico","Mexico","Mexico"
