ccamlr_id3,ccamlr_id2,ccamlr_id,sp_id,label,sp_key,rgn_id,rgn_name,rgn_key
481,48.1,481,248100,CCAMLR 48.1,XAQ481,213,Antarctica,ATA
482,48.2,482,248200,CCAMLR 48.2,XAQ482,213,Antarctica,ATA
483,48.3,483,248300,CCAMLR 48.3,XAQ483,213,Antarctica,ATA
484,48.4,484,248400,CCAMLR 48.4,XAQ484,213,Antarctica,ATA
485,48.5,485,248500,CCAMLR 48.5,XAQ485,213,Antarctica,ATA
486,48.6,486,248600,CCAMLR 48.6,XAQ486,213,Antarctica,ATA
5841,58.4.1,5841,258410,CCAMLR 58.4.1,XAQ5841,213,Antarctica,ATA
5842,58.4.2,5842,258420,CCAMLR 58.4.2,XAQ5842,213,Antarctica,ATA
5843a,58.4.3.a,58431,258431,CCAMLR 58.4.3.a,XAQ5843a,213,Antarctica,ATA
5843b,58.4.3.b,58432,258432,CCAMLR 58.4.3.b,XAQ5843b,213,Antarctica,ATA
5844a,58.4.4.a,58441,258441,CCAMLR 58.4.4.a,XAQ5844a,213,Antarctica,ATA
5844b,58.4.4.b,58442,258442,CCAMLR 58.4.4.b,XAQ5844b,213,Antarctica,ATA
5851,58.5.1,5851,258510,CCAMLR 58.5.1,XAQ5851,213,Antarctica,ATA
5852,58.5.2,5852,258520,CCAMLR 58.5.2,XAQ5852,213,Antarctica,ATA
586,58.6,586,258600,CCAMLR 58.6,XAQ586,213,Antarctica,ATA
587,58.7,587,258700,CCAMLR 58.7,XAQ587,213,Antarctica,ATA
881,88.1,881,288100,CCAMLR 88.1,XAQ881,213,Antarctica,ATA
882,88.2,882,288200,CCAMLR 88.2,XAQ882,213,Antarctica,ATA
883,88.3,883,288300,CCAMLR 88.3,XAQ883,213,Antarctica,ATA
