sp_id,sector,weight
248100,cf,1
248200,cf,1
248300,cf,1
248400,cf,1
248500,cf,1
248600,cf,1
258410,cf,1
258420,cf,1
258431,cf,1
258432,cf,1
258441,cf,1
258442,cf,1
258510,cf,1
258520,cf,1
258600,cf,1
258700,cf,1
288100,cf,1
288200,cf,1
288300,cf,1
248100,tour,1
248200,tour,1
248300,tour,1
248400,tour,1
248500,tour,1
248600,tour,1
258410,tour,1
258420,tour,1
258431,tour,1
258432,tour,1
258441,tour,1
258442,tour,1
258510,tour,1
258520,tour,1
258600,tour,1
258700,tour,1
288100,tour,1
288200,tour,1
288300,tour,1
