ccamlr_id2,ccamlr_id,sp_id,sp_name,area_km2
48.1,481,248100,CCAMLR 48.1,669951.8895
48.2,482,248200,CCAMLR 48.2,695730.6985
48.3,483,248300,CCAMLR 48.3,281919.7076
48.4,484,248400,CCAMLR 48.4,404149.0341
48.5,485,248500,CCAMLR 48.5,2626411.979
48.6,486,248600,CCAMLR 48.6,5981736.195
58.4.1,5841,258410,CCAMLR 58.4.1,4594812.783
58.4.2,5842,258420,CCAMLR 58.4.2,1560771.134
58.4.3.a,58431,258431,CCAMLR 58.4.3.a,498502.294
58.4.3.b,58432,258432,CCAMLR 58.4.3.b,670903.588
58.4.4.a,58441,258441,CCAMLR 58.4.4.a,1074440.142
58.4.4.b,58442,258442,CCAMLR 58.4.4.b,1414463.376
58.5.1,5851,258510,CCAMLR 58.5.1,514945.423
58.5.2,5852,258520,CCAMLR 58.5.2,242297.9058
58.6,586,258600,CCAMLR 58.6,330593.8405
58.7,587,258700,CCAMLR 58.7,138114.7648
88.1,881,288100,CCAMLR 88.1,2976192.814
88.2,882,288200,CCAMLR 88.2,4968313.244
88.3,883,288300,CCAMLR 88.3,2247746.657
