"sp_id","habitat","km2"
248100,"seaice_shoreline",25830.2696078431
248200,"seaice_shoreline",NA
248300,"seaice_shoreline",NA
248400,"seaice_shoreline",NA
248500,"seaice_shoreline",57990.1960784312
248600,"seaice_shoreline",44730.3921568628
258410,"seaice_shoreline",87516.8504901958
258420,"seaice_shoreline",51588.5416666667
258431,"seaice_shoreline",NA
258432,"seaice_shoreline",NA
258441,"seaice_shoreline",NA
258442,"seaice_shoreline",NA
258510,"seaice_shoreline",NA
258520,"seaice_shoreline",NA
258600,"seaice_shoreline",NA
258700,"seaice_shoreline",NA
288100,"seaice_shoreline",45251.2254901961
288200,"seaice_shoreline",48345.5882352941
288300,"seaice_shoreline",46228.5539215686
248100,"seaice_extent",130115.428921569
248200,"seaice_extent",223383.670343137
248300,"seaice_extent",NA
248400,"seaice_extent",55203.4007352943
248500,"seaice_extent",1612638.1495098
248600,"seaice_extent",1639311.80147059
258410,"seaice_extent",774960.06127451
258420,"seaice_extent",749902.359068625
258431,"seaice_extent",51778.3700980392
258432,"seaice_extent",133407.861519608
258441,"seaice_extent",49870.9681372549
258442,"seaice_extent",60183.1127450979
258510,"seaice_extent",NA
258520,"seaice_extent",NA
258600,"seaice_extent",NA
258700,"seaice_extent",NA
288100,"seaice_extent",1111296.17647059
288200,"seaice_extent",1749712.12622549
288300,"seaice_extent",475211.544117647
