"country_id","value"
"ABW",139.93
"AFG",641358.44
"AGO",1252934.88
"AIA",74.48
"ALA",1527
"ALB",28798
"Amsterdam Island and Saint Paul Island",62
"AND",336.24
"Andaman and Nicobar",8249
"ANT",439.73
"ARE",68171.94
"ARG",2776912.75
"ARM",30178.02
"Ascension",88
"ASM",84.2
"ATA",12277658
"ATF",6290.3
"ATG",255.13
"AUS",7694273
"AUT",82868.58
"AZE",164056.11
"Azores",2355
"Bassas da India",80
"BDI",27098
"BEL",30711.36
"BEN",118508.78
"BES",288
"BFA",274056.25
"BGD",135692.92
"BGR",110522.95
"BHR",236.33
"BHS",10714.22
"BIH",51366.25
"BLM",21
"BLR",205963.55
"BLZ",22667.9
"BMU",14.4
"BOL",1090564
"BRA",8493132
"BRB",245.43
"BRN",6077.5
"BTN",39408.2
"BVT",30.27
"BWA",579782.88
"CAF",619932.75
"CAN",9832884
"Canary Islands",7770
"CCK",10.07
"CHE",41853.7
"CHL",722510.94
"CHN",9402886.98
"CIV",321084.97
"Clipperton Island",6
"CMR",466386.53
"COD",2336470.5
"COG",345447.38
"COK",55.3
"COL",1143017.13
"COM",1118.58
"CPV",2167.95
"CRI",52894.45
"Crozet Islands",352
"CUB",107891.05
"CUW",444
"CXR",98.77
"CYM",157.76
"CYP",9894.22
"CZE",78281.99
"DEU",355245.97
"DJI",20502.8
"DMA",424.29
"DNK",41103.48
"DOM",47265.95
"DZA",2323510.25
"Easter Island",164
"ECU",254766.78
"EGY",1000941.5
"ERI",119905.37
"ESH",268178.63
"ESP",503250.28
"EST",45514.89
"ETH",1134156
"FIN",330957.66
"FJI",17815.56
"FLK",10216.81
"FRA",546970.19
"FRO",709.82
"FSM",156.1
"GAB",262970.88
"Galapagos Islands",7909
"GBR",238074.31
"GEO",69676.67
"GGY",76
"GHA",240310.2
"GIB",5.45
"GIN",245517.03
"Glorioso Islands",5
"GLP",1628
"GMB",9969.62
"GNB",31398.49
"GNQ",26692.88
"GRC",125514.83
"GRD",178.96
"GRL",2118139.75
"GTM",109829.01
"GUF",89150
"GUM",329.16
"GUY",210335.67
"HKG",1042
"HMD",285.62
"HND",113029.05
"Howland Island and Baker Island",268
"HRV",53541.31
"HTI",27949.04
"HUN",92174.04
"IDN",1847033
"Ile Europa",28
"Ile Tromelin",1
"IMN",572
"IND",3153009.5
"IOT",170.04
"IRL",67565.41
"IRN",1680135.5
"IRQ",434753.59
"ISL",99899.67
"ISR",22670.52
"ITA",301101.38
"JAM",10991.5
"Jarvis Island",152
"JEY",116
"Johnston Atoll",276.6
"JOR",87398.57
"JPN",370726.88
"Juan de Nova Island",4.4
"KAZ",2832825.5
"KEN",584683.38
"Kerguelen Islands",7215
"KGZ",200634.06
"KHM",181910.77
"KIR",266.56
"KNA",164.62
"KOR",94773.46
"KWT",16688.05
"LAO",231035.45
"LBN",10807.67
"LBR",95658.84
"LBY",1626966.25
"LCA",321.07
"LIE",111.56
"Line Group",7
"LKA",64665.21
"LSO",30800.45
"LTU",64438.66
"LUX",2578.1
"LVA",64744.68
"MAC",29.7
"Macquarie Island",128
"Madeira",740.7
"MAF",54.4
"MAR",406452.22
"MCO",5.16
"MDA",33548.09
"MDG",591712.5
"MDV",373.8
"MEX",1953851.13
"MHL",12.2
"MKD",25272.36
"MLI",1258012.5
"MLT",211.5
"MMR",659592.25
"MNE",13773.34
"MNG",1557318.38
"MNP",73.46
"MOZ",793979.56
"MRT",1038293.31
"MSR",76.95
"MTQ",1128
"MUS",1413.31
"MWI",117440.33
"MYS",328536.47
"MYT",268
"NAM",827896.88
"NCL",17946.31
"NER",1184364.38
"NFK",38.97
"NGA",913387.88
"NIC",129795.64
"NIU",179.81
"NLD",34690.89
"NOR",305865.69
"NPL",148252.95
"NRU",19
"NZL",267214.28
"Oecussi Ambeno",815
"OMN",310328.06
"PAK",880202.69
"Palmyra Atoll",1949
"PAN",73680.19
"PCN",27.7
"PER",1296605.13
"PHL",280957.72
"Phoenix Group",27.6
"PLW",231.26
"PNG",458665.63
"POL",312136.16
"PRI",9084.03
"Prince Edward Islands",335
"PRK",122847.42
"PRT",90411.11
"PRY",401190.78
"PSE",227.79
"PYF",909.84
"QAT",10621.14
"REU",2512
"ROU",237076.48
"RUS",16897294
"RWA",25036.19
"SAU",1936712.75
"SCG",90926
"SDN",2496340
"SEN",197395.88
"SGP",397.65
"SGS",3415.89
"SHN",89.05
"SJM",60119.17
"SLB",21573.21
"SLE",73113.2
"SLV",19916.57
"SMR",32.78
"SOM",637888.06
"Southern Saint-Martin",34
"SPM",285.68
"SRB",87960.13
"STP",708.07
"SUR",143154.78
"SVK",48560.4
"SVN",20625.4
"SWE",442245.72
"SWZ",16822.51
"SXM",34
"SYC",222.19
"SYR",190030.31
"TCA",163.4
"TCD",1270759.38
"TGO",56187.42
"THA",515356.84
"TJK",143923.55
"TKL",4.8
"TKM",552479.13
"TLS",15495.72
"TON",255.5
"Trindade",10.4
"Tristan da Cunha",207
"TTO",4421.14
"TUN",156669.36
"TUR",778601.81
"TUV",17.49
"TWN",35980
"TZA",942535.94
"UGA",245630.75
"UKR",593787.69
"URY",178437.8
"USA",9426295
"UZB",446632.97
"VAT",0.44
"VCT",236.51
"VEN",913485.19
"VGB",40.02
"VIR",177.64
"VNM",322742.56
"VUT",8456.53
"Wake Island",6.5
"WLF",55.2
"WSM",2022.66
"YEM",455125.97
"ZAF",1219930.25
"ZMB",753941.38
"ZWE",391456.09
