"country_id","year","value"
"ABW",1988,842364532.02
"ABW",1989,911330049.261
"ABW",1990,969458128.079
"ABW",1991,975369458.128
"ABW",1992,1101477832.51
"ABW",1993,1040394088.67
"ABW",1994,951724137.931
"ABW",1995,960591133.005
"ABW",1996,1398029556.65
"ABW",1997,1559605911.33
"ABW",1998,1600985221.67
"ABW",1999,1514285714.29
"ABW",2000,1468965517.24
"ABW",2001,1365517241.38
"ABW",2002,1352709359.61
"ABW",2003,1307389162.56
"ABW",2004,1625615763.55
"ABW",2005,1723152709.36
"ABW",2006,1772413793.1
"ABW",2007,1949753694.58
"ABW",2008,1975369458.13
"ABW",2009,1949753694.58
"ABW",2010,1941871921.18
"AGO",1988,6893706.66946
"AGO",1989,7871172.5405
"AGO",1990,7253825.67458
"AGO",1991,5607567.36545
"AGO",1992,4115645.77281
"AGO",1993,6996597.81378
"AGO",1994,10443451.1485
"AGO",1995,13684522.1946
"AGO",1996,15639453.9367
"AGO",1997,14610542.4935
"AGO",1998,27986391.2551
"AGO",1999,25980013.9409
"AGO",2000,23870745.4823
"AGO",2001,45374994.6452
"AGO",2002,49490640.418
"AGO",2003,51548463.3045
"AGO",2004,65438767.7877
"AGO",2005,73515722.6168
"AGO",2006,71972355.452
"AGO",2007,97232131.3826
"AGO",2008,95688764.2178
"AGO",2009,117913251.391
"AGO",2010,102891144.32
"AIA",1988,88669950.7389
"AIA",1989,59113300.4926
"AIA",1990,78817733.9901
"AIA",1991,68965517.2414
"AIA",1992,68965517.2414
"AIA",1993,88669950.7389
"AIA",1994,103448275.862
"AIA",1995,88669950.7389
"AIA",1996,98522167.4877
"AIA",1997,115270935.961
"AIA",1998,109359605.911
"AIA",1999,108374384.236
"AIA",2000,98522167.4877
"AIA",2001,105418719.212
"AIA",2002,88669950.7389
"AIA",2003,98522167.4877
"AIA",2004,98522167.4877
"AIA",2005,114285714.286
"AIA",2006,129064039.409
"AIA",2007,139901477.833
"AIA",2008,126108374.384
"AIA",2009,106403940.887
"AIA",2010,120197044.335
"ALB",1988,332516967.255
"ALB",1989,366178055.596
"ALB",1990,358445102.869
"ALB",1991,322509616.668
"ALB",1992,400294023.508
"ALB",1993,319780339.235
"ALB",1994,245634968.971
"ALB",1995,264739911.002
"ALB",1996,235627618.383
"ALB",1997,236537377.528
"ALB",1998,236537377.528
"ALB",1999,382553720.194
"ALB",2000,507645602.54
"ALB",2001,591798323.391
"ALB",2002,700514541.14
"ALB",2003,700969420.712
"ALB",2004,711886530.444
"ALB",2005,832884496.641
"ALB",2006,922040892.786
"ALB",2007,1068512115.02
"ALB",2008,1129920857.27
"ALB",2009,1310508047.42
"ALB",2010,1417404746.88
"ANT",1988,823645320.197
"ANT",1989,892610837.438
"ANT",1990,1041379310.34
