"country_id","year","value"
"ABW",2002,2316573563
"ABW",2005,10326680330.5
"ABW",2006,10326673928.2
"ABW",2007,10323696146
"ABW",2008,10319181126.9
"ABW",2009,10314044641.4
"ABW",2010,10308744494
"AGO",2002,13856652661
"AGO",2005,34187907314
"AGO",2006,48825124143
"AGO",2007,63566345320
"AGO",2008,85287246710
"AGO",2009,76720416950
"AGO",2010,84390572977
"AIA",2005,10326680330.5
"AIA",2006,10326673928.2
"AIA",2007,10323696146
"AIA",2008,10319181126.9
"AIA",2009,10314044641.4
"AIA",2010,10308744494
"ALB",2002,5393179946
"ALB",2004,8619453753
"ALB",2005,9348754175
"ALB",2006,9873040359
"ALB",2007,11256215395
"ALB",2008,13139466590
"ALB",2009,12240733664
"ALB",2010,11786099138
"ANT",1998,10068330950.2
"ANT",2002,10288207336.6
"ANT",2004,10321800655.5
"ANT",2005,10326680330.5
"ANT",2006,10326673928.2
"ANT",2007,10323696146
"ANT",2008,10319181126.9
"ANT",2009,10314044641.4
"ANT",2010,10308744494
"ARE",2002,91254164374
"ARE",2004,119843041294
"ARE",2005,148437352290
"ARE",2006,176536350783
"ARE",2007,218264754245
"ARE",2008,264790134903
"ARE",2009,233995811584
"ARE",2010,140868584658
"ARG",1998,399663585882
"ARG",2002,123685253647
"ARG",2003,153551069945
"ARG",2004,176823882071
"ARG",2005,204456929621
"ARG",2006,231422952648
"ARG",2007,274204735278
"ARG",2008,330979405435
"ARG",2009,312074974487
"ARG",2010,368711957358
"ASM",2005,176991826.339
"ASM",2008,184782485.597
"ATG",1998,828926490
"ATG",2002,864888874
"ATG",2003,892307339
"ATG",2005,967431365
"ATG",2006,1092844826
"ATG",2007,1214896579
"ATG",2008,1219163946
"ATG",2009,1115537489
"ATG",2010,1014981481
"AUS",2002,481502340272
"AUS",2003,555057868485
"AUS",2004,710480368858
"AUS",2005,776823302618
"AUS",2006,810071796864
"AUS",2007,900963577056
"AUS",2008,1053105466440
"AUS",2009,939881228171
"AUS",2010,623465994458
"BDI",2003,704979827
"BDI",2004,767313994
"BDI",2005,888262137
"BDI",2006,993322541
"BDI",2007,1030268141
"BDI",2008,1184296019
"BEL",2002,306003000074
"BEL",2003,368710750698
"BEL",2004,416985633972
"BEL",2005,420331109518
"BEL",2006,431474414120
"BEL",2007,482249975677
"BEL",2008,512030105066
"BEL",2009,478822228275
"BEL",2010,467471523179
"BEN",1997,2930370962
"BEN",1998,3121075250
"BEN",2005,4785115942
"BEN",2006,5118744938
"BEN",2007,5831943017
"BEN",2008,6770764857
"BEN",2009,6745998089
"BEN",2010,6633055846
"BGD",1998,58946195385
"BGD",2002,57661975844
"BGD",2003,61509077589
"BGD",2004,65312637428
"BGD",2005,67274063589
"BGD",2006,66920126201
"BGD",2007,71940506175
"BGD",2008,80602179005
"BGD",2009,90812771791
"BGD",2010,100075925463
"BGR",2002,19368720494
"BGR",2005,32248977165
"BGR",2006,35901825649
"BGR",2007,44283549759
"BGR",2008,52507464667
"BGR",2009,49358449199
"BGR",2010,47714490183
"BHR",1998,8267300926
"BHR",2002,10292343273
"BHR",2005,15022542734
"BHR",2006,17140478866
"BHR",2007,19424918705
"BHR",2008,22191380531
"BHR",2009,20929776368
"BHR",2010,140868584658
"BHS",1997,5712991746
"BHS",1998,6302323956
"BHS",2002,7166436480
"BHS",2005,7264257711
"BHS",2006,7433113514
"BHS",2007,7606687697
"BHS",2008,7394026227
"BHS",2009,7192268395
"BHS",2010,7.538e+09
"BIH",2002,8062092338
"BIH",2005,12012910435
"BIH",2006,13248013840
"BIH",2007,16011284943
"BIH",2008,18744274733
"BIH",2009,17319515833
"BIH",2010,16887610020
"BLM",1998,10068330950.2
"BLM",2008,10319181126.9
"BLZ",1998,920952504
"BLZ",2002,1130516852
"BLZ",2003,1170852000
"BLZ",2004,1219750238
"BLZ",2005,1244279696
"BLZ",2006,1311464249
"BLZ",2007,1342535916
"BLZ",2008,1376595745
"BLZ",2009,1373475610
"BLZ",2010,1431500000
"BMU",1997,3984819293
"BMU",1998,4185491979
"BMU",2005,5408646205
"BMU",2006,5824191351
"BMU",2007,6162718191
"BMU",2008,6147819656
"BMU",2009,5808231707
"BMU",2010,10308744494
"BOL",2003,9576299140
"BOL",2007,13796548310
"BRA",1998,1128110296080
"BRA",2002,611177247241
"BRA",2003,654584464772
"BRA",2004,766466512702
"BRA",2005,984581798773
"BRA",2006,1177207869630
"BRA",2007,1436364512660
"BRA",2008,1674399421710
"BRA",2009,1620416336410
"BRA",2010,2087889553820
"BRB",2000,3239050694
"BRB",2001,3145550657
"BRB",2002,3001340392
"BRB",2003,3192985447
"BRB",2004,3260969977
"BRB",2005,3353794643
"BRB",2006,3449621622
"BRB",2007,3584858044
"BRB",2008,3718556548
"BRB",2009,3653669627
"BRB",2010,3.203e+09
"BRN",2001,6897894808
"BRN",2002,7082823154
"BRN",2003,7769351976
"BRN",2005,10637726373
"BRN",2006,12400760002
"BRN",2007,12878683380
"BRN",2008,14582673828
"BRN",2009,10906946172
"BRN",2010,186769445450
"BWA",2002,7383400359
"BWA",2003,9581406796
"BWA",2004,11603534469
"BWA",2005,11445813296
"BWA",2007,13014127770
"CAN",1998,824554051789
"CAN",2001,881063489802
"CAN",2002,890499334774
"CAN",2003,1025916164040
"CAN",2004,1145758508260
"CAN",2005,1265357126650
"CAN",2006,1382281996370
"CAN",2007,1497440304360
"CAN",2008,1518852899960
"CAN",2009,1357792388830
"CAN",2010,1574052204910
"CHE",2001,314026781018
"CHE",2008,509065124909
"CHL",1998,106114434599
"CHL",2001,84443710674
"CHL",2002,81533822271
"CHL",2003,87665412814
"CHL",2004,110453504018
"CHL",2005,131975033773
"CHL",2006,158673085744
"CHL",2007,172781515922
"CHL",2008,172989872269
"CHL",2009,163474862361
"CHL",2010,203442593943
"CHN",1998,1362912547230
"CHN",2002,1762215378920
"CHN",2003,1944264531240
"CHN",2004,2230535648990
"CHN",2005,2518864920910
"CHN",2006,2932919524990
"CHN",2007,3674086084040
"CHN",2008,4581384903280
"CHN",2009,5072414860310
"CHN",2010,5878629246680
"CIV",1998,17089002711
"CIV",2002,13923229485
"CIV",2005,18262769617
"CIV",2006,18775466807
"CIV",2007,20815663791
"CIV",2008,23722396413
"CIV",2009,23416471217
"CIV",2010,22780280530
"CMR",2002,13187609780
"CMR",2005,18513240779
"CMR",2006,19412957309
"CMR",2007,21751758020
"CMR",2008,24048138631
"CMR",2009,22546725150
"CMR",2010,22393529278
"COD",2002,6724502806
"COD",2003,6721797978
"COD",2004,7586590000
"COD",2005,7928057719
"COD",2006,9236025103
"COD",2007,10491145513
"COD",2008,11822066506
"COD",2009,11386320472
"COD",2010,13145120705
"COG",2005,6793531618
"COG",2006,8358121935
"COG",2007,8773400253
"COG",2008,11944523853
"COG",2009,9735573522
"COG",2010,11897620542
"COK",2005,423427700261
"COK",2008,541848719231
"COL",1998,131609282341
"COL",2002,119065578350
"COL",2003,112460414805
"COL",2004,135321249486
"COL",2005,163582945685
"COL",2006,176008645054
"COL",2007,218097462000
"COL",2008,247867955922
"COL",2009,239671293290
"COL",2010,288188988824
"COM",2005,431960305
"COM",2006,435867236
"COM",2007,488905603
