"category","value"
"Aquatic plants nei","remove"
"Atipa","remove"
"Bagrid catfish","remove"
"Bighead carp","remove"
"Black bullhead","remove"
"Black catfishes nei","remove"
"Blackchin tilapia","remove"
"Blue tilapia","remove"
"Bright green nori","remove"
"Brown seaweeds","remove"
"Brown seaweeds (Pac)","remove"
"Caulerpa seaweeds","remove"
"Common carp","remove"
"Constricted tagelus","remove"
"Cyprinids nei","remove"
"Elkhorn sea moss","remove"
"Eucheuma seaweeds nei","remove"
"Fragile codium","remove"
"Freshwater fishes nei","remove"
"Freshwater siluroids nei","remove"
"Fusiform sargassum","remove"
"Gelidium seaweeds","remove"
"Giant river prawn","remove"
"Gracilaria seaweeds","remove"
"Grass carp(=White amur)","remove"
"Green laver","remove"
"Green turtle","remove"
"Harpoon seaweeds","remove"
"Japanese isinglass","remove"
"Japanese kelp","remove"
"Laver (Nori)","remove"
"Mozambique tilapia","remove"
"Nile tilapia","remove"
"Nori nei","remove"
"Oriental cyclina","remove"
"Pangas catfishes nei","remove"
"Red seaweeds","remove"
"River eels nei","remove"
"River Plata mussel","remove"
"Sabaki tilapia","remove"
"Sea belt","remove"
"Seaweeds nei","remove"
"Short-finned eel","remove"
"Silver barb","remove"
"Silver carp","remove"
"Silver seabream","remove"
"Silversides(=Sand smelts) nei","remove"
"Sixfinger threadfin","remove"
"Spiny eucheuma","remove"
"[Spirulina maxima]","remove"
"Tilapias nei","remove"
"Torpedo-shaped catfishes nei","remove"
"Wakame","remove"
"Wakame nei","remove"
"Warty gracilaria","remove"
"Zanzibar weed","remove"
