"region_id","category","value"
1,"1 km",151.072383483
1,"3 nmi",1188.49430012
2,"1 km",228.791702154
2,"3 nmi",1597.17566122
3,"1 km",2478.28568974
3,"3 nmi",17387.2961129
4,"1 km",2498.37045749
4,"3 nmi",15661.7525883
5,"1 km",5835.93490647
5,"3 nmi",32485.8019535
6,"1 km",345.807305546
6,"3 nmi",2305.38203697
7,"1 km",1085.45070907
7,"3 nmi",11794.124921
8,"1 km",15.7185138884
8,"3 nmi",165.9176466
9,"1 km",2265.21250148
9,"3 nmi",23063.4261282
10,"1 km",1312.49590968
10,"3 nmi",8496.73000747
11,"1 km",21007.7938119
11,"3 nmi",120237.898739
12,"1 km",36871.2673284
12,"3 nmi",198997.259078
13,"1 km",13719.6428723
13,"3 nmi",83736.0164869
14,"1 km",3313.11342738
14,"3 nmi",23862.4505842
15,"1 km",242.763714499
15,"3 nmi",2252.11373991
16,"1 km",5576.57942731
16,"3 nmi",25663.0936752
17,"1 km",2121.12612417
17,"3 nmi",10045.0036255
18,"1 km",676.769347975
18,"3 nmi",3985.51652149
19,"1 km",3726.16104233
19,"3 nmi",23268.6400595
20,"1 km",327.469039343
20,"3 nmi",2171.77466892
21,"1 km",355.413064033
21,"3 nmi",2488.764699
22,"1 km",464.569410481
22,"3 nmi",4393.32463182
23,"1 km",277.693745362
23,"3 nmi",1959.57473143
24,"1 km",277.693745362
24,"3 nmi",2341.18531861
25,"1 km",1882.72866353
25,"3 nmi",22975.2278003
26,"1 km",1556.13287496
26,"3 nmi",8755.21223586
27,"1 km",3592.55367428
27,"3 nmi",18728.6092981
28,"1 km",5284.9136696
28,"3 nmi",29695.7657383
29,"1 km",721.305137325
29,"3 nmi",3292.15540886
30,"1 km",2750.73993048
30,"3 nmi",17067.6863305
31,"1 km",2055.6323163
31,"3 nmi",13483.865164
32,"1 km",296.032011566
32,"3 nmi",1694.97974764
33,"1 km",2457.32767123
33,"3 nmi",15846.8817519
34,"1 km",2076.59033482
34,"3 nmi",12075.3116694
35,"1 km",763.221174361
35,"3 nmi",4409.91639648
36,"1 km",4445.71967811
36,"3 nmi",25279.7365865
37,"1 km",444.484642734
37,"3 nmi",1970.05374068
38,"1 km",228.791702154
