"country_id","year","value"
"ALB",1997,442866.847833
"ALB",2002,1388908.363593
"ALB",2007,5923460.56782
"ARG",1997,301991227.623
"ARG",2002,219709.090938
"ARG",2007,451586.750796
"AUS",2002,700348245.0152
"AUS",2007,1244323757.5264
"BGD",1997,682041301.665
"BGD",2002,442200951.699
"BGD",2007,504178299.618
"BGR",1997,101319.2934831
"BGR",2002,84799.9999947
"BGR",2007,1300088.328009
"BHR",2002,22473.454546535
"BHR",2007,11247.634070023
"BHS",1997,32404.8913002
"BHS",2002,481818.18177
"BIH",2002,2385963.63699
"BIH",2007,2960977.91817
"BLZ",1997,19136168.4831
"BLZ",2002,59359999.9947
"BLZ",2007,54922712.9325
"BRA",1997,31096165.7664
"BRA",2002,246184441.062
"BRA",2007,323625356.4
"BRN",1997,3978697.527794
"BRN",2002,1337890.8483696
"BRN",2007,7841350.578771
"CAN",1997,692454010.9951
"CAN",2002,1030606089.4693
"CAN",2007,1589835079.5815
"CHL",1997,2025760542.06
"CHL",2002,3234250876.32
"CHL",2007,8167483911.06
"CHN",1997,21627482230.38
"CHN",2002,27421643211.15
"CHN",2007,27193684731.48
"CIV",1997,887375.543499
"CIV",2002,1702437.09168
"CIV",2007,768583.596264
"COL",1997,126912676.6332
"COL",2002,215854564.761
"COL",2007,271520504.67
"CRI",1997,41478260.8668
"CRI",2002,59220272.7345
"CRI",2007,52918075.7058
"CUB",1997,14886158.9667
"CUB",2002,15873596.36301
"CUB",2007,22846845.4203
"CYP",1997,23622277.201397
"CYP",2002,28961195.12079
"CYP",2007,50496628.07466
"DEU",1997,42144952.8125
"DEU",2002,16439620.120924
"DEU",2007,54088122.61388
"DNK",1997,62369121.20392
"DNK",2002,34121330.79076
"DNK",2007,78530981.07353
"DOM",1997,1252989.130497
"DOM",2002,18850885.8177
"DOM",2007,9947949.52611
"DZA",1997,711611.413002
"DZA",2002,1046894.545416
"DZA",2007,412965.299724
"ECU",1997,1462141230.087
"ECU",2002,699711839.646
"ECU",2007,1203785488.962
"EGY",1997,366251099.247
"EGY",2002,1141941430.584
"EGY",2007,1775627901.72
"ESP",1997,590640060.3211
"ESP",2002,630786679.6924
"ESP",2007,809057815.4035
"FIN",1997,122544394.10858
"FIN",2002,86084855.76766
"FIN",2007,109388990.10482
"FJI",1997,1533831.52167
"FJI",2002,1325327.636301
"FJI",2007,356955.836022
"FRA",1997,1284779739.1691
"FRA",2002,1117478553.3003
"FRA",2007,1525661828.356
"GBR",1997,1142238671.0196
"GBR",2002,1393500605.0614
"GBR",2007,2176050519.6041
"GRC",1997,754561080.8799
"GRC",2002,675674898.4924
"GRC",2007,862318.6119004
"GTM",1997,28769278.5333
"GTM",2002,44262516.3699
"GTM",2007,1322495791.764
"GUM",1997,431154.2120392
"GUM",2002,483611.4546535
"GUM",2007,54893453.2089
"GUY",1997,1306997.282664
"GUY",2002,2301163.63593
"HKG",1997,114853701.05343
"HKG",2002,30930359.56304
"HKG",2007,42079148.68137
"HND",1997,136489402.167
"HND",2002,145204581.8124
"HRV",1997,9141851.90169
"HRV",2002,48100872.7239
"HRV",2007,58537413.2562
"IDN",1997,2924212551.69
"IDN",2002,2267663280.39
"IND",1997,1037824951.209
"IND",2002,1381758567.345
"IRL",1997,237897426.7267
"IRL",2002,320203854.9228
"IRL",2007,396129924.5061
"IRN",1997,7358070.65169
"IRN",2002,68919272.7345
"ISL",1997,39243430.30098
"ISL",2002,40558246.79076
"ISR",1997,65682872.34951
"ISR",2002,50701928.61386
"ISR",2007,52568942.17044
"ITA",1997,772508464.3995
"ITA",2002,735802712.5003
"ITA",2007,1537570323.3371
"JAM",1997,10801.63043499
"JAM",2002,4180832.72655
"JAM",2007,386883.280779
"JOR",2002,3160033.45416
"JOR",2007,1650690.85173
"JPN",1997,13040741452.941
"JPN",2002,11836871568.896
"JPN",2007,9650466531.372
"KHM",1997,3390415.76163
"KHM",2002,3306621.81876
"KHM",2007,3388990.53651
"KIR",1997,733927.581501
"KIR",2002,303873.090885
"KIR",2007,88110.4100934
"KOR",1997,3558184330.87
"KOR",2002,1831486567.3003
"KOR",2007,4268969025.905
"KWT",1997,2266182.06501
"KWT",2002,2367847.27239
"KWT",2007,2266293.37614
"LCA",2002,15418.18181823
"LCA",2007,7523.65930641
"LKA",1997,62908695.6501
"LKA",2002,50275086.9168
"LKA",2007,61274520.5052
"MAR",1997,14496436.14165
"MAR",2002,7030883.63646
"MAR",2007,2613217.66557
"MDG",1997,29431202.4498
"MDG",2002,70652854.5522
"MDG",2007,71579760.2526
"MEX",1997,236993993.499
"MEX",2002,461138796
"MEX",2007,706016343.876
"MLT",1997,33380055.97206
"MLT",2002,10796247.562772
"MLT",2007,59936392.43892
"MMR",1997,57329653.5333
"MMR",2002,49723636.3593
"MMR",2007,323035835.916
"MOZ",2002,5842334.54478
"MOZ",2007,6974933.75451
"MTQ",1997,244592.119503
"MTQ",2002,718930.545522
"MTQ",2007,767747.634048
"MUS",1997,241351.630497
"MUS",2002,73987.9999947
"MUS",2007,1527804.416472
"MYS",1997,289281834.831
"MYS",2002,447936592.407
"MYS",2007,479946432.18
"MYT",1997,17282.6086998
