"region_id","category","value"
1,"corals",149
1,"seagrasses",330.962042429
3,"corals",7316.25
3,"mangroves",57.6345509241
3,"seagrasses",1310.74940814
4,"corals",1600.75
4,"mangroves",7.8592569442
4,"seagrasses",1143.95851077
5,"corals",6292.75
5,"mangroves",109.156346447
5,"seagrasses",1158.80377389
6,"corals",936.75
6,"mangroves",17.4650154316
6,"seagrasses",716.938883467
7,"corals",4916.5
7,"mangroves",34.0567800915
7,"seagrasses",1523.82259641
8,"corals",15.25
9,"corals",3621.5
9,"seagrasses",496.879689029
10,"corals",604
10,"seagrasses",1239.14284487
11,"corals",21555
11,"mangroves",640.092815567
11,"seagrasses",13470.7664024
12,"corals",42022.75
12,"mangroves",1474.04730242
12,"salt_marshes",13028.95
12,"seagrasses",39491.0196432
13,"corals",14009.75
13,"mangroves",392.96284721
13,"seagrasses",8593.66084312
14,"corals",6738.25
14,"mangroves",382.483837951
14,"seagrasses",1036.54866587
15,"corals",1205.5
16,"seagrasses",70
17,"sea_ice_shoreline",1969.40104167
18,"corals",114.25
18,"mangroves",34.0567800915
19,"corals",513.75
19,"mangroves",130.114364965
19,"seagrasses",1583.20364887
20,"corals",326
20,"seagrasses",1245.25560027
21,"corals",897.75
21,"mangroves",7.8592569442
21,"seagrasses",1452.21603314
22,"corals",2134
22,"mangroves",6.11275540105
23,"corals",1005.75
23,"seagrasses",101.297089503
24,"corals",2701.25
25,"corals",5337.25
25,"mangroves",0.873250771578
25,"seagrasses",2387.4676095
26,"corals",219
26,"mangroves",13.9720123452
26,"seagrasses",2824.09299529
27,"corals",2339.5
27,"mangroves",512.598202916
27,"seagrasses",658.431081771
28,"corals",3568.25
28,"mangroves",292.539008479
28,"seagrasses",5525.93088256
29,"corals",641
29,"mangroves",93.4378325588
29,"seagrasses",103.043591046
30,"corals",561.5
30,"mangroves",5.23950462947
31,"corals",1779
31,"mangroves",28.8172754621
31,"seagrasses",21.8312692895
32,"corals",245.75
33,"corals",872.5
33,"mangroves",1.74650154316
33,"seagrasses",5404.54902531
34,"corals",473.25
35,"corals",1065.5
35,"mangroves",1.74650154316
35,"seagrasses",4287.66128846
36,"corals",4999.75
36,"mangroves",41.0427862642
36,"seagrasses",20628.802977
37,"corals",60.5
37,"seagrasses",1410.2999961
38,"corals",370.75
38,"mangroves",0.873250771578
38,"seagrasses",482.907676684
39,"mangroves",16.59176466
40,"corals",388.25
40,"mangroves",23.5777708326
40,"seagrasses",3949.71323986
