"region_id","category","value"
1,"indo-pacific-ct",1
1,"westpacific",1
3,"westpacific",1
4,"westpacific",1
5,"westpacific",1
6,"westpacific",1
7,"westpacific",1
8,"westpacific",1
9,"westpacific",1
10,"indo-pacific-ct",1
11,"indo-pacific-ct",1
12,"indo-pacific-ct",1
13,"indo-pacific-ct",1
14,"westpacific",1
15,"westpacific",1
18,"indo-pacific-ct",1
19,"indo-pacific-ct",1
20,"eastafrica",1
21,"eastafrica",1
22,"eastafrica",1
23,"eastafrica",1
24,"southasia",1
25,"southasia",1
26,"southasia",1
27,"eastafrica",1
28,"eastafrica",1
29,"eastafrica",1
30,"eastafrica",1
31,"arabian-peninsula",1
32,"arabian-peninsula",1
33,"arabian-peninsula",1
34,"arabian-peninsula",1
35,"arabian-peninsula",1
36,"arabian-peninsula",1
37,"arabian-peninsula",1
38,"arabian-peninsula",1
39,"southasia",1
40,"arabian-peninsula",1
62,"arabian-peninsula",1
75,"eastafrica",1
79,"eastpacific",1
80,"carib-brazil",1
81,"carib-brazil",1
82,"carib-brazil",1
83,"carib-brazil",1
84,"carib-brazil",1
85,"carib-brazil",1
86,"carib-brazil",1
87,"carib-brazil",1
88,"carib-brazil",1
89,"carib-brazil",1
90,"carib-brazil",1
91,"carib-brazil",1
92,"carib-brazil",1
93,"carib-brazil",1
94,"carib-brazil",1
95,"carib-brazil",1
95,"eastpacific",1
96,"carib-brazil",1
96,"eastpacific",1
97,"carib-brazil",1
97,"eastpacific",1
98,"carib-brazil",1
98,"eastpacific",1
99,"eastpacific",1
100,"eastpacific",1
101,"carib-brazil",1
101,"eastpacific",1
102,"eastpacific",1
103,"eastpacific",1
104,"eastpacific",1
105,"carib-brazil",1
106,"carib-brazil",1
108,"westpacific",1
109,"westpacific",1
110,"westpacific",1
111,"westpacific",1
112,"westpacific",1
113,"westpacific",1
114,"hawaii",1
114,"westpacific",1
115,"westpacific",1
116,"carib-brazil",1
116,"hawaii",1
117,"carib-brazil",1
118,"carib-brazil",1
119,"carib-brazil",1
120,"carib-brazil",1
121,"carib-brazil",1
122,"carib-brazil",1
141,"arabian-peninsula",1
142,"arabian-peninsula",1
143,"arabian-peninsula",1
152,"eastafrica",1
153,"southasia",1
154,"southasia",1
155,"southasia",1
156,"indo-pacific-ct",1
157,"indo-pacific-ct",1
158,"indo-pacific-ct",1
159,"indo-pacific-ct",1
160,"indo-pacific-ct",1
161,"westpacific",1
163,"arabian-peninsula",1
164,"arabian-peninsula",1
165,"indo-pacific-ct",1
171,"indo-pacific-ct",1
