Common_name,Scientific_name,Source
Leather star,Dermasterias imbricata,Royal Canadian Mint
Orca,Orcinus orca,Royal Canadian Mint
Beluga,Delphinapterus leucas,Royal Canadian Mint
Bowhead,Balaena mysticetus,Royal Canadian Mint
Polar Bear,Ursus maritimus,Royal Canadian Mint
Bald Eagle,Haliaeetus leucocephalus,Royal Canadian Mint
Loon,Gavia immer,Royal Canadian Mint
Humpback,Megaptera novaeangliae,Royal Canadian Mint
Atlantic Cod,Gadus morhua,Royal Canadian Mint
Lobster,Homarus americanus,Royal Canadian Mint
Blue whale,Balaenoptera musculus,Royal Canadian Mint
Salmon,NA,
