Range,range_weight
Pacific Ocean,0.064616847
"Pacific Ocean, Atlantic Ocean",0.420195882
"British Columbia, Pacific Ocean",0.064616847
"Pacific Ocean, Arctic Ocean, Atlantic Ocean",1
"Pacific Ocean, Arctic Ocean",0.644420965
"Nunavut, Manitoba, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador, Arctic Ocean",0.935383153
"Arctic Ocean, Atlantic Ocean",0.935383153
"Nunavut, Arctic Ocean",0.579804118
"Nunavut, Quebec, Arctic Ocean, Atlantic Ocean",0.935383153
"Quebec, Arctic Ocean, Atlantic Ocean",0.935383153
"Northwest Territories, Arctic Ocean",0.355579035
"Nunavut, Manitoba, Ontario, Arctic Ocean, Atlantic Ocean",1
Arctic Ocean,0.579804118
"Nunavut, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador, Arctic Ocean, Atlantic Ocean",0.935383153
"Yukon, Northwest Territories, Nunavut, Manitoba, Ontario, Quebec, Newfoundland and Labrador, Arctic Ocean",0.935383153
"Nunavut, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador, Arctic Ocean, Atlantic Ocean",0.935383153
Atlantic Ocean,0.355579035
"Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador, Atlantic Ocean",0.355579035
"New Brunswick, Nova Scotia, Atlantic Ocean",0.355579035
"Ontario, Atlantic Ocean",0.935383153
"Quebec, Newfoundland and Labrador, Atlantic Ocean",0.935383153
"Newfoundland and Labrador, Atlantic Ocean",0.355579035
"Quebec, Atlantic Ocean",0.935383153
"Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Atlantic Ocean",0.935383153
"Nova Scotia, Atlantic Ocean",0.355579035
"New Brunswick, Atlantic Ocean",0.355579035
"Quebec, New Brunswick, Nova Scotia, Newfoundland and Labrador, Atlantic Ocean",0.355579035
"Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador, Atlantic Ocean",0.935383153
"Yukon, Northwest Territories, Nunavut, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",1
