"dimension","region_id","region_label","score_o","score","score_dif"
"status",118,"Anguilla",100,0.971441508326846,-99.0285584916732
"status",31,"Seychelles",100,1.56389260775943,-98.4361073922406
"status",220,"Sint Maarten",100,4.79244477441244,-95.2075552255876
"status",245,"Bonaire",100,4.79244477441244,-95.2075552255876
"status",248,"Saba",100,4.79244477441244,-95.2075552255876
"status",249,"Sint Eustatius",100,4.79244477441244,-95.2075552255876
"status",250,"Aruba",100,7.90320320342417,-92.0967967965758
"status",17,"Papua New Guinea",9.67,100,90.33
"status",113,"Cayman Islands",87.78,1.50248351637375,-86.2775164836262
"status",7,"Solomon Islands",22.12,100,77.88
"status",39,"Maldives",100,26.5120973648318,-73.4879026351682
"status",244,"Curacao",72.88,4.79244477441244,-68.0875552255876
"status",56,"Cape Verde",100,34.5860938500785,-65.4139061499215
"status",117,"British Virgin Islands",63.83,1.94288301665369,-61.8871169833463
"status",108,"Bermuda",100,45.0781756301192,-54.9218243698808
"status",111,"Turks and Caicos Islands",100,45.0781756301192,-54.9218243698808
"status",120,"Antigua and Barbuda",100,45.0781756301192,-54.9218243698808
"status",121,"Montserrat",100,45.0781756301192,-54.9218243698808
"status",126,"Trinidad and Tobago",100,45.0781756301192,-54.9218243698808
"status",221,"Northern Saint-Martin",100,45.0781756301192,-54.9218243698808
"status",186,"Montenegro",52.4,2.30363161831083,-50.0963683816892
"status",123,"Dominica",92.16,45.0781756301192,-47.0818243698808
"status",5,"New Caledonia",59.48,100,40.52
"status",205,"Myanmar",9.57,48.8534715983343,39.2834715983343
"status",114,"Haiti",6.16,45.0781756301192,38.9181756301192
"status",65,"Gambia",26.8,61.8823745657953,35.0823745657953
"status",38,"British Indian Ocean Territory",56.87,26.5120973648318,-30.3579026351682
"status",194,"Guinea",5.67,34.5860938500785,28.9160938500785
"status",99,"Benin",6.58,34.5860938500785,28.0060938500785
"status",103,"Sao Tome and Principe",33.19,6.38945951436997,-26.80054048563
"status",96,"Sierra Leone",7.87,34.5860938500785,26.7160938500785
"status",14,"Taiwan",27.84,1.84695085890711,-25.9930491410929
"status",106,"Ghana",8.83,34.5860938500785,25.7560938500785
"status",195,"Ivory Coast",8.85,34.5860938500785,25.7360938500785
