"rgn_id","rgn_label","year","Xtr_o","Xtr","Xtr_dif","E","Ed","L","U","V","P","S"
1,"Cocos Islands",2006,,,,,,6521443.248,0.04350000143,582.96,,4.235
1,"Cocos Islands",2007,,,,,,6669351.661,0.040500000715,582.96,,4.235
1,"Cocos Islands",2008,,,,,,6817863.4335,0.04199999809,582.96,,4.235
1,"Cocos Islands",2009,,,,,,6933136.6355,0.05849999905,582.96,596,4.235
1,"Cocos Islands",2010,,,,,,7029849.148,0.058499999045,582.96,,4.235
1,"Cocos Islands",2011,,,,,,7113330.4855,0.057999999525,582.96,,4.235
2,"Christmas Island",2006,,,,,,6521443.248,0.04350000143,1087.16,,4.235
2,"Christmas Island",2007,,,,,,6669351.661,0.040500000715,1087.16,,4.235
2,"Christmas Island",2008,,,,,,6817863.4335,0.04199999809,1087.16,,4.235
2,"Christmas Island",2009,,,,,,6933136.6355,0.05849999905,1087.16,,4.235
2,"Christmas Island",2010,,,,,,7029849.148,0.058499999045,1087.16,,4.235
2,"Christmas Island",2011,,,,,,7113330.4855,0.057999999525,1087.16,2072,4.235
3,"Norfolk Island",2006,,,,,,6521443.248,0.04350000143,1638.55,,5.17
3,"Norfolk Island",2007,,,,,,6669351.661,0.040500000715,1638.55,,5.17
3,"Norfolk Island",2008,,,,,,6817863.4335,0.04199999809,1638.55,,5.17
3,"Norfolk Island",2009,,,,,,6933136.6355,0.05849999905,1638.55,,5.17
3,"Norfolk Island",2010,,,,,,7029849.148,0.058499999045,1638.55,,5.17
3,"Norfolk Island",2011,,,,,,7113330.4855,0.057999999525,1638.55,2302,5.17
4,"Macquarie Island",2006,,,,,,6521443.248,0.04350000143,596,,5.17
4,"Macquarie Island",2007,,,,,,6669351.661,0.040500000715,596,,5.17
4,"Macquarie Island",2008,,,,,,6817863.4335,0.04199999809,596,,5.17
4,"Macquarie Island",2009,,,,,,6933136.6355,0.05849999905,596,,5.17
4,"Macquarie Island",2010,,,,,,7029849.148,0.058499999045,596,0,5.17
4,"Macquarie Island",2011,,,,,,7113330.4855,0.057999999525,596,,5.17
5,"New Caledonia",2006,,,,,,102660.6058,,235608,238459,4.200183
5,"New Caledonia",2007,,,,,,104349.5574,,235608,242400,4.200183
5,"New Caledonia",2008,,,,,,105011.3255,,235608,243985,4.200183
5,"New Caledonia",2009,,,,,,105845.0614,,235608,245580,4.200183
5,"New Caledonia",2010,,,,,,107697.7824,,235608,249992,4.200183
5,"New Caledonia",2011,,,,,,109753.7759,,235608,254024,4.200183
6,"Vanuatu",2006,0.052908643,,,,7200,95398.13989,,278840,214654,4.200183
6,"Vanuatu",2007,0.060879757,,,,8500,97449.91972,,278840,220001,4.200183
6,"Vanuatu",2008,0.063555481,,,,9000,99489.1984,,278840,225398,4.200183
6,"Vanuatu",2009,0.073109944,0.550762509077974,0.477652565077974,0.108552287266871,10500,101391.5927,0.04599999905,278840,230833,4.200183
6,"Vanuatu",2010,0.069304897,,,,10300,104483.0557,,278840,236299,4.200183
6,"Vanuatu",2011,0.070477282,,,,9900,107801.5024,,278840,241778,4.200183
7,"Solomon Islands",2006,0.012509874,,,,6900,192111.1111,,630463,480745,2.59
7,"Solomon Islands",2007,0.012428275,,,,7100,198109.4956,,630463,492148,2.59
7,"Solomon Islands",2008,0.010953768,,,,6400,203950.6976,,630463,503541,2.59
7,"Solomon Islands",2009,0.013348207,,,,8000,210222.1474,,630463,514964,2.59
7,"Solomon Islands",2010,0.015779019,,,,9800,216940.6489,,630463,526447,2.59
7,"Solomon Islands",2011,0.014481593,,,,8500,223801.8452,,630463,537997,2.59
8,"Palau",2006,,,,,,75133.34322,,42449.7,20012,4.200183
8,"Palau",2007,,,,,,76069.52614,,42449.7,20118,4.200183
8,"Palau",2008,,,,,,77107.54423,,42449.7,20228,4.200183
8,"Palau",2009,,,,,,78266.66,,42449.7,20344,4.200183
8,"Palau",2010,,,,,,79434.591,,42449.7,20470,4.200183
8,"Palau",2011,,,,,,80607.97323,,42449.7,20606,4.200183
9,"Micronesia",2006,,,,,,75133.34322,0.0693451322819692,198914,105686,4.200183
9,"Micronesia",2007,,,,,,76069.52614,0.0645309730511053,198914,105097,4.200183
9,"Micronesia",2008,,,,,,77107.54423,0.0494861101858396,198914,104498,4.200183
9,"Micronesia",2009,,,,,,78266.66,0.009961108959169,198914,103983,4.200183
9,"Micronesia",2010,,,,,,79434.591,0.0129469002157771,198914,103619,4.200183
9,"Micronesia",2011,,,,,,80607.97323,-0.0576285701528604,198914,103424,4.200183
10,"Nauru",2006,,,,,,75133.34322,0.0693451322819692,12371.3,,2.59
10,"Nauru",2007,,,,,,76069.52614,0.0645309730511053,12371.3,,2.59
10,"Nauru",2008,,,,,,77107.54423,0.0494861101858396,12371.3,,2.59
10,"Nauru",2009,,,,,,78266.66,0.009961108959169,12371.3,,2.59
10,"Nauru",2010,,,,,,79434.591,0.0129469002157771,12371.3,,2.59
10,"Nauru",2011,,,,,,80607.97323,-0.0576285701528604,12371.3,9378,2.59
11,"Marshall Islands",2006,,,,,,75133.34322,,154841,52084,4.200183
11,"Marshall Islands",2007,,,,,,76069.52614,,154841,52150,4.200183
11,"Marshall Islands",2008,,,,,,77107.54423,,154841,52245,4.200183
11,"Marshall Islands",2009,,,,,,78266.66,,154841,52341,4.200183
11,"Marshall Islands",2010,,,,,,79434.591,,154841,52428,4.200183
11,"Marshall Islands",2011,,,,,,80607.97323,,154841,52495,4.200183
12,"Wake Island",2006,,,,,,75133.34322,0.0693451322819692,150,,
12,"Wake Island",2007,,,,,,76069.52614,0.0645309730511053,150,,
12,"Wake Island",2008,,,,,,77107.54423,0.0494861101858396,150,,
12,"Wake Island",2009,,,,,,78266.66,0.009961108959169,150,150,
12,"Wake Island",2010,,,,,,79434.591,0.0129469002157771,150,,
12,"Wake Island",2011,,,,,,80607.97323,-0.0576285701528604,150,,
13,"Northern Mariana Islands and Guam",2006,,,,,,75133.34322,0.0693451322819692,417418,158429,4.200183
13,"Northern Mariana Islands and Guam",2007,,,,,,76069.52614,0.0645309730511053,417418,158331,4.200183
13,"Northern Mariana Islands and Guam",2008,,,,,,77107.54423,0.0494861101858396,417418,158310,4.200183
13,"Northern Mariana Islands and Guam",2009,,,,,,78266.66,0.009961108959169,417418,158621,4.200183
13,"Northern Mariana Islands and Guam",2010,,,,,,79434.591,0.0129469002157771,417418,159440,4.200183
13,"Northern Mariana Islands and Guam",2011,,,,,,80607.97323,-0.0576285701528604,417418,160858,4.200183
14,"Taiwan",2006,0.019152997,,,0.00125082549683561,176900,147350075.299383,0.040200000288,21294100,,4.71
14,"Taiwan",2007,0.018980363,,,0.00123810743850326,177400,148664871.85025,0.036200000286,21294100,,4.71
14,"Taiwan",2008,0.016098539,,,0.00113072060125887,163100,149398548.4682,0.0344999998825,21294100,,4.71
14,"Taiwan",2009,0.014974269,,,0.00111284669686781,160300,150556569.3133,0.043249999285,21294100,,4.71
14,"Taiwan",2010,0.019853784,,,0.00143566391701871,209000,151611379.5047,0.039800000382,21294100,,4.71
