Year,CIW,GDP,CV,DE,EDU,ENV,HP,LC,LS,TU
1994,100,100,100,100,100,100,100,100,100,100
1995,99.816486,101.7416161,100.066064,98.54651163,100.0873108,97.09927988,101.2693522,100.2187276,101.4281558,99.18240887
1996,100.0862808,102.3791418,100.132128,96.80232558,101.2976973,98.46800452,103.0376254,100.1478382,100.7183469,97.517199
1997,100.4475623,105.5400971,99.63534775,99.18927649,102.4752214,96.80118013,102.9605272,100.2139968,101.857386,96.82365488
1998,100.1104421,109.0783175,99.36687804,98.52224038,102.4529946,91.87365935,103.0688078,99.54429997,105.9442145,96.33732786
1999,100.3606073,114.1938219,99.08526164,98.43780527,103.627164,91.71668345,100.7446149,98.05844575,110.8542762,95.84054559
2000,100.1652142,119.0319258,98.82279959,97.99445907,104.9607371,89.28556784,99.18492102,99.00565727,111.9023578,95.45291155
2001,100.5122288,119.8471986,99.76205165,95.94631197,106.6229754,87.75455972,98.11828794,96.8249255,118.5564894,96.40997715
2002,100.7929554,122.0110068,101.3883319,96.58692784,108.0100768,87.4184749,99.63464358,96.39261312,116.1196197,96.90466592
2003,100.7163801,123.1643056,102.1108184,94.38232456,109.236703,86.5382843,101.8122849,95.85572102,115.0785248,97.66164285
2004,101.7585451,125.8018386,103.7666258,94.61626294,111.4492131,87.2183748,104.7314504,94.38374271,116.1441457,96.82939587
2005,103.7778778,128.4041024,105.3151133,100.5691756,114.223674,86.77948717,108.1824641,94.49677074,116.8784598,97.19758055
2006,105.1504081,130.7391867,105.6119281,104.3987788,116.6022186,89.35777012,105.8465103,94.33412478,119.9015261,98.40053486
2007,106.2919465,132.1848459,106.9036989,104.0945144,118.5706341,90.44757964,103.6526035,94.01709683,126.3574981,98.57630404
2008,107.4749568,131.5434429,108.0742088,106.438618,120.4120931,89.87516934,105.0792412,94.9669735,127.4783937,99.63986715
2009,106.9551746,126.3267155,108.8704188,105.8572227,121.6394516,89.73055219,106.3188898,92.58455022,123.685137,101.406976
2010,105.6701623,128.909809,110.3469381,107.0200134,121.8128945,89.19018111,104.8706679,92.19815207,114.2522889,101.2707614
