"region_id","category","value"
12,"cetaceans",38
16,"cetaceans",561
42,"cetaceans",15
56,"cetaceans",143
77,"turtles",2
101,"cetaceans",10
107,"cetaceans",293
109,"turtles",1
115,"cetaceans",22
116,"cetaceans",320
122,"cetaceans",25
123,"cetaceans",113
126,"cetaceans",2325.25662935
127,"cetaceans",8
130,"cetaceans",164
131,"cetaceans",28
133,"cetaceans",9
134,"cetaceans",35
135,"cetaceans",9
138,"cetaceans",3
149,"turtles",4
160,"cetaceans",13724
165,"turtles",240
168,"cetaceans",1
169,"cetaceans",484
170,"cetaceans",1
171,"turtles",1
