"country_id","category","value"
"ARG","159f",0
"ARG","159g",1
"ARG","159h",0
"ARG","159i",0
"ARG","159j",0
"ARG","159k",0
"ARG","159l",0
"ARG","160b",1
"ARG","160c",0
"ARG","160d",1
"ARG","160e",0
"ARG","79x",0
"ARG","80x",0.5
"ARG","82x",0.333333333333
"ARM","153a",0
"ARM","153b",0
"ARM","153c",0
"ARM","153d",0
"ARM","153e",0
"ARM","153f",0
"ARM","153g",0
"ARM","158a",0
"ARM","158b",0
"ARM","158c",0
"ARM","158d",0
"ARM","158f",0
"ARM","158g",0
"ARM","158h",0
"ARM","159a",0
"ARM","159b",0
"ARM","159c",0
"ARM","159e",0
"ARM","159f",0
"ARM","159g",0
"ARM","159h",0
"ARM","159i",0
"ARM","159j",0
"ARM","159k",0
"ARM","159l",0
"ARM","160b",0
"ARM","160c",0
"ARM","160d",0
"ARM","160e",0
"ARM","79x",0.333333333333
"ARM","80x",0
"ARM","82x",0.666666666667
"ATG","153a",1
"ATG","153b",1
"ATG","153c",1
"ATG","153d",1
"ATG","153e",1
"ATG","153f",1
"ATG","153g",0
"ATG","158a",1
"ATG","158b",1
"ATG","158c",1
"ATG","158d",1
"ATG","158f",0
"ATG","158g",1
"ATG","158h",0
"ATG","159a",0
"ATG","159b",0
"ATG","159c",0
"ATG","159e",0
"ATG","159f",0
"ATG","159g",0
"ATG","159h",0
"ATG","159i",0
"ATG","159j",0
"ATG","159k",0
"ATG","159l",0
"ATG","160b",0
"ATG","160c",0
"ATG","160d",0
"ATG","160e",0
"ATG","79x",0
"ATG","80x",0.5
"ATG","82x",0.333333333333
"AUS","153a",1
"AUS","153b",1
"AUS","153c",1
"AUS","153d",1
"AUS","153e",1
"AUS","153f",1
"AUS","153g",1
"AUS","158a",1
"AUS","158b",1
"AUS","158c",1
"AUS","158d",1
"AUS","158f",1
"AUS","158g",1
"AUS","158h",1
"AUS","159a",1
"AUS","159b",1
"AUS","159c",1
"AUS","159e",1
"AUS","159f",1
"AUS","159g",1
"AUS","159h",1
"AUS","159i",1
"AUS","159j",1
"AUS","159k",1
"AUS","159l",1
"AUS","160b",1
"AUS","160c",0
"AUS","160d",0
"AUS","160e",0
"AUS","79x",1
"AUS","80x",1
"AUS","82x",0
"AUT","153a",1
"AUT","153b",1
"AUT","153c",1
"AUT","153d",1
"AUT","153e",1
"AUT","153f",1
"AUT","153g",1
"AUT","158a",0
"AUT","158b",0
"AUT","158c",0
"AUT","158d",1
"AUT","158f",0
"AUT","158g",0
"AUT","158h",0
"AUT","159a",1
"AUT","159b",1
"AUT","159c",1
"AUT","159e",0
"AUT","159f",0
"AUT","159g",0
"AUT","159h",0
"AUT","159i",0
"AUT","159j",1
"AUT","159k",0
"AUT","159l",0
"AUT","160b",0
"AUT","160c",0
"AUT","160d",0
"AUT","160e",0
"AUT","79x",0
"AUT","80x",0
"AUT","82x",0.333333333333
"AZE","153a",0
"AZE","153b",0
"AZE","153c",0
"AZE","153d",0
"AZE","153e",0
"AZE","153f",0
"AZE","153g",0
"AZE","158a",0
"AZE","158b",0
"AZE","158c",0
"AZE","158d",0
"AZE","158f",0
"AZE","158g",0
"AZE","158h",0
"AZE","159a",0
"AZE","159b",0
"AZE","159c",0
"AZE","159e",0
"AZE","159f",0
"AZE","159g",0
"AZE","159h",0
"AZE","159i",0
"AZE","159j",0
"AZE","159k",0
"AZE","159l",0
"AZE","160b",0
"AZE","160c",0
"AZE","160d",0
"AZE","160e",0
"AZE","79x",0
"AZE","80x",0
"AZE","82x",0
"BDI","153a",0
"BDI","153b",0
"BDI","153c",0
"BDI","153d",0
"BDI","153e",0
"BDI","153f",0
"BDI","153g",0
"BDI","158a",0
"BDI","158b",0
"BDI","158c",0
"BDI","158d",0
"BDI","158f",0
"BDI","158g",0
"BDI","158h",0
"BDI","159a",0
"BDI","159b",0
"BDI","159c",0
"BDI","159e",0
"BDI","159f",0
"BDI","159g",0
"BDI","159h",0
"BDI","159i",0
"BDI","159j",0
"BDI","159k",0
"BDI","159l",0
"BDI","160b",0
"BDI","160c",0
"BDI","160d",0
"BDI","160e",0
"BDI","79x",0
"BDI","80x",0
"BDI","82x",0
"BEL","153a",1
"BEL","153b",1
"BEL","153c",1
"BEL","153d",1
"BEL","153e",1
"BEL","153f",1
"BEL","153g",1
"BEL","158a",1
"BEL","158b",1
"BEL","158c",1
"BEL","158d",1
"BEL","158f",1
"BEL","158g",1
"BEL","158h",0
"BEL","159a",1
"BEL","159b",1
"BEL","159c",1
"BEL","159e",0
"BEL","159f",0
"BEL","159g",0
"BEL","159h",0
"BEL","159i",0
"BEL","159j",1
"BEL","159k",0
"BEL","159l",0
"BEL","160b",0
"BEL","160c",0
"BEL","160d",0
"BEL","160e",0
"BEL","79x",0.666666666667
"BEL","80x",0.5
"BEL","82x",0.333333333333
"BEN","153a",1
"BEN","153b",1
"BEN","153c",1
"BEN","153d",1
"BEN","153e",1
"BEN","153f",1
"BEN","153g",1
"BEN","158a",0
"BEN","158b",0
"BEN","158c",0
"BEN","158d",1
"BEN","158f",0
"BEN","158g",0
"BEN","158h",0
"BEN","159a",0
"BEN","159b",0
"BEN","159c",0
"BEN","159e",0
"BEN","159f",0
"BEN","159g",0
"BEN","159h",0
