"country_id","value"
"ABW",20
"AFG",379100
"AGO",576900
"ALB",11810
"AND",260
"ANT",80
"ARE",5700
"ARG",1328500
"ARM",17473.2
"ASM",50
"ATG",130
"AUS",4172880
"AUT",31710
"AZE",47567
"BDI",21900
"BEL",13730
"BEN",33950
"BFA",123600
"BGD",93000
"BGR",51740
"BHR",84
"BHS",130
"BIH",21300
"BLR",89170
"BLZ",1520
"BMU",7.4
"BOL",368190
"BRA",2645000
"BRB",190
"BRN",114
"BTN",5630
"BWA",258520
"CAF",52100
"CAN",676000
"CHE",15613
"CHL",157370
"CHN",5225440
"CIV",202500
"CMR",91630
"COD",224500
"COG",105420
"COK",30
"COL",426140
"COM",1500
"CPV",930
"CRI",18000
"CUB",66000
"CYM",27
"CYP",1156
"CZE",42450
"DEU",169220
"DJI",17010
"DMA",230
"DNK",26680
"DOM",25000
"DZA",413090
"ECU",74450
"EGY",35420
"ERI",75720
"ESH",50040
"ESP",279000
"EST",8030
"ETH",345130
"FIN",22960
"FJI",4280
"FLK",11240
"FRA",292420.6
"FRO",30
"FSM",225
"GAB",51400
"GBR",176840
"GEO",25230
"GHA",156000
"GIN",137900
"GLP",435
"GMB",6550
"GNB",16300
"GNQ",3100
"GRC",46250
"GRD",120
"GRL",2350
"GTM",42180
"GUF",246
"GUM",190
"GUY",16750
"HND",31840
"HRV",12880
"HTI",17900
"HUN",57780
"IDN",481000
"IMN",422
"IND",1797080
"IRL",42001
"IRN",482940
"IRQ",94500
"ISL",22810
"ISR",5041
"ITA",133960
"JAM",4640
"JOR",9735
"JPN",46280
"KAZ",2078980
"KEN",271000
"KGZ",107272
"KHM",55550
"KIR",340
"KNA",51
"KOR",18050
"KWT",1510
"LAO",22230
"LBN",6860
"LBR",26180
"LBY",155500
"LCA",110
"LIE",60
"LKA",26400
"LSO",23590
"LTU",26721
"LUX",1300
"LVA",18250
"MAR",299810
"MDA",24850
"MDG",408450
"MDV",90
"MEX",1025000
"MHL",130
"MKD",10710
"MLI",396300
"MLT",100
"MMR",120050
"MNE",5130
"MNG",1159520
"MNP",30
"MOZ",487500
"MRT",396610
"MSR",30
"MTQ",280
"MUS",980
"MWI",54720
"MYS",78700
"MYT",200
"NAM",388080
"NCL",2520
"NER",433160
"NFK",10
"NGA",785000
"NIC",51460
"NIU",50
"NLD",19293
"NOR",10243
"NPL",42100
"NRU",4
"NZL",113740
"OMN",17940
"PAK",262000
"PAN",22300
"PER",214400
"PHL",118000
"PLW",50
"PNG",11100
"POL",161540
"PRI",1870
"PRK",29500
"PRT",34600
"PRY",204000
"PSE",3682
"PYF",450
"QAT",660
"REU",470
"ROU",135460
"RUS",2154940
"RWA",20200
"SAU",1736760
"SDN",1380860
"SEN",91540
"SGP",7
"SHN",120
"SLB",840
"SLE",41300
"SLV",15520
"SMR",10
"SOM",440270
"SPM",30
"SRB",50560
"STP",550
"SUR",748
"SVK",19370
"SVN",5030
"SWE",30930
"SWZ",12240
"SYC",40
"SYR",138980
"TCA",10
"TCD",493300
"TGO",36300
"THA",196500
"TJK",47270
"TKL",6
"TKM",326180
"TLS",3750
"TON",310
"TTO",540
"TUN",98810
"TUR",391220
"TUV",18
"TZA",349500
"UGA",130120
"UKR",412920
"URY",148640
"USA",4112000
"UZB",266200
"VCT",100
"VEN",213500
"VGB",70
"VIR",40
"VNM",100570
"VUT",1870
"WLF",60
"WSM",660
"YEM",236060
"ZAF",993780
"ZMB",223840
"ZWE",159500
