"yr","r0","r1","r2","id","w","v","r2_v","r1_v","r0_v","r2_n","r1_n","r0_n","z_level","z_n","z"
1990,1,2,11,56,1,0.0772877108429609,0.0806328091007856,0.0647379969127616,0.194469211965451,3,12,72,"v",1,0.0772877108429609
1990,1,2,11,64,,,0.0806328091007856,0.0647379969127616,0.194469211965451,3,12,72,"r2",3,0.0806328091007856
1990,1,2,11,65,1,0.129785865475874,0.0806328091007856,0.0647379969127616,0.194469211965451,3,12,72,"v",1,0.129785865475874
1990,1,2,11,66,,,0.0806328091007856,0.0647379969127616,0.194469211965451,3,12,72,"r2",3,0.0806328091007856
1990,1,2,11,96,,,0.0806328091007856,0.0647379969127616,0.194469211965451,3,12,72,"r2",3,0.0806328091007856
1990,1,2,11,97,,,0.0806328091007856,0.0647379969127616,0.194469211965451,3,12,72,"r2",3,0.0806328091007856
1990,1,2,11,98,1,0.0348248509835218,0.0806328091007856,0.0647379969127616,0.194469211965451,3,12,72,"v",1,0.0348248509835218
1990,1,2,11,99,,,0.0806328091007856,0.0647379969127616,0.194469211965451,3,12,72,"r2",3,0.0806328091007856
1990,1,2,11,106,,,0.0806328091007856,0.0647379969127616,0.194469211965451,3,12,72,"r2",3,0.0806328091007856
1990,1,2,11,193,,,0.0806328091007856,0.0647379969127616,0.194469211965451,3,12,72,"r2",3,0.0806328091007856
1990,1,2,11,194,,,0.0806328091007856,0.0647379969127616,0.194469211965451,3,12,72,"r2",3,0.0806328091007856
1990,1,2,11,195,,,0.0806328091007856,0.0647379969127616,0.194469211965451,3,12,72,"r2",3,0.0806328091007856
1990,1,2,11,196,,,0.0806328091007856,0.0647379969127616,0.194469211965451,3,12,72,"r2",3,0.0806328091007856
1990,1,2,14,28,,,0.00575606376189561,0.0647379969127616,0.194469211965451,1,12,72,"r2",1,0.00575606376189561
1990,1,2,14,29,,,0.00575606376189561,0.0647379969127616,0.194469211965451,1,12,72,"r2",1,0.00575606376189561
1990,1,2,14,30,,,0.00575606376189561,0.0647379969127616,0.194469211965451,1,12,72,"r2",1,0.00575606376189561
