"order_color","order_hierarchy","goal","parent","name","name_flower","description","weight","preindex_function","postindex_function"
1.2,1,"FP","","Food Provision","Food Provision","This goal measures the amount of seafood sustainably harvested in a given region through any means for use primarily in human consumption and thus includes wild-caught commercial fisheries, mariculture, artisanal-scale and recreational fisheries.",1.31089544389731,"","FP(layers, scores)"
1.1,1.1,"FIS","FP","Fisheries","Fisheries","This subgoal model aims to assess the amount of wild-caught seafood that can be sustainably harvested, with sustainability defined by multi-species yield, and with penalties assigned for both over- and under-harvesting.",0.655447721948654,"FIS(layers)",""
1.3,1.2,"MAR","FP","Mariculture","Mariculture","This subgoal measures the ability to obtain maximal seafood yield from farm-raised facilities without damaging the ocean's ability to continue providing fish for people in the future.",0.655447721948654,"MAR(layers)",""
2,2,"AN","","Aboriginal Needs","           Aboriginal Needs","This goal captures The extent to which Canada‚Äôs Aboriginals are able to access ocean resources for subsistence, social and ceremonial purposes",0.335134101448582,"AN(layers)",""
3,3,"NP","","Natural Products","Natural Products","This goal model calculates overall status by weighting the status of sustainable harvest of each product by its proportional value relative to other harvested products.",0.389635224936654,"NP(layers, status_year=2009, trend_years = list('corals'=2004:2008,'ornamentals'=2004:2008,'shells'=2004:2008, 'fish_oil'=2005:2009,'seaweeds'=2005:2009,'sponges'=2005:2009))",""
4,4,"CS","","Carbon Storage","Carbon Storage","This goal captures the carbon stored in natural coastal ecosystems that absorb and sequester carbon in large amounts.",0.95520390113305,"CS(layers)",""
5,5,"CP","","Coastal Protection","Coastal\nProtection","This goal measures the amount of protection certain coastal habitats provide by measuring the current area they cover relative to the area they covered in the recent past.",1.28077640196969,"CP(layers)",""
6,6,"TR","","Tourism & Recreation","Tourism & \nRecreation","This goal captures the value people have for experiencing and taking pleasure in coastal areas.",0.565568676196396,"TR(layers)",""
7.2,7,"LE","","Coastal Livelihoods & Economies","Coastal Livelihoods & Economies","This goal aims to maintain coastal and ocean-dependent livelihoods and productive coastal economies while also maximizing livelihood quality.",1.23153415881819,"","LE(scores, layers)"
7.1,7.1,"LIV","LE","Livelihoods","Livelihoods","This subgoal evaluates the benefits people obtain from the oceans in the form of jobs and wages.",0.615767079409093,"LIV(layers)",""
7.3,7.2,"ECO","LE","Economies","Economies","This subgoal captures the economic value associated with marine industries.",0.615767079409093,"ECO(layers)",""
8.2,8,"SP","","Sense of Place","Sense of Place","This goal aims to capture the level of protection for aspects of the coastal and marine system that contribute to a personês sense of cultural identity.",1.00540230434575,"","SP(scores)"
8.1,8.1,"ICO","SP","Iconic Species","Iconic\nSpecies","This subgoal captures the species that are important to a region because they are relevant to local cultural identity.",0.502701152172873,"ICO(layers)",""
8.3,8.2,"LSP","SP","Lasting Special Places","Lasting Special\nPlaces","This subgoal captures the conservation status of geographic locations that hold significant aesthetic, spiritual, cultural, recreational, or existence value for people.",0.502701152172873,"LSP(layers, status_year=2012, trend_years=2005:2009)",""
9,9,"CW","","Clean Waters","Clean Waters","This goal captures the degree to which waters are polluted.",1.77511115360711,"CW(layers)",""
10.2,10,"BD","","Biodiversity","Biodiversity","This goal captures the conservation status of marine species.",1.15073863364727,"","BD(scores)"
10.1,10.1,"HAB","BD","Habitats","Habitats","This subgoal measures the condition of habitats that are important for supporting a wide array of species diversity.",0.575369316823636,"HAB(layers)",""
10.3,10.2,"SPP","BD","Species","Species","This subgoal aims to estimate how successfully the richness and variety of marine life is being maintained.",0.575369316823636,"SPP(layers)",""
