"cntry_key","year","usd"
"AGO",2002,6670024587
"AGO",2004,18954402780
"AGO",2005,30619435417
"AGO",2006,43784512970
"AGO",2007,61796534508
"AGO",2008,79620700694
"AGO",2009,65161070140
"AGO",2010,80856694812
"AGO",2011,1.04332e+11
"AIA",2007,15855648172.4012
"AIA",2008,17022069246.6
"AIA",2009,16674190559.0938
"AIA",2010,17562152631.4792
"AIA",2011,18763481397.7127
"ALB",2002,4449373456
"ALB",2004,7464446950
"ALB",2005,8376483740
"ALB",2006,9132562332
"ALB",2007,10704660840
"ALB",2008,12968653525
"ALB",2009,12118583126
"ALB",2010,11858216877
"ALB",2011,12959563902
"ANT",1998,35298806560
"ANT",2002,44998754281
"ANT",2004,49152912338.2132
"ANT",2005,56110694953.52
"ANT",2006,60696146896.0233
"ANT",2007,65773031636.2238
"ANT",2008,70433751925
"ANT",2009,69058940974.0752
"ANT",2010,72374494804.5835
"ARE",2002,1.09816e+11
"ARE",2004,1.47824e+11
"ARE",2005,1.80617e+11
"ARE",2006,2.22106e+11
"ARE",2007,2.5815e+11
"ARE",2008,3.14845e+11
"ARE",2009,2.70335e+11
"ARE",2010,2.97648e+11
"ARE",2011,3.60245e+11
"ARG",1998,2.98948e+11
"ARG",2002,1.0204e+11
"ARG",2004,1.53129e+11
"ARG",2005,1.83193e+11
"ARG",2006,2.14066e+11
"ARG",2007,2.60769e+11
"ARG",2008,3.26583e+11
"ARG",2009,3.07155e+11
"ARG",2010,3.68736e+11
"ARG",2011,4.46044e+11
"ASM",2004,212279158.58
"ASM",2005,232957698.223333
"ASM",2006,963178715.804992
"ASM",2007,1044913078.17
"ASM",2008,788809473.563282
"ASM",2009,293848590.407653
"ATG",1998,620037014.2
"ATG",2002,806505874.3
"ATG",2003,849234753.9
"ATG",2004,905113766.5
"ATG",2005,1001970945
"ATG",2006,1141418340
"ATG",2007,1295824296
"ATG",2008,1354616665
"ATG",2009,1214286802
"ATG",2010,1153788954
"ATG",2011,1118317379
"AUS",2002,3.95013e+11
"AUS",2003,4.6646e+11
"AUS",2004,6.11386e+11
"AUS",2005,6.92301e+11
"AUS",2006,7.44836e+11
"AUS",2007,8.50326e+11
"AUS",2008,1.05282e+12
"AUS",2009,9.21972e+11
"AUS",2010,1.1392e+12
"AUS",2011,1.37938e+12
"Alaska",2004,85618503940.8672
"Alaska",2005,91181115891.4575
"Alaska",2006,96625436159.3412
"Alaska",2007,101322994822.899
"Alaska",2008,103191713123.326
"Alaska",2009,100862165261.435
"Alaska",2010,104643870528.822
"Alaska",2011,108794239445.381
"Azores",1998,237895536749.333
"Azores",2008,466302747698.9
"BEL",2002,2.52795e+11
"BEL",2004,3.61683e+11
"BEL",2005,3.7735e+11
"BEL",2006,3.99966e+11
"BEL",2007,4.59619e+11
"BEL",2008,5.07379e+11
"BEL",2009,4.73405e+11
