"cntry_key","sector","value"
"ABW","cf",1244.8549176
"ABW","mar",21.41042723901
"ABW","tour",29700
"AGO","cf",75992.711536
"AGO","tour",7472.28929676
"AIA","cf",788.35806
"AIA","tour",4000
"ALB","cf",6306.86448
"ALB","mar",331.533865416478
"ALB","tour",74564.9966688
"ANT","mmw",0
"ANT","tour",17600
"ARE","cf",30638.8477528
"ARE","mar",204.12
"ARE","tour",70552.0301819
"ARG","cf",19063.248708
"ARG","mmw",242.03685
"ARG","tour",110777.545539
"ASM","cf",154.0426622
"ASM","mar",2.06358433315433
"ASM","mmw",0
"ATA","mmw",5
"ATG","cf",1677.450761
"ATG","mar",1.07182344230702
"ATG","mmw",0
"ATG","tour",17500
"AUS","cf",9576.673386
"AUS","mar",0
"AUS","tour",196307.180307
"Azores","mmw",11
"BEL","cf",1626.7706
"BEL","tour",59596.7543386
"BEN","cf",156032.32778
"BEN","mmw",0
"BEN","tour",3000.91947917
"BGD","cf",2300288.5413998
"BGD","mmw",0
"BGD","tour",615960.771724
"BGR","tour",63227.1596006
"BHR","cf",13823.0451968
"BHR","mar",116.64
"BHR","mmw",0
"BHR","tour",58100
"BHS","mmw",3.667225
"BHS","tour",88500
"BIH","tour",10327.3156993
"BLZ","cf",5697.451186
"BLZ","mmw",0
"BLZ","tour",18538.3311951
"BMU","cf",480.523008
"BMU","mmw",0
"BMU","tour",7400
"BRA","mmw",432.73255
"BRA","tour",330978.911177
"BRB","cf",5616.738337
"BRB","tour",59000
"BRN","cf",690.751824
"BRN","mar",178.3682740899
"BRN","tour",8683.68326295
"CAN","cf",59926.8502266
"CAN","tour",332943.422695
"CAN","wte",16.3466
"Canary Islands","mmw",943
"CHL","cf",124903.446668
"CHL","mmw",11.001675
"CHL","tour",240057.233924
"CHN","cf",4683174.733244
"CHN","mar",8280738.82891214
"CHN","mmw",0
"CHN","tour",2067526.17273
"CIV","cf",7280.424116
"CIV","tour",11112.5301591
"CMR","cf",52056.6592
"CMR","tour",8621.67356399
"COD","cf",137399.5476
"COD","mar",0
"COD","tour",307.29763087
"COG","cf",29657.2794
"COG","tour",324.944271344
"COK","cf",165.805465
"COK","mmw",25.670575
"COL","mmw",0
"COL","tour",76082.0820738
"COM","cf",14156.4080336
"COM","tour",9700
"CPV","cf",12521.128172
"CPV","tour",25400
"CRI","mmw",3.667225
"CRI","tour",172247.802348
"CUB","cf",12806.438708
"CUB","mar",2651.16167517734
"CUB","tour",501335.04047
"CYM","tour",6100
"CYP","cf",2317.522424
"CYP","mar",1177.052885748
"CYP","mmw",0
"CYP","tour",84938.1212264
"DEU","cf",5032.977964
"DEU","mmw",0
"DEU","tour",238483.556131
"DMA","cf",1674.4474922
"DMA","mmw",7.33445
"DMA","tour",8300
"DNK","cf",8719.2401436
