"cntry_key","sector","value"
"ABW","cf",2774677.4008791
"ABW","og",0
"ABW","tour",1949753694.58
"AGO","cf",3442427914.76326
"AGO","og",116346664523.459
"AGO","tour",4.287e+09
"AIA","tour",1.41e+08
"Alaska","aqf",17337.3515328902
"Alaska","tour",9620016667.42732
"ALB","aqf",39856.1134751898
"ALB","cf",34117329.8986598
"ALB","mar",11300379.471
"ALB","og",27028200.0783622
"ALB","tour",2.596e+09
"ANT","aqf",160288.84121976
"ANT","cf",15269994.0190659
"ANT","mmw",0
"ANT","og",0
"ANT","tour",1663054187.19
"ARE","aqf",8012655.616
"ARE","cf",1028340816.80906
"ARE","mar",51275090.17887
"ARE","og",93613496105.9528
"ARE","tour",5.1583e+10
"ARG","aqf",156933.446808406
"ARG","cf",11459700366.8726
"ARG","mar",2054435.184
"ARG","mmw",62566162.6
"ARG","og",470950027.869989
"ARG","tour",4.4767e+10
"ASM","mmw",0
"ASM","og",0
"ATA","mmw",37437248.98
"ATA","og",0
"ATG","aqf",5826.12322275988
"ATG","cf",19233109.7646428
"ATG","mmw",48272.36
"ATG","og",0
"ATG","tour",8.71e+08
"AUS","aqf",5985890.04256044
"AUS","cf",3690418303.00774
"AUS","mmw",174768087.4
"AUS","og",19322531072.2027
"AUS","tour",1.44147e+11
"Azores","mmw",7795511.18
"BEL","aqf",99640.2836879744
"BEL","cf",373354825.722368
"BEL","og",56037290.9517982
"BEL","tour",2.4261e+10
"BEN","cf",44939458.5277747
"BEN","mmw",0
"BEN","og",0
"BEN","tour",4.6e+08
"BGD","aqf",119608.735135016
"BGD","cf",2331324412.02555
"BGD","mar",1213121703.591
"BGD","mmw",1783.54
"BGD","og",0
"BGD","tour",4.507e+09
"BGR","aqf",341748.736
"BGR","cf",83603298.6940928
"BGR","mar",2023086.744
"BGR","og",14610818.0168759
"BGR","tour",6.968e+09
"BHR","cf",144782757.247171
"BHR","mmw",452926.83
"BHR","og",0
"BHR","tour",3.588e+09
"BHS","cf",380586567.036928
"BHS","mar",121803.858
"BHS","mmw",4048079.27
"BHS","og",0
"BHS","tour",3.63e+09
"BIH","cf",58427.867916759
"BIH","mar",4477265.1
"BIH","og",0
"BIH","tour",1.507e+09
"BLZ","aqf",311375.886524459
"BLZ","cf",145964344.552499
"BLZ","mar",94382399.991573
"BLZ","mmw",197154.47
"BLZ","og",0
"BLZ","tour",4.85e+08
"BMU","cf",7600793.4388736
"BMU","mmw",32418.7
"BMU","og",0
"BMU","tour",9.48e+08
"BRA","aqf",14021878.9219848
"BRA","cf",5096511549.58848
"BRA","mar",391433261.28858
"BRA","mmw",28817229.88
"BRA","og",81534583646.6559
"BRA","tour",1.96304e+11
"BRB","aqf",24695.9999998946
"BRB","cf",23746326.4721428
"BRB","og",0
"BRB","tour",1.818e+09
"BRN","aqf",101957.156398114
"BRN","cf",23058790.7544781
"BRN","mar",3180166.54657454
"BRN","og",7555858818.38402
"BRN","tour",496596427.942
"CAN","aqf",89676.255319054
"CAN","cf",15462777465.813
"CAN","mar",2449750674.66853
"CAN","mmw",152810975.6
"CAN","og",936658753.650973
"CAN","tour",7.7805e+10
"CAN","wte",3493984.81461523
"Canary Islands","mmw",57446646.34
"CHL","aqf",5487.99999999298
"CHL","cf",66650001309.3734
"CHL","mar",5142458893.3488
"CHL","mmw",2493725.61
"CHL","og",0
"CHL","tour",19726602957.1126
"CHN","aqf",11366465.3616988
"CHN","cf",70435468051.7806
"CHN","mar",42620765322.267
"CHN","mmw",13465569.11
"CHN","og",93243575711.5937
"CHN","tour",7.85463e+11
"CIV","aqf",5170.6077812794
"CIV","cf",523445160.173466
"CIV","mar",2706874.9757712
"CIV","og",1225090709.41027
"CIV","tour",1.111e+09
"CMR","cf",456662908.704666
"CMR","og",1607480909.6645
"CMR","tour",1.372e+09
"COD","aqf",647661.843972448
"COD","cf",127877403.411538
"COD","og",457892014.641947
"COD","tour",3.91e+08
"COG","aqf",229172.652482219
"COG","og",6525619383.8621
"COG","tour",3.79e+08
"COK","aqf",376142.070923179
"COK","mar",5661022.644
"COK","mmw",517518.29
"COK","og",0
"COL","aqf",18809594.5531874
"COL","cf",1506928963.81297
"COL","mar",343208757.96999
"COL","mmw",2599085.37
"COL","og",0
"COL","tour",1.8757e+10
"COM","og",0
"COM","tour",4e+07
"CPV","cf",184795453.858929
"CPV","og",0
"CPV","tour",7.62e+08
"CRI","aqf",742320.113474487
"CRI","cf",229434862.012088
"CRI","mar",48777161.4
"CRI","mmw",21505118.9
"CRI","og",0
"CRI","tour",5.203e+09
"CUB","aqf",176861.503546001
"CUB","cf",106205317.947116
"CUB","mar",30937623.75
"CUB","og",0
"CUB","tour",7.817e+09
"CYM","cf",746506.498539827
"CYM","og",0
"CYM","tour",7.84e+08
"CYP","cf",56322086.2101094
"CYP","mar",68840760.8021178
"CYP","mmw",5516.26
"CYP","og",0
"CYP","tour",4.227e+09
"DEU","aqf",1626156.14721465
"DEU","cf",3369390365.73082
"DEU","mar",41806717.00325
"DEU","mmw",0
"DEU","og",2320511323.18936
"DEU","tour",1.55417e+11
"DJI","aqf",13839594.496
"DJI","cf",14298023.1665797
"DJI","og",0
"DMA","cf",5242996.29129114
"DMA","mmw",1814024.39
"DMA","og",0
"DMA","tour",1.49e+08
"DNK","aqf",2491.00709220551
"DNK","cf",9941660516.34381
"DNK","mar",81106403.2896365
"DNK","mmw",3800.81
"DNK","og",15886279822.2845
"DNK","tour",2.0104e+10
"DOM","aqf",358705.021276708
"DOM","cf",177033337.462088
"DOM","mar",29972908.450143
"DOM","mmw",9072154.47
"DOM","og",0
"DOM","tour",8.544e+09
"DZA","aqf",0
"DZA","cf",1647953785.35496
"DZA","mar",1664562.32721144
"DZA","og",0
"DZA","tour",1.3769e+10
"Easter Island","aqf",2.06583712841109
"Easter Island","tour",20397042.8873669
"ECU","aqf",108582.763406966
"ECU","cf",3818221819.65414
"ECU","mar",1112541825.03714
"ECU","mmw",55136615.85
"ECU","og",0
"ECU","tour",3731157707.54798
"EGY","aqf",9964.02836879744
"EGY","cf",706474127.576269
"EGY","mar",1815686874.62856
"EGY","mmw",3525211.38
"EGY","og",8303024868.83453
"EGY","tour",3.6949e+10
"ESP","aqf",74469262.336
"ESP","cf",9957939769.01427
"ESP","mar",1499379937.62883
"ESP","mmw",8288054.88
"ESP","og",0
"ESP","tour",2.09834e+11
"EST","aqf",297493.504
"EST","cf",825670313.352192
"EST","og",37963410.650732
"EST","tour",2.825e+09
"FIN","aqf",2301272.064
"FIN","cf",1490318153.64884
"FIN","mar",253919678.82579
"FIN","og",43549027.2257555
"FIN","tour",1.6123e+10
"FJI","aqf",1367562.89361822
"FJI","cf",184056108.644424
"FJI","mar",2107270.94171859
"FJI","mmw",0
"FJI","og",0
"FJI","tour",1.309e+09
"FLK","mar",94300.65301
"FLK","mmw",24898.37
"FLK","og",0
"FRA","aqf",523686.912
"FRA","cf",7871875609.73005
"FRA","mar",2656246521.19481
"FRA","mmw",1659322.15
"FRA","og",1642373321.94406
"FRA","tour",2.52621e+11
"FRA","wte",85108228.0732443
"FSM","aqf",12455.0354610029
"FSM","cf",206628965.691044
"FSM","mmw",0
"GAB","aqf",88510.464
"GAB","cf",231669081.646428
"GAB","mmw",23882.11
"GAB","og",6862850889.81441
"GAB","tour",3.58e+08
"GBR","aqf",3980629.33333919
"GBR","cf",6925444483.59322
"GBR","mar",3312350938.23095
"GBR","mmw",21787604.67
"GBR","og",151647588856.637
"GBR","tour",1.67706e+11
"GEO","cf",142153994.401126
"GEO","mmw",0
"GEO","og",4914413.46147226
"GEO","tour",2.344e+09
"GHA","aqf",0
"GHA","cf",1397630795.04671
"GHA","og",160078840.161111
"GHA","tour",2.217e+09
"GIB","mmw",2539256.1
"GIB","og",0
"GIN","aqf",236559.498378339
"GIN","cf",473286309.236429
"GIN","og",0
"GIN","tour",2.42e+08
"GLP","cf",214898215.305769
"GLP","mar",66901.1807837563
"GLP","og",0
"GLP","tour",1453801334.05885
"GMB","aqf",2491.00709220551
"GMB","cf",197146820.751319
"GMB","mmw",2184959.35
"GMB","og",0
"GMB","tour",2.02e+08
"GNB","aqf",7473.02127659193
"GNB","cf",10835008.6054533
"GNB","og",0
"GNQ","aqf",5315.94378377847
"GNQ","cf",18784818.0696566
"GNQ","og",7201727063.0013
"GRC","aqf",2745089.81559601
"GRC","cf",1306800413.76174
"GRC","mar",1606079233.71643
"GRC","mmw",716913.62
"GRC","og",423292653.276998
"GRC","tour",4.0005e+10
"GRD","cf",26384784.208599
"GRD","mmw",290548.78
"GRD","og",0
"GRD","tour",1.74e+08
"GRL","aqf",322079.744
"GRL","cf",1605566786.99039
"GRL","mmw",975813.01
"GRL","og",0
"GTM","aqf",7473.02127659193
"GTM","cf",63379939.96544
"GTM","mar",70377401.028141
"GTM","mmw",154471.54
"GTM","og",0
"GTM","tour",4.086e+09
"GUF","aqf",0
"GUF","cf",107863092.36011
"GUF","og",0
"GUM","cf",11251242.5332142
"GUM","mar",1427125.53332646
"GUM","mmw",33206962.4
"GUM","og",0
"GUY","aqf",264046.75177221
"GUY","cf",291850199.254835
"GUY","og",0
"GUY","tour",2.58e+08
"Hawaii","aqf",32994.2256176208
"Hawaii","tour",18307582895.1285
"HKG","cf",1625948702.50373
"HKG","mar",73521464.6813461
"HKG","mmw",1530487.81
"HKG","og",0
"HKG","tour",29076847290.6
"HND","aqf",835932.16
"HND","cf",112873075.207281
"HND","mar",154818720.396
"HND","mmw",0
"HND","og",0
"HND","tour",2.646e+09
"HRV","cf",436161759.02423
"HRV","mar",76480387.631001
"HRV","mmw",37782.52
"HRV","og",1512482886.09742
"HRV","tour",1.3287e+10
"HTI","aqf",1068642.04255306
"HTI","cf",33547420.3391488
"HTI","og",0
"HTI","tour",4.04e+08
"IDN","aqf",13526168.510641
"IDN","cf",21296821356.1242
"IDN","mmw",1738515.98
"IDN","og",13651827791.7207
"IDN","tour",7.3736e+10
"IND","aqf",3885711.74763764
"IND","cf",20563548716.7058
"IND","mmw",2310663.11
"IND","og",17383895242.7094
"IND","tour",1.14922e+11
"IRL","aqf",2122338.042552
"IRL","cf",2601031327.69894
"IRL","mar",761124563.151496
"IRL","mmw",11685858.74
"IRL","og",0
"IRL","tour",1.8932e+10
"IRN","aqf",39337.984
"IRN","cf",2896940042.00653
"IRN","mar",96457127.4
"IRN","og",0
"IRN","tour",2.7436e+10
"IRQ","cf",56690078.3478579
"IRQ","og",0
"IRQ","tour",5.788e+09
"ISL","cf",15685854599.8551
"ISL","mar",162028749.333
"ISL","mmw",16980677.85
"ISL","og",0
"ISL","tour",2.594e+09
"ISR","aqf",39679251.9717458
"ISR","cf",31196215.7115392
"ISR","mar",124956375.539136
"ISR","og",0
"ISR","tour",1.7171e+10
"ITA","aqf",4366735.43262932
"ITA","cf",3753369433.13203
"ITA","mar",1749003047.61321
"ITA","mmw",2719372.97
"ITA","og",1483592200.61864
"ITA","tour",2.15016e+11
"JAM","aqf",2585.3038906397
"JAM","cf",214582084.350054
"JAM","mar",4060608.939
"JAM","mmw",25406.5
"JAM","og",0
"JAM","tour",3.982e+09
"JOR","cf",1988305.51620055
"JOR","mar",3988027.188
"JOR","og",0
"JOR","tour",6.099e+09
"JPN","aqf",55412452.7660247
"JPN","cf",58136796650.8923
"JPN","mar",28136243719.2658
"JPN","mmw",23090424.8
"JPN","og",0
"JPN","tour",3.83539e+11
"KEN","aqf",194298.553191489
"KEN","cf",49615756.2126643
"KEN","mmw",0
"KEN","og",0
"KEN","tour",5.166e+09
"KHM","aqf",17210.368
"KHM","cf",272516883.189555
"KHM","mar",5257528.6918284
"KHM","og",0
"KHM","tour",3.435e+09
"KIR","aqf",1843345.24822814
"KIR","cf",147225300.666071
"KIR","mar",1144900.647
"KIR","og",0
"KIR","tour",5e+07
"KNA","mmw",0
"KNA","og",0
"KNA","tour",1.7e+08
"KOR","aqf",961528.73758926
"KOR","cf",36995409120.5028
"KOR","mar",8241088654.07334
"KOR","og",0
"KOR","tour",6.0725e+10
"KWT","aqf",4917.248
"KWT","cf",37647427.9418675
"KWT","mar",3764877.1631001
"KWT","og",0
"KWT","tour",8.056e+09
"LBN","aqf",5315.94378377847
"LBN","cf",27097500.779561
"LBN","og",0
"LBN","tour",1.1285e+10
"LBR","aqf",2134085.632
"LBR","cf",152557102.151373
"LBR","og",0
"LBY","aqf",137682.944
"LBY","cf",203800332.989891
"LBY","mar",2755629
"LBY","og",9040482314.65501
"LBY","tour",2.32e+09
"LCA","cf",18090663.9746703
"LCA","mar",31727.655
"LCA","mmw",1602652.44
"LCA","og",0
"LCA","tour",4.72e+08
"LKA","aqf",22344333.6170298
"LKA","cf",2284061153.13582
"LKA","mar",97426487.603268
"LKA","mmw",52032.52
