"rgn_id","habitat","extent_rank"
1,"coral",408.68
2,"coral",6.986
5,"coral",17524.4
6,"coral",1837.32
7,"coral",8791.88
8,"coral",1984.024
9,"coral",12242.96
10,"coral",13.972
11,"coral",7157.16
12,"coral",31.43704
13,"coral",677.644
14,"coral",1323.848
15,"coral",38674.52
16,"coral",126729.6
17,"coral",25886.64
18,"coral",12047.36
19,"coral",3559.372
24,"coral",118.762
25,"coral",621.756
26,"coral",2581.328
28,"coral",642.712
29,"coral",1121.256
30,"coral",663.672
31,"coral",5714.56
32,"coral",38.42304
33,"coral",202.594
34,"coral",125.748
35,"coral",24.45104
36,"coral",24.45104
37,"coral",2616.26
38,"coral",7069.84
39,"coral",10538.4
40,"coral",384.2304
41,"coral",5987
42,"coral",8267.92
43,"coral",1543.908
44,"coral",1365.764
45,"coral",5295.4
46,"coral",506.484
47,"coral",2298.396
48,"coral",908.18
49,"coral",2410.172
50,"coral",10849.28
51,"coral",164.1712
52,"coral",796.404
54,"coral",485.528
79,"coral",3.493004
102,"coral",3.493004
108,"coral",2102.788
110,"coral",7778.92
111,"coral",639.22
112,"coral",9937.6
113,"coral",401.696
114,"coral",985.028
115,"coral",1037.42
116,"coral",709.08
117,"coral",499.5
118,"coral",80.3392
119,"coral",136.2272
120,"coral",153.692
122,"coral",62.874
123,"coral",34.93004
124,"coral",76.846
125,"coral",164.1712
126,"coral",52.3952
127,"coral",87.3252
129,"coral",2043.408
130,"coral",223.552
131,"coral",1826.84
132,"coral",3531.428
133,"coral",2507.976
135,"coral",3629.232
137,"coral",286.4264
139,"coral",1233.032
140,"coral",513.472
146,"coral",122.2552
147,"coral",10150.68
148,"coral",541.416
150,"coral",254.9892
151,"coral",136.2272
152,"coral",555.388
153,"coral",883.728
154,"coral",20.958
155,"coral",3594.3
156,"coral",307.3844
157,"coral",195.608
158,"coral",31.43704
159,"coral",289.9192
161,"coral",1512.472
163,"coral",15875.68
164,"coral",3454.58
166,"coral",1407.68
171,"coral",2658.176
190,"coral",621.756
191,"coral",415.668
202,"coral",6238.52
203,"coral",4851.8
