"rgn_id","w_fis"
1,1
2,1
3,1
4,1
5,0.848353756
6,0.999128761
7,1
8,0.998874333
9,1
10,1
11,1
12,1
13,0.99997144
14,0.923418325
15,0.813044415
16,0.814245006
17,0.999911491
18,0.999694919
19,0.999775174
20,0.409313847
21,0.94697741
24,0.966680468
25,0.344074936
26,1
28,1
29,0.985876889
31,1
32,0.983749854
36,1
37,0.986276001
38,1
39,1
40,0.94540875
41,0.986414569
42,0.965378453
43,1
44,1
45,1
46,1
47,1
48,0.999513649
49,1
50,0.86338612
51,0.996679636
52,0.999936655
53,0.999507469
54,0.999547161
55,1
56,1
57,1
58,1
59,1
60,1
61,0.939681993
62,0.999651928
63,1
64,1
65,0.99982443
66,0.999845686
67,0.990455024
68,0.803121564
69,1
70,1
71,0.958410587
72,1
73,0.998829611
74,1
75,0.98073478
76,0.81021711
77,1
78,1
79,0.788424338
80,0.712191472
81,0.84183
82,0.848926024
84,0.998368929
85,1
86,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,0.998633248
102,0.996911487
103,1
104,1
105,1
106,1
107,1
108,1
110,0.999955213
111,0.999973745
112,0.835715287
113,1
114,1
115,0.903912311
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
129,0.968717157
130,0.891515813
131,0.549711255
132,0.80486208
133,0.334246981
134,0.948291221
135,0.89000636
136,0.569989949
137,0.583605414
138,0.986166117
139,0.912865799
140,0.992931142
141,0.850352452
143,0.995838116
144,1
145,1
146,1
147,0.884895603
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
158,1
159,1
161,1
162,0.758605293
163,0.952520047
164,0.474139387
166,0.988116105
167,0.997008149
168,0.997583463
169,1
171,0.836452684
172,0.999784849
173,1
174,0.899220462
175,0.980119487
176,0.947938842
177,0.730482029
178,1
179,0.641728645
180,0.902037432
181,0.907021184
182,0.636087698
183,0.951372344
184,0.546197873
185,1
186,0.966424381
187,0.898273818
188,0.680074863
189,1
190,1
191,0.972010333
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
202,0.985463091
203,0.951286421
204,0.713874227
205,0.957538764
206,0.866629779
207,0.685790643
208,0.91726646
209,0.383245112
210,0.838740588
212,0.999831034
214,0.146651471
215,1
216,0.791557864
218,0.864495265
219,1
220,1
222,0.986450223
223,0.657770754
224,0.75205115
231,0.999892318
232,0.839998038
247,0.987025239
250,1
