"rgn_id","popn"
1,582.96
2,1087.16
3,1638.55
4,596
5,235608
6,278840
7,630463
8,42449.7
9,198914
10,12371.3
11,154841
12,150
13,417418
14,21294100
15,90286200
16,17646200
17,2698860
18,942756
19,21653.1
20,41832400
21,15653500
24,1204160
25,22566700
26,427068
28,996688
29,292112
30,10
31,107670
32,825255
33,10
34,0
35,0
36,0
37,1377290
38,3000
39,557350
40,14111700
41,9310270
42,7001750
43,2800610
44,5979590
45,1119130
46,576535
47,5722940
48,2789430
49,766450
50,3531690
51,2408780
52,814280
53,15043700
54,1653910
55,246493
56,571723
57,227951
58,1790370
59,2825460
60,15243.2
61,6772100
62,16644200
63,127858
64,1143300
65,1318400
66,6200990
67,3708580
68,355510
69,1224050
70,756882
71,833557
72,623307
73,8454450
74,1037240
75,5860660
76,32497800
77,3381180
78,3847450
79,7977150
80,9037330
81,821352
82,2259790
84,15509900
85,798.242
86,6606.6
88,259.238
89,30
90,50
91,0
92,25
93,90
94,0
95,2841.46
96,2585890
97,2143750
98,1772240
99,3368860
100,892737
101,167275
102,11444500
103,169688
104,346269
105,0
106,7071600
107,0
108,79062.8
110,341504
111,38404.8
112,10027600
113,54912.1
114,9906550
115,7697950
116,4391780
117,31373.9
118,14052.7
119,32246
120,66221.5
121,5421.22
122,182674
123,67393.3
124,333198
125,121584
126,1536520
127,135286
129,3393660
130,1670960
131,2846710
132,7151740
133,3148220
134,5280850
135,19471900
136,1539130
137,5912970
138,14445800
139,14867300
140,861376
141,54494.8
143,318438
144,18
145,60174.5
146,69.1951
147,308800
148,6641.21
149,0
150,0
151,100505
152,161249
153,23309
154,1834.38
155,126193
156,4404.27
157,217.202
158,0
159,0
161,16062.9
162,4145630
163,100790000
164,195058
166,2848280
167,415428
168,425992
169,144462
171,57649100
172,16068900
173,2424140
174,2675690
175,5256400
176,6778120
177,11144000
178,3036450
179,14946400
180,37832200
181,3476720
182,19248900
183,7868980
184,31148800
185,3138.82
186,251542
187,1509300
188,261658
189,395203
190,767590
191,2940330
192,447473
193,1079780
194,1663040
195,6475860
196,22043700
197,1749800
198,547392
199,142883
200,4009640
202,6871720
203,148865000
204,31324900
205,15131500
206,22254000
207,40760300
208,4968980
209,218966000
210,103863000
212,132014
214,17733200
215,1054210
216,169934000
218,6315110
219,6372.81
220,25892.8
221,59543.5
222,6034730
223,4019550
224,5577400
227,89865.4
228,58177.2
231,617331
232,450134
237,44330.1
244,205828
245,15808.3
247,375164
248,1967.42
249,4391.27
250,152599
255,10272.5
