year,rgn_id,value
1980,1,0.794911374
1981,1,0.787979895
1982,1,0.794408668
1983,1,0.797912219
1984,1,0.801202995
1985,1,0.788104947
1986,1,0.787284045
1987,1,0.791556215
1988,1,0.796259583
1989,1,0.800016702
1990,1,0.804703045
1991,1,0.809426265
1992,1,0.813873037
1993,1,0.806723534
1994,1,0.811603732
1995,1,0.816653339
1996,1,0.820331066
1997,1,0.822292788
1998,1,0.818989504
1999,1,0.813102707
2000,1,0.818272713
2001,1,0.819260882
2002,1,0.822922924
2003,1,0.827663048
2004,1,0.832876102
2005,1,0.837607352
2006,1,0.843763295
2007,1,0.848303555
2008,1,0.848620665
2009,1,0.846819328
2010,1,0.853677385
2011,1,0.857457868
1980,2,0.794911374
1981,2,0.787979895
1982,2,0.794408668
1983,2,0.797912219
1984,2,0.801202995
1985,2,0.788104947
1986,2,0.787284045
1987,2,0.791556215
1988,2,0.796259583
1989,2,0.800016702
1990,2,0.804703045
1991,2,0.809426265
1992,2,0.813873037
1993,2,0.806723534
1994,2,0.811603732
1995,2,0.816653339
1996,2,0.820331066
1997,2,0.822292788
1998,2,0.818989504
1999,2,0.813102707
2000,2,0.818272713
2001,2,0.819260882
2002,2,0.822922924
2003,2,0.827663048
2004,2,0.832876102
2005,2,0.837607352
2006,2,0.843763295
2007,2,0.848303555
2008,2,0.848620665
2009,2,0.846819328
2010,2,0.853677385
2011,2,0.857457868
1980,3,0.799520841
1981,3,0.809185151
1982,3,0.816356153
1983,3,0.819419879
1984,3,0.826631495
1985,3,0.830744015
1986,3,0.834698335
1987,3,0.837412123
1988,3,0.842063421
1989,3,0.847050254
1990,3,0.851300016
1991,3,0.85204641
1992,3,0.85421683
1993,3,0.859028397
1994,3,0.863885746
1995,3,0.867878932
1996,3,0.871361198
1997,3,0.874775435
1998,3,0.877933164
1999,3,0.882571488
2000,3,0.886124039
2001,3,0.889898231
2002,3,0.89365969
2003,3,0.896508274
2004,3,0.900717041
2005,3,0.903608986
2006,3,0.908605286
2007,3,0.913901606
2008,3,0.915450738
2009,3,0.920129896
2010,3,0.919018013
2011,3,0.924157679
1980,4,
1981,4,
1982,4,
1983,4,
1984,4,
1985,4,
1986,4,
1987,4,
1988,4,
1989,4,
1990,4,
1991,4,
1992,4,
1993,4,
1994,4,
1995,4,
1996,4,
1997,4,
1998,4,
1999,4,
2000,4,
2001,4,
2002,4,
2003,4,
2004,4,
2005,4,
2006,4,
2007,4,
2008,4,
2009,4,
2010,4,
2011,4,
1980,5,0.630675822
1981,5,0.639807652
1982,5,0.643791726
1983,5,0.648759928
1984,5,0.655880347
1985,5,0.65624658
1986,5,0.659796732
1987,5,0.658128413
1988,5,0.660046071
1989,5,0.664571684
1990,5,0.667318886
1991,5,0.670849319
1992,5,0.677163803
1993,5,0.681208702
1994,5,0.687136838
1995,5,0.689168262
1996,5,0.692217926
1997,5,0.691860221
1998,5,0.692642721
1999,5,0.694873479
2000,5,0.69315551
2001,5,0.691828086
2002,5,0.690864934
2003,5,0.693923885
2004,5,0.698680661
2005,5,0.702912785
2006,5,0.708270352
2007,5,0.71282879
2008,5,0.717173057
2009,5,0.717368029
2010,5,0.719580836
2011,5,0.723627671
1980,6,0.633116278
1981,6,0.64239766
1982,6,0.654442058
1983,6,0.667228816
1984,6,0.676527759
1985,6,0.678027035
1986,6,0.677841622
1987,6,0.67578047
1988,6,0.675204172
1989,6,0.67762094
1990,6,0.688331135
1991,6,0.691535994
1992,6,0.693054105
