"metric","sector","iso3166","cur_year","ref_year","cur_base_value","ref_base_value","cur_adj_value","ref_adj_value"
"jobs","cf","ABW",2008,2003,862.19,786.8868,91.3835505392,89.3104095835
"jobs","cf","AGO",2002,1995,41508.516,48035.848,90.1973789912,90.2603387255
"jobs","cf","AIA",2008,2003,242.5206,498.33,91.3835505392,89.3104095835
"jobs","cf","ALB",2008,2003,5162.066,3986.64,87.25179073,86.8025818923
"jobs","cf","ARE",2008,2003,32666.718,19367.1604,95.99072178,89.4523825251
"jobs","cf","ARG",2008,2003,36493.576,12050.094,92.16259288,83.91838711
"jobs","cf","ASM",2004,1999,97.3721,97.3721,90.585864992,89.0625380711
"jobs","cf","ATG",2008,2003,1335.208,1060.3355,91.3835505392,89.3104095835
"jobs","cf","AUS",2008,2002,5774.3,6053.523,95.76134204,93.63694235
"jobs","cf","BEL",2008,2003,606.4597,1028.3,93.02440428,91.82571662
"jobs","cf","BEN",2008,2003,45187.457,98629.79,91.0888686979,92.0239238558
"jobs","cf","BGD",2008,2003,2908044.8978,1454038.2689,92.9170023532,95.67835942
"jobs","cf","BHR",2008,2002,10003.3815,8737.7024,88.3158118634,89.6796966575
"jobs","cf","BLZ",2008,2003,3586.394,3601.423,91.81380423,93.4266555158
"jobs","cf","BMU",2008,2003,290.1388,303.744,91.3835505392,89.3104095835
"jobs","cf","BRB",2001,1996,3550.4035,3550.4035,90.15151515,85.2897474
"jobs","cf","BRN",2008,2003,477.764,436.632,95.0205533997,94.658881671
"jobs","cf","CAN",2004,1999,38904.544,37880.4363,92.81012644,92.4200534
"jobs","cf","CHL",2008,2003,111953.394,78952.874,92.20354576,91.50339399
"jobs","cf","CHN",2008,2003,2879486.792,2960287.442,96.1294196435,95.69999973
"jobs","cf","CIV",2004,1999,9836.876,4602.038,91.8685389757,94.0344473942
"jobs","cf","CMR",2003,2000,23730,32905.6,90.1883847434,90.2153674867
"jobs","cf","COD",2006,2001,192399.7551,86851.8,90.1614020001,90.2063732389
"jobs","cf","COG",2000,1995,16611,18746.7,90.2153674867,90.2603387255
"jobs","cf","COK",2006,1996,32.8265,104.8075,95.3110964617,91.844061199
"jobs","cf","COM",2005,2000,8918.525,8948.4248,89.9498982319,90.7757487992
"jobs","cf","CPV",2007,2002,7620.494,7914.746,91.3098309784,92.251086422
"jobs","cf","CUB",2008,2004,7827.736,8095.094,98.36574266,98.14563675
"jobs","cf","CYP",2008,2003,1198.6023,1464.932,96.22166247,95.89442815
"jobs","cf","DEU",2008,2003,2510.634,3181.402,92.48833034,90.73281863
"jobs","cf","DMA",2008,2002,1280.4708,1058.4371,91.3835505392,88.8955234154
"jobs","cf","DNK",2008,2003,1660.309,5511.5298,96.6796875,94.59345398
"jobs","cf","DOM",2005,2004,14966.5901,16631.9615,81.99957868,81.63782676
"jobs","cf","ECU",2007,1997,36673.924,17196.34,93.93445324,90.8325566
"jobs","cf","EGY",2000,1994,627327.2292,195598.9546,91,81.1715341797
"jobs","cf","ESP",2006,2001,26931.4143,70407.1473,91.48886755,89.53113922
"jobs","cf","EST",2008,2003,4419.317,9450.5516,94.5323741,89.24242424
"jobs","cf","FIN",2008,2003,1762.2689,2432.4041,93.69038885,91.03395651
"jobs","cf","FJI",2008,2003,2127.79,1577.254,91.4524030064,89.0994544851
"jobs","cf","FLK",2008,2003,1202.32,1408.4546,93.2971396621,93.4967228068
"jobs","cf","FRA",2007,2002,18703.1159,20900.5139,92.00978981,91.29653696
"jobs","cf","GAB",2007,2002,5225.9788,9794.3993,90.1524077524,90.1973789912
"jobs","cf","GBR",2006,2001,16997.6408,19880.9149,94.65019202,95.25993884
"jobs","cf","GHA",2000,1995,403996.922,260414.602,89.63768342,95.8310199886
"jobs","cf","GLP",2008,2003,1426.6476,1385.2783,91.3835505392,89.3104095835
"jobs","cf","GMB",2007,1998,6913.1818,8087.975,91.3098309784,94.9249328825
"jobs","cf","GNQ",2008,2000,345.667,3184.566,90.1434135046,90.2153674867
"jobs","cf","GRC",2008,2003,19663.2317,22473.2592,92.34646596,90.28732362
"jobs","cf","GRD",2008,2003,3726.401,3342.766,91.3835505392,89.3104095835
"jobs","cf","GTM",2008,2003,4110.036,4171.734,94.5324117455,97.23036741
"jobs","cf","GUF",2008,2003,249.4814,298.9189,92.0471593484,89.3920075503
"jobs","cf","GUM",2008,2006,1186.5,1771.5236,92.9172946406,91.7488167624
"jobs","cf","GUY",2008,2003,10520.3,10352.608,92.0471593484,89.3920075503
"jobs","cf","HKG",2008,2003,11316.837,15183.245,96.44286106,92.14202062
"jobs","cf","HND",2008,2002,4503.954,75575.304,94.5324117455,96.05924427
"jobs","cf","HRV",2008,2003,18953.942,19186.496,91.65266106,86.06603246
"jobs","cf","IDN",2008,2003,2696085.2156,3936759.6982,91.60810465,90.49902309
"jobs","cf","IND",2008,2003,7976022.6343,8148031.2004,92.9170023532,93.3323256168
"jobs","cf","IRN",2008,2003,232297.716,223411.622,89.51559681,93.3323256168
"jobs","cf","IRQ",2008,2003,8345.05,3581.648,88.3158118634,71.89999962
"jobs","cf","ISL",2008,2003,3401.3,4034.1,97.00833349,96.64788309
"jobs","cf","JAM",2008,2002,23434.0078,22307.3865,89.43288061,85.70000474
"jobs","cf","JOR",2008,2003,639.7608,688.4073,87.35000038,84.57408547
"jobs","cf","JPN",2007,2002,161625.03,192466.12,96.11577684,94.61722488
"jobs","cf","KEN",2008,2003,86933.1939,89629.9502,89.4543878916,90.2802384588
"jobs","cf","KIR",2008,2005,3112.2686,5796.448,92.9172946406,91.1645778233
"jobs","cf","KNA",2000,1997,271.313,211.197,88.0653870763,86.8194115495
"jobs","cf","KOR",2008,2003,68748.974,2736.86,96.82533164,96.43803036
"jobs","cf","LBN",2006,2001,8946.21,8946.21,88.7704401281,89.9070107898
"jobs","cf","LBR",2008,2004,17190.9612,6544.734,91.0888686979,91.8685389757
"jobs","cf","LCA",2008,2003,2478.203,2242.6432,91.3835505392,77.82015353
"jobs","cf","LKA",2008,2003,247891.49,134865.5,94.78221716,91.77876854
"jobs","cf","LTU",2007,2003,1586.2714,2575.9706,95.6955708,87.10059172
"jobs","cf","LVA",2008,2003,619.7485,6448.1529,92.51028807,89.40338379
"jobs","cf","MAR",2008,2003,175410.578,182119.84,90.4341802,88.08363015
"jobs","cf","MDG",2008,2003,181613.6,181937.91,89.4543878916,94.99330328
"jobs","cf","MDV",2008,2003,22252.412,23557.562,92.9170023532,93.3323256168
"jobs","cf","MEX",2008,2003,192571.323,24721.914,96.49012789,97.03608113
"jobs","cf","MLT",2008,2003,788.7061,1266.7865,94.15204678,92.54658385
"jobs","cf","MMR",2008,2003,2790774.56,2200957.5,95.0205533997,94.658881671
"jobs","cf","MTQ",2008,2003,1353.2428,1433.1338,91.3835505392,89.3104095835
"jobs","cf","MUS",2008,2003,26383.4095,27829.2784,92.77681918,89.80000127
"jobs","cf","MYS",2008,2006,173657.722,154952.154,96.66031919,96.69999953
"jobs","cf","MYT",2005,2003,3810.247,3810.247,89.9498982319,90.2802384588
"jobs","cf","NCL",2008,2003,1227.632,406.574,91.4524030064,89.0994544851
"jobs","cf","NGA",2008,2003,944392.8557,651545.4344,91.0888686979,92.0239238558
"jobs","cf","NIC",2005,2000,23880.29,21820.526,94.38056166,90.19445822
"jobs","cf","NLD",2003,1998,5383.546,5921.426,96.40484101,95.60836993
"jobs","cf","NOR",2008,2003,16870.1316,21807.7118,97.40274759,95.57522124
"jobs","cf","NZL",2008,2003,2192.652,2872.121,95.84318872,95.24180614
"jobs","cf","OMN",2008,2003,33432.406,26172.608,88.3158118634,89.4523825251
"jobs","cf","PAK",2008,2003,360943.6621,316468.8961,95.02436627,93.3323256168
"jobs","cf","PAN",2008,2003,54669.174,32379.1895,94.1479599,86.3814421
"jobs","cf","PER",2006,2001,128834.2832,121872.534,92.57402396,92.12342919
"jobs","cf","PHL",2002,1995,1413475.868,579322.072,88.49523357,91.64021541
"jobs","cf","PLW",2008,2004,348.5146,408.947,92.9172946406,90.585864992
"jobs","cf","POL",2008,2003,5497.45,7858.585,92.88330268,80.35524608
"jobs","cf","PRI",2005,1998,844.788,2114.1848,88.65248227,86.54434251
"jobs","cf","PYF",2008,2002,9797.326,5003.075,90.4552115402,88.28619671
"jobs","cf","QAT",2008,2003,4586.218,6642.818,88.3158118634,89.4523825251
"jobs","cf","REU",2008,2003,579.1702,664.1236,89.4543878916,90.2802384588
"jobs","cf","ROU",2006,2001,8118.4285,5782.21,92.73453094,93.43766211
"jobs","cf","RUS",2005,2000,126979.23,132168.19,92.87023049,89.43784629
"jobs","cf","SAU",2006,2001,22000.083,19125.589,93.8,95.40000052
"jobs","cf","SDN",2008,2002,18409.734,29187.9,88.7640466285,85.5101127219
"jobs","cf","SEN",2001,1996,87875.354,90279.994,92.6345733606,96.0821533777
"jobs","cf","SGP",2008,2003,131.306,272.104,96.04853786,95.30204461
"jobs","cf","SHN",2008,2003,34.3294,44.0587,93.2971396621,93.4967228068
"jobs","cf","SLV",2008,2003,28004.4849,25169.6991,94.11604898,93.05407869
"jobs","cf","STP",2003,1997,3146.598,3145.016,90.1883847434,90.24235023
"jobs","cf","SUR",2007,2002,3548.426,3107.048,91.6027266181,88.9756882969
"jobs","cf","SVN",2000,1995,290.1388,241.8878,92.80000019,92.84963197
"jobs","cf","SWE",2004,1999,1513.183,2278.08,93.45672005,92.92314627
"jobs","cf","SYC",2007,2002,2918.79,1969.59,89.619558005,90.19357486
"jobs","cf","SYR",2008,2003,8993.1954,12670.238,88.3158118634,89.72072736
"jobs","cf","TCA",2008,2003,289.506,305.326,91.3835505392,92.23447552
"jobs","cf","TGO",2007,2002,20051.85,16175.95,91.3098309784,92.251086422
"jobs","cf","THA",2000,1990,194631.3243,144544.3342,97.61115779,97.79069881
"jobs","cf","TLS",2003,2000,3926.524,4784.3635,94.658881671,95.2454685968
"jobs","cf","TON",2008,2003,8020.1072,7604.8322,90.4552115402,94.8175583
"jobs","cf","TTO",2006,2001,12267.6981,9160.6501,93.73201151,89.19999981
"jobs","cf","TUN",2008,2003,71625.4455,76153.4459,85.8,85.48565121
"jobs","cf","TUV",2006,2001,531.9475,63.9128,90.9922101293,92.334706602
"jobs","cf","TWN",2008,2003,334006.2362,289522.611,96.1294196435,95.2246430537
"jobs","cf","TZA",2008,2003,272203.666,190358.896,89.4543878916,90.2802384588
"jobs","cf","URY",2004,1999,5315.9946,5283.1681,86.9,88.69999934
"jobs","cf","VCT",2008,2003,2895.06,2895.06,91.3835505392,89.3104095835
"jobs","cf","VEN",2003,1998,33093.6998,64232.364,83.22125089,88.98707717
"jobs","cf","VUT",2005,2003,411.32,1347.3894,94.5211062976,89.0994544851
"jobs","cf","WSM",2004,1999,148.708,8788.01,91.5292087184,92.8717051911
"jobs","cf","YEM",2008,2003,116188.408,77698.348,84.99807914,89.4523825251
"jobs","cf","ZAF",2000,1990,35962.024,16294.6,73.27426904,83.2116558416
"jobs","mar","ABW",2008,2003,0.861585822,7.9297878663,91.3835505392,89.3104095835
"jobs","mar","ALB",2008,2003,682.0084378912,168.03541075341,87.25179073,86.8025818923
"jobs","mar","ARE",2005,2004,108,75.6,96.87526435,89.2250683928
"jobs","mar","ASM",2004,1999,1.136927561326,1.045911978284,90.585864992,89.0625380711
"jobs","mar","ATG",2008,2003,0.472196896335,0.543245535888,91.3835505392,89.3104095835
"jobs","mar","AUS",2004,1999,8112.4887042,0,94.60377799,93.06917607
"jobs","mar","BHR",2008,2002,115.02,43.2,88.3158118634,89.6796966575
"jobs","mar","BRN",2003,1998,47.349514629,66.062323737,94.658881671,95.808469903
"jobs","mar","CHN",2008,2003,3273754.458175,4197029.310143,96.1294196435,95.69999973
"jobs","mar","COD",2002,1998,0,0,90.1973789912,90.2333559822
"jobs","mar","CUB",2008,2004,2173.160477103,1343.7210720615,98.36574266,98.14563675
"jobs","mar","CYP",2008,2003,797.53147722,435.94551324,96.22166247,95.89442815
"jobs","mar","DNK",2008,2003,192.811564215,189.884593116,96.6796875,94.59345398
"jobs","mar","ECU",2006,2004,69908.44097865,69378.36676854,92.30787199,91.44755921
"jobs","mar","EGY",2000,1996,80774.29037089,56792.20171579,91,91.04760877
"jobs","mar","ESP",2006,2001,18254.779839,18033.0450903,91.48886755,89.53113922
"jobs","mar","EST",2008,2003,0,0,94.5323741,89.24242424
"jobs","mar","FIN",2008,2003,1438.18113411,1830.09183786,93.69038885,91.03395651
"jobs","mar","FLK",2008,2003,5.4,5.805,93.2971396621,93.4967228068
"jobs","mar","FRA",2002,2001,22549.6448235,24989.0550687,91.29653696,91.38909259
