"cntry_key","rgn_id"
"CCK",1
"CXR",2
"NFK",3
"HMD",94
"Macquarie Island",4
"NCL",5
"VUT",6
"SLB",7
"PLW",8
"FSM",9
"NRU",10
"MHL",11
"TWN",14
"PHL",15
"AUS",16
"PNG",17
"FJI",18
"TUV",19
"KOR",20
"PRK",21
"KHM",24
"THA",25
"COM",28
"Bassas da India",34
"Ile Europa",35
"Glorioso Islands",30
"Juan de Nova Island",33
"REU",32
"Ile Tromelin",36
"MYT",29
"SYC",31
"MUS",37
"IOT",38
"MDV",39
"LKA",40
"MOZ",41
"MDG",42
"KEN",43
"SOM",44
"ERI",45
"DJI",46
"YEM",47
"OMN",48
"SDN",49
"SAU",50
"KWT",51
"BHR",52
"PAK",53
"ARE",54
"CPV",56
"BEL",59
"GIB",60
"TUN",61
"MAR",62
"ESH",63
"MRT",64
"GMB",65
"SEN",66
"LBY",67
"MLT",68
"LVA",69
"EST",70
"BGR",71
"ROU",72
"RUS",73
"GEO",74
"UKR",75
"TUR",76
"SYR",77
"LBN",78
"ISR",79
"GRC",80
"CYP",81
"ALB",82
"DZA",84
"Amsterdam Island and Saint Paul Island",92
"Crozet Islands",91
"Kerguelen Islands",93
"Ascension",85
"FLK",95
"SGS",89
"SHN",86
"Tristan da Cunha",88
"SLE",96
"LBR",97
"TGO",98
"BEN",99
"COG",100
"NAM",101
"Prince Edward Islands",90
"ZAF",102
"STP",103
"GNQ",104
"GHA",106
"Clipperton Island",107
"BHS",110
"CUB",112
"HTI",114
"DOM",115
"AIA",118
"BMU",108
"CYM",113
"MSR",121
"TCA",111
"VGB",117
"KNA",119
"ATG",120
"LCA",122
"DMA",123
"BRB",124
"GRD",125
"TTO",126
"VCT",127
"Aruba",250
"Bonaire",245
"Curacao",244
"Sint Eustatius",249
"Saba",248
"Southern Saint-Martin",220
"PAN",129
"CRI",130
"NIC",131
"COL",132
"HND",133
"SLV",134
"MEX",135
"GTM",136
"ECU",137
"Galapagos Islands",137
"PER",138
"VEN",139
"MAF",221
"ISL",143
"PCN",146
"PYF",147
"WLF",161
"Jarvis Island",149
"ASM",151
"Howland Island and Baker Island",158
"WSM",152
"TON",155
"Johnston Atoll",159
"Palmyra Atoll",150
"Wake Island",12
"COK",153
"NIU",154
"NZL",162
"TKL",156
"Alaska",163
"Hawaii",163
"USA",163
"BLZ",164
"JAM",166
"GUY",167
"SUR",168
"GUF",169
"BRA",171
"Trindade",171
"ARG",172
"URY",173
"FIN",174
"DNK",175
"FRO",141
"GRL",145
"DEU",176
"NLD",177
"POL",178
"FRA",179
"GBR",180
"GGY",228
"JEY",227
"IRL",181
"Canary Islands",58
"ESP",182
"Azores",55
"Madeira",57
"PRT",183
"ITA",184
"MCO",185
"SCG",186
"HRV",187
"SVN",188
"LTU",189
"QAT",190
"IRN",191
"IRQ",192
"GNB",193
"GIN",194
"CIV",195
"NGA",196
"CMR",197
"GAB",198
"COD",199
"AGO",200
"TZA",202
"Andaman and Nicobar",26
"IND",203
"BGD",204
"MMR",205
"Brunei",247
"Malaysia",206
"VNM",207
"SGP",208
"CHN",209
"JPN",210
"KIR",212
"Line Group",148
"Phoenix Group",157
"ATA",213
"EGY",214
"JOR",215
"IDN",216
"CAN",218
"SPM",219
"SWE",222
"BVT",105
"NOR",223
"SJM",144
"CHL",224
"Easter Island",224
"Oecussi Ambeno",237
"TLS",231
"BIH",232
"PRI",116
"VIR",116
"GLP",140
"MTQ",140
"MNP",13
"GUM",13
