"rgn_id","sciname","value"
82,"Isurus oxyrinchus",0.4
82,"Dermochelys coriacea",0.8
82,"Cetorhinus maximus",0.4
82,"Prionace glauca",0.2
82,"Carcharodon carcharias",0.4
82,"Alopias vulpinus",0.4
82,"Caretta caretta",0.6
84,"Cetorhinus maximus",0.4
84,"Prionace glauca",0.2
84,"Isurus oxyrinchus",0.4
84,"Caretta caretta",0.6
84,"Alopias vulpinus",0.4
84,"Balaenoptera physalus",0.6
84,"Carcharodon carcharias",0.4
151,"Chelonia mydas",0.6
151,"Galeocerdo cuvier",0.2
151,"Triaenodon obesus",0.2
151,"Megaptera novaeangliae",0
151,"Prionace glauca",0.2
151,"Eretmochelys imbricata",0.8
151,"Cheilinus undulatus",0.6
151,"Rhincodon typus",0.4
92,"Megaptera novaeangliae",0
92,"Balaenoptera musculus",0.6
92,"Balaenoptera physalus",0.6
92,"Balaenoptera borealis",0.6
92,"Chelonia mydas",0.6
92,"Eretmochelys imbricata",0.8
200,"Dermochelys coriacea",0.8
200,"Chelonia mydas",0.6
200,"Balaenoptera musculus",0.6
200,"Lepidochelys olivacea",0.4
200,"Alopias vulpinus",0.4
200,"Balaenoptera borealis",0.6
200,"Isurus oxyrinchus",0.4
200,"Balaenoptera physalus",0.6
200,"Galeocerdo cuvier",0.2
200,"Megaptera novaeangliae",0
200,"Rhincodon typus",0.4
200,"Prionace glauca",0.2
118,"Isurus oxyrinchus",0.4
118,"Megaptera novaeangliae",0
118,"Galeocerdo cuvier",0.2
118,"Prionace glauca",0.2
118,"Chelonia mydas",0.6
118,"Rhincodon typus",0.4
118,"Balaenoptera acutorostrata",0
213,"Balaenoptera acutorostrata",0
120,"Isurus oxyrinchus",0.4
120,"Dermochelys coriacea",0.8
120,"Prionace glauca",0.2
120,"Galeocerdo cuvier",0.2
120,"Eretmochelys imbricata",0.8
120,"Rhincodon typus",0.4
120,"Chelonia mydas",0.6
120,"Lepidochelys olivacea",0.4
120,"Balaenoptera acutorostrata",0
120," Carcharhinus perezi",0.2
120,"Megaptera novaeangliae",0
172,"Megaptera novaeangliae",0
172,"Isurus oxyrinchus",0.4
172,"Prionace glauca",0.2
172,"Balaenoptera physalus",0.6
172,"Balaenoptera acutorostrata",0
172,"Alopias vulpinus",0.4
172,"Balaenoptera musculus",0.6
172,"Lamna nasus",0.4
172,"Balaenoptera borealis",0.6
172,"Rhincodon typus",0.4
172,"Cetorhinus maximus",0.4
250,"Eretmochelys imbricata",0.8
250,"Prionace glauca",0.2
250,"Dermochelys coriacea",0.8
250,"Galeocerdo cuvier",0.2
250,"Rhincodon typus",0.4
250,"Chelonia mydas",0.6
250,"Balaenoptera acutorostrata",0
250,"Megaptera novaeangliae",0
250,"Isurus oxyrinchus",0.4
16,"Lepidochelys olivacea",0.4
16,"Phocoena dioptrica",
16,"Delphinus delphis",0
16,"Globicephala macrorhynchus",
16,"Eretmochelys imbricata",0.8
16,"Lagenodelphis hosei",0
16,"Dermochelys coriacea",0.8
16,"Prionace glauca",0.2
16,"Lissodelphis peronii",
16,"Mesoplodon grayi ",
16,"Lagenorhynchus obscurus",
16,"Caretta caretta",0.6
16,"Peponocephala electra",0
16,"Tursiops truncatus",0
16,"Carcharodon carcharias",0.4
16,"Stenella attenuata",0
16,"Cheilinus undulatus",0.6
16,"Balaenoptera borealis",0.6
16,"Megachasma pelagios",
16,"Isurus paucus",0.4
16,"Pseudorca crassidens ",
16,"Mesoplodon layardii",
16,"Stenella longirostris",
16,"Galeocerdo cuvier",0.2
16,"Carcharhinus melanopterus",0.2
16,"Orcinus orca",
16,"Globicephala melas",
16,"Chelonia mydas",0.6
16,"Feresa attenuata",
16,"Lagenorhynchus cruciger",0
16,"Sousa chinensis",0.2
16,"Cetorhinus maximus",0.4
16,"Mesoplodon bowdoini",
16,"Tursiops aduncus",
16,"Carcharhinus amblyrhynchos",0.2
16,"Kogia simus",
16,"Orcaella heinsohni",0.2
16,"Stenella coeruleoalba",0
16,"Steno bredanensis",0
16,"Isurus oxyrinchus",0.4
16,"Grampus griseus",0
16,"Physeter macrocephalus",0.4
16,"Balaenoptera acutorostrata",0
16,"Ziphius cavirostris",0
16,"Balaenoptera edeni",
16,"Triaenodon obesus",0.2
16,"Kogia breviceps",
16,"Tasmacetus shepherdi ",
16,"Hyperoodon planifrons",0
16,"Eubalaena australis ",0
16,"Indopacetus pacificus",
16,"Rhincodon typus",0.4
16,"Balaenoptera physalus",0.6
16,"Mesoplodon densirostris",
16,"Mesoplodon hectori",
16,"Alopias vulpinus",0.4
16,"Lamna nasus",0.4
16,"Mesoplodon ginkgodens",
16,"Megaptera novaeangliae",0
16,"Natator depressus",
16,"Caperea marginata",
16,"Berardius arnuxii ",
16,"Balaenoptera bonaerensis ",
16,"Balaenoptera musculus",0.6
16,"Mesoplodon mirus",
55,"Eubalaena glacialis",1
110,"Eubalaena glacialis",0.6
110,"Carcharodon carcharias",0.4
110,"Balaenoptera borealis",0.6
110,"Dermochelys coriacea",0.8
110,"Isurus oxyrinchus",0.4
110,"Megaptera novaeangliae",0
110,"Balaenoptera acutorostrata",0
110,"Eretmochelys imbricata",0.8
110,"Alopias vulpinus",0.4
110,"Rhincodon typus",0.4
110,"Balaenoptera musculus",0.6
