"rgn_id","type","label"
1,"eez","Cocos Islands"
2,"eez","Christmas Island"
3,"eez","Norfolk Island"
4,"eez","Macquarie Island"
5,"eez","New Caledonia"
6,"eez","Vanuatu"
7,"eez","Solomon Islands"
8,"eez","Palau"
9,"eez","Micronesia"
10,"eez","Nauru"
11,"eez","Marshall Islands"
12,"eez","Wake Island"
13,"eez","Northern Mariana Islands and Guam"
14,"eez","Taiwan"
15,"eez","Philippines"
16,"eez","Australia"
17,"eez","Papua New Guinea"
18,"eez","Fiji"
19,"eez","Tuvalu"
20,"eez","South Korea"
21,"eez","North Korea"
24,"eez","Cambodia"
25,"eez","Thailand"
26,"eez","Andaman and Nicobar"
28,"eez","Comoro Islands"
29,"eez","Mayotte"
30,"eez","Glorioso Islands"
31,"eez","Seychelles"
32,"eez","R_union"
33,"eez","Juan de Nova Island"
34,"eez","Bassas da India"
35,"eez","Ile Europa"
36,"eez","Ile Tromelin"
37,"eez","Mauritius"
38,"eez","British Indian Ocean Territory"
39,"eez","Maldives"
40,"eez","Sri Lanka"
41,"eez","Mozambique"
42,"eez","Madagascar"
43,"eez","Kenya"
44,"eez","Somalia"
45,"eez","Eritrea"
46,"eez","Djibouti"
47,"eez","Yemen"
48,"eez","Oman"
49,"eez","Sudan"
50,"eez","Saudi Arabia"
51,"eez","Kuwait"
52,"eez","Bahrain"
53,"eez","Pakistan"
54,"eez","United Arab Emirates"
55,"eez","Azores"
56,"eez","Cape Verde"
57,"eez","Madeira"
58,"eez","Canary Islands"
59,"eez","Belgium"
60,"eez","Gibraltar"
61,"eez","Tunisia"
62,"eez","Morocco"
63,"eez","Western Sahara"
64,"eez","Mauritania"
65,"eez","Gambia"
66,"eez","Senegal"
67,"eez","Libya"
68,"eez","Malta"
69,"eez","Latvia"
70,"eez","Estonia"
71,"eez","Bulgaria"
72,"eez","Romania"
73,"eez","Russia"
74,"eez","Georgia"
75,"eez","Ukraine"
76,"eez","Turkey"
77,"eez","Syria"
78,"eez","Lebanon"
79,"eez","Israel"
80,"eez","Greece"
81,"eez","Cyprus"
82,"eez","Albania"
84,"eez","Algeria"
85,"eez","Ascension"
86,"eez","Saint Helena"
88,"eez","Tristan da Cunha"
89,"eez","South Georgia and the South Sandwich Islands"
90,"eez","Prince Edward Islands"
91,"eez","Crozet Islands"
92,"eez","Amsterdam Island and Saint Paul Island"
93,"eez","Kerguelen Islands"
94,"eez","Heard and McDonald Islands"
95,"eez","Falkland Islands"
96,"eez","Sierra Leone"
97,"eez","Liberia"
98,"eez","Togo"
99,"eez","Benin"
100,"eez","Republique du Congo"
101,"eez","Namibia"
102,"eez","South Africa"
103,"eez","Sao Tome and Principe"
104,"eez","Equatorial Guinea"
105,"eez","Bouvet Island"
106,"eez","Ghana"
107,"eez","Clipperton Island"
108,"eez","Bermuda"
110,"eez","Bahamas"
111,"eez","Turks and Caicos Islands"
112,"eez","Cuba"
113,"eez","Cayman Islands"
114,"eez","Haiti"
115,"eez","Dominican Republic"
116,"eez","Puerto Rico and Virgin Islands of the United States"
117,"eez","British Virgin Islands"
118,"eez","Anguilla"
119,"eez","Saint Kitts and Nevis"
120,"eez","Antigua and Barbuda"
121,"eez","Montserrat"
122,"eez","Saint Lucia"
123,"eez","Dominica"
124,"eez","Barbados"
125,"eez","Grenada"
126,"eez","Trinidad and Tobago"
127,"eez","Saint Vincent and the Grenadines"
129,"eez","Panama"
130,"eez","Costa Rica"
131,"eez","Nicaragua"
132,"eez","Colombia"
133,"eez","Honduras"
134,"eez","El Salvador"
135,"eez","Mexico"
136,"eez","Guatemala"
137,"eez","Ecuador"
138,"eez","Peru"
139,"eez","Venezuela"
140,"eez","Guadeloupe and Martinique"
141,"eez","Faeroe Islands"
143,"eez","Iceland"
144,"eez","Jan Mayen"
145,"eez","Greenland"
146,"eez","Pitcairn"
147,"eez","French Polynesia"
148,"eez","Line Group"
149,"eez","Jarvis Island"
150,"eez","Palmyra Atoll"
151,"eez","American Samoa"
152,"eez","Samoa"
153,"eez","Cook Islands"
154,"eez","Niue"
155,"eez","Tonga"
156,"eez","Tokelau"
157,"eez","Phoenix Group"
158,"eez","Howland Island and Baker Island"
159,"eez","Johnston Atoll"
161,"eez","Wallis and Futuna"
162,"eez","New Zealand"
163,"eez","United States"
164,"eez","Belize"
166,"eez","Jamaica"
167,"eez","Guyana"
168,"eez","Suriname"
169,"eez","French Guiana"
171,"eez","Brazil"
172,"eez","Argentina"
173,"eez","Uruguay"
174,"eez","Finland"
175,"eez","Denmark"
176,"eez","Germany"
177,"eez","Netherlands"
178,"eez","Poland"
179,"eez","France"
180,"eez","United Kingdom"
181,"eez","Ireland"
182,"eez","Spain"
183,"eez","Portugal"
184,"eez","Italy"
185,"eez","Monaco"
186,"eez","Montenegro"
187,"eez","Croatia"
188,"eez","Slovenia"
189,"eez","Lithuania"
190,"eez","Qatar"
191,"eez","Iran"
192,"eez","Iraq"
193,"eez","Guinea Bissau"
194,"eez","Guinea"
195,"eez","Ivory Coast"
196,"eez","Nigeria"
197,"eez","Cameroon"
198,"eez","Gabon"
199,"eez","Democratic Republic of the Congo"
200,"eez","Angola"
202,"eez","Tanzania"
203,"eez","India"
204,"eez","Bangladesh"
205,"eez","Myanmar"
206,"eez","Malaysia"
207,"eez","Vietnam"
208,"eez","Singapore"
209,"eez","China"
210,"eez","Japan"
212,"eez","Kiribati"
213,"eez","Antarctica"
214,"eez","Egypt"
215,"eez","Jordan"
216,"eez","Indonesia"
218,"eez","Canada"
219,"eez","Saint Pierre and Miquelon"
220,"eez","Sint Maarten"
221,"eez","Northern Saint-Martin"
222,"eez","Sweden"
223,"eez","Norway"
224,"eez","Chile"
227,"eez","Jersey"
228,"eez","Guernsey"
231,"eez","East Timor"
232,"eez","Bosnia and Herzegovina"
237,"eez","Oecussi Ambeno"
244,"eez","Curacao"
245,"eez","Bonaire"
247,"eez","Brunei"
248,"eez","Saba"
249,"eez","Sint Eustatius"
250,"eez","Aruba"
255,"eez","DISPUTED"
260,"fao","Arctic Sea"
261,"fao","Atlantic, Northwest"
262,"fao","Atlantic, Northeast"
263,"fao","Atlantic, Western-Central"
264,"fao","Atlantic, Eastern Central"
265,"fao","Mediterranean And Black Sea"
266,"fao","Atlantic, Southwest"
267,"fao","Atlantic, Southeast"
268,"fao","Atlantic, Antarctic"
269,"fao","Indian Ocean, Western"
270,"fao","Indian Ocean, Eastern"
271,"fao","Indian Ocean, Antarctic And Southern"
272,"fao","Pacific, Northwest"
273,"fao","Pacific, Northeast"
274,"fao","Pacific, Western Central"
275,"fao","Pacific, Eastern Central"
276,"fao","Pacific, Southwest"
277,"fao","Pacific, Southeast"
278,"fao","Pacific, Antarctic"
