"cntry_key","level","georgn_id"
"AGO","r2",17
"AIA","r2",29
"Alaska","r2",21
"ALB","r2",39
"Amsterdam Island and Saint Paul Island","r2",999
"Andaman and Nicobar","r2",35
"ARE","r2",145
"ARG","r2",5
"Aruba","r2",29
"Ascension","r2",154
"ASM","r2",61
"ATG","r2",29
"AUS","r2",53
"Azores","r2",39
"Bassas da India","r2",14
"BEL","r2",155
"BEN","r2",11
"BGD","r2",34
"BGR","r2",151
"BHR","r2",145
"BHS","r2",29
"BIH","r2",39
"BLZ","r2",13
"BMU","r2",29
"Bonaire","r2",29
"BRA","r2",5
"BRB","r2",29
"Brunei","r2",35
"BVT","r2",999
"CAN","r2",21
"Canary Islands","r2",39
"CCK","r2",53
"CHL","r2",5
"CHN","r2",30
"CIV","r2",11
"Clipperton Island","r2",13
"CMR","r2",17
"COD","r2",17
"COG","r2",17
"COK","r2",61
"COL","r2",5
"COM","r2",14
"CPV","r2",11
"CRI","r2",13
"Crozet Islands","r2",999
"CUB","r2",29
"Curacao","r2",29
"CXR","r2",53
"CYM","r2",29
"CYP","r2",145
"DEU","r2",155
"DJI","r2",14
"DMA","r2",29
"DNK","r2",154
"DOM","r2",29
"DZA","r2",15
"Easter Island","r2",5
"ECU","r2",5
"EGY","r2",15
"ERI","r2",14
"ESH","r2",15
"ESP","r2",39
"EST","r2",154
"FIN","r2",154
"FJI","r2",54
"FLK","r2",154
"FRA","r2",155
"FRO","r2",154
"FSM","r2",57
"GAB","r2",17
"Galapagos Islands","r2",5
"GBR","r2",154
"GEO","r2",145
"GGY","r2",154
"GHA","r2",11
"GIB","r2",39
"GIN","r2",11
"Glorioso Islands","r2",14
"GLP","r2",29
"GMB","r2",11
"GNB","r2",11
"GNQ","r2",17
"GRC","r2",39
"GRD","r2",29
"GRL","r2",154
"GTM","r2",13
"GUF","r2",5
"GUM","r2",57
"GUY","r2",5
"Hawaii","r2",21
"HMD","r2",999
"HND","r2",13
"Howland Island and Baker Island","r2",57
"HRV","r2",39
"HTI","r2",29
"IDN","r2",35
"Ile Europa","r2",14
"Ile Tromelin","r2",14
"IND","r2",34
"IOT","r2",34
