"rgn_id","value"
1,0.706
2,0.706
3,0.706
4,0.706
94,0.706
5,0.558
6,0.41
7,0.41
8,0.41
9,0.41
10,0.41
11,0.484
14,0.558
15,0.558
16,0.706
17,0.484
18,0.41
19,0.41
20,0.706
21,0.41
24,0.632
25,0.632
28,0.41
29,0.41
32,0.41
33,0.41
30,0.41
35,0.41
36,0.41
34,0.41
31,0.41
37,0.41
38,0.41
39,0.41
40,0.41
41,0.41
42,0.41
43,0.558
44,0.41
45,0.558
46,0.49528064302477
47,0.558
48,0.41
49,0.484
50,0.41
51,0.632
52,0.491921243882296
53,0.558
54,0.484
56,0.41
59,0.558
60,0.552232838602334
61,0.632
62,0.558
63,0.41
64,0.484
65,0.558
66,0.484
67,0.41
68,0.558
69,0.558
70,0.632
71,0.558
72,0.558
73,0.632
74,0.632
75,0.558
76,0.632
77,0.632
78,0.558
79,0.632
80,0.558
81,0.632
82,0.632
84,0.632
93,0.706
91,0.706
92,0.706
95,0.706
85,0.706
86,0.706
88,0.706
89,0.706
96,0.558
97,0.41
98,0.41
99,0.41
100,0.476034005437632
101,0.78
90,0.632020315255228
102,0.632020315255228
103,0.41
104,0.41
106,0.41
107,0.754190182130853
110,0.632
112,0.706
114,0.484
115,0.558
116,0.633419329343412
111,0.594653877535531
108,0.594653877535531
118,0.594653877535531
117,0.594653877535531
113,0.594653877535531
121,0.594653877535531
119,0.632
120,0.558
122,0.632
123,0.632
124,0.484
125,0.484
126,0.558
127,0.484
250,0.494622084309628
244,0.494622084309628
249,0.494622084309628
245,0.494622084309628
220,0.494622084309628
248,0.494622084309628
129,0.484
130,0.484
131,0.484
132,0.521
133,0.484
134,0.632
135,0.484
136,0.484
137,0.555771907253878
138,0.632
139,0.632
140,0.634392772230147
221,0.634392772230147
143,0.558
146,0.621142670855314
161,0.558
147,0.558
149,0.854
151,0.766195596301105
13,0.766195596301105
158,0.766195596301105
152,0.65
155,0.632
12,0.854
150,0.854
159,0.854
153,0.705884936257682
156,0.705884936257682
154,0.705884936257682
162,0.705884936257682
163,0.632
164,0.632
166,0.484
167,0.484
168,0.558
169,0.484
171,0.53
172,0.632
173,0.632
174,0.558
141,0.704591794613314
175,0.704591794613314
145,0.704591794613314
176,0.558
177,0.558
178,0.632
179,0.632
227,0.632
228,0.632
180,0.632
181,0.558
58,0.55687483917468
182,0.55687483917468
183,0.557413820234056
57,0.557413820234056
55,0.557413820234056
184,0.558
185,0.599830326543704
186,0.552232838602334
187,0.41
188,0.552232838602334
189,0.632
190,0.632
191,0.632
192,0.491921243882296
193,0.484
194,0.41
195,0.41
196,0.484
197,0.41
198,0.558
199,0.484
200,0.47
202,0.632
203,0.410156564229088
26,0.410156564229088
204,0.558
205,0.41
247,0.558
206,0.558
207,0.474246966365504
208,0.474246966365504
209,0.706
210,0.41
212,0.501003586133617
148,0.501003586133617
157,0.501003586133617
,0
214,0.632
215,0.491921243882296
216,0.41
218,0.632
219,0.558
222,0.484
223,0.619839140529518
144,0.619839140529518
105,0.619839140529518
224,0.632050379497039
237,0.474246966365504
231,0.474246966365504
232,0.552232838602334
