"rgn_id","trend_yrs"
6,"4_yr"
7,"4_yr"
13,"4_yr"
14,"4_yr"
16,"4_yr"
17,"4_yr"
18,"4_yr"
24,"4_yr"
25,"4_yr"
29,"4_yr"
32,"4_yr"
41,"4_yr"
43,"4_yr"
48,"4_yr"
50,"4_yr"
51,"4_yr"
52,"4_yr"
61,"4_yr"
62,"4_yr"
65,"4_yr"
66,"4_yr"
70,"4_yr"
75,"4_yr"
79,"4_yr"
80,"4_yr"
81,"4_yr"
82,"4_yr"
84,"4_yr"
101,"4_yr"
102,"4_yr"
115,"4_yr"
116,"4_yr"
119,"4_yr"
129,"4_yr"
132,"4_yr"
134,"4_yr"
135,"4_yr"
136,"4_yr"
137,"4_yr"
138,"4_yr"
139,"4_yr"
141,"4_yr"
147,"4_yr"
153,"4_yr"
155,"4_yr"
163,"4_yr"
164,"4_yr"
171,"4_yr"
175,"4_yr"
176,"4_yr"
177,"4_yr"
179,"4_yr"
180,"4_yr"
181,"4_yr"
182,"4_yr"
183,"4_yr"
184,"4_yr"
187,"4_yr"
188,"4_yr"
196,"4_yr"
203,"4_yr"
206,"4_yr"
207,"4_yr"
208,"4_yr"
209,"4_yr"
210,"4_yr"
216,"4_yr"
218,"4_yr"
223,"4_yr"
224,"4_yr"
5,"5_yr"
8,"5_yr"
9,"5_yr"
10,"5_yr"
15,"5_yr"
19,"5_yr"
20,"5_yr"
21,"5_yr"
31,"5_yr"
37,"5_yr"
40,"5_yr"
42,"5_yr"
53,"5_yr"
54,"5_yr"
67,"5_yr"
68,"5_yr"
71,"5_yr"
73,"5_yr"
76,"5_yr"
95,"5_yr"
110,"5_yr"
111,"5_yr"
112,"5_yr"
130,"5_yr"
131,"5_yr"
133,"5_yr"
140,"5_yr"
143,"5_yr"
152,"5_yr"
162,"5_yr"
166,"5_yr"
167,"5_yr"
168,"5_yr"
172,"5_yr"
173,"5_yr"
174,"5_yr"
186,"5_yr"
190,"5_yr"
191,"5_yr"
202,"5_yr"
204,"5_yr"
205,"5_yr"
212,"5_yr"
214,"5_yr"
222,"5_yr"
231,"5_yr"
232,"5_yr"
245,"5_yr"
247,"5_yr"
