"species_code","species"
465,"European seabass"
586,"Gilthead seabream"
587,"Kuruma prawn"
585,"Mediterranean mussel"
603,"Caramote prawn"
604,"Common sole"
1,"European eel"
605,"European seabass"
606,"Gilthead seabream"
607,"Grooved carpet shell"
608,"Mediterranean mussel"
610,"Mediterranean mussel"
2,"Mullets nei"
609,"Pacific cupped oyster"
406,"Blue mussel"
407,"Pacific cupped oyster"
485,"Aquatic invertebrates nei"
1050,"Atlantic salmon"
486,"Australian mussel"
1061,"Barramundi(=Giant seaperch)"
799,"Blacklip abalone"
1045,"Brine shrimp"
1046,"Brown tiger prawn"
1051,"Brown tiger prawn"
1052,"Chinook(=Spring=King) salmon"
487,"Cupped oysters nei"
1047,"Cupped oysters nei"
1048,"Eastern king prawn"
1053,"Eastern king prawn"
1049,"Eastern school shrimp"
1062,"Flat oysters nei"
796,"Giant tiger prawn"
1063,"Giant tiger prawn"
483,"Indo-Pacific swamp crab"
797,"Kuruma prawn"
800,"Marine crustaceans nei"
488,"Marine fishes nei"
484,"Pacific cupped oyster"
489,"Pacific cupped oyster"
798,"Penaeus shrimps nei"
1054,"Rainbow trout"
1055,"Southern Australia scallop"
490,"Southern bluefin tuna"
491,"Sydney cupped oyster"
1056,"Sydney cupped oyster"
420,"Brine shrimp"
421,"Florida pompano"
422,"Red drum"
20,"Whiteleg shrimp"
527,"Barramundi(=Giant seaperch)"
528,"Gilthead seabream"
529,"Mangrove red snapper"
530,"Orange-spotted grouper"
531,"Sobaity seabream"
532,"White-spotted spinefoot"
60,"Giant tiger prawn"
61,"Indian white prawn"
62,"Marine fishes nei"
63,"Penaeus shrimps nei"
64,"Speckled shrimp"
423,"Cobia"
424,"Palinurid spiny lobsters nei"
21,"Whiteleg shrimp"
589,"Common dentex"
590,"European flat oyster"
591,"European seabass"
592,"Gilthead seabream"
593,"Mediterranean mussel"
408,"Cupped oysters nei"
409,"Groupers nei"
410,"Marine fishes nei"
411,"Marine molluscs nei"
412,"Mullets nei"
413,"Pacific lion's paw"
414,"Scallops nei"
415,"Snooks(=Robalos) nei"
416,"South American rock mussel"
49,"Whiteleg shrimp"
1064,"Barramundi(=Giant seaperch)"
1065,"Blue shrimp"
1066,"Giant tiger prawn"
1067,"Indo-Pacific swamp crab"
1068,"Jacks, crevalles nei"
1069,"Marine fishes nei"
1070,"Orange-spotted grouper"
1071,"Snappers nei"
588,"Mediterranean mussel"
1089,"Barramundi(=Giant seaperch)"
1090,"Blood cockle"
1091,"Green mussel"
98,"Indo-Pacific swamp crab"
1092,"Marine fishes nei"
1088,"Marine molluscs nei"
1093,"Orange-spotted grouper"
99,"Penaeus shrimps nei"
1094,"Snappers nei"
376,"American cupped oyster"
377,"Atlantic bluefin tuna"
378,"Atlantic cod"
379,"Atlantic salmon"
862,"Atlantic salmon"
380,"Blue mussel"
863,"Blue mussel"
381,"Butter clam"
864,"Chinook(=Spring=King) salmon"
865,"Coho(=Silver) salmon"
866,"Japanese carpet shell"
382,"Marine molluscs nei"
867,"Marine molluscs nei"
868,"Pacific cupped oyster"
869,"Rainbow trout"
383,"Salmonids nei"
384,"Scallops nei"
870,"Scallops nei"
1022,"Atlantic salmon"
50,"Bastard halibut"
1023,"Chilean flat oyster"
1024,"Chilean mussel"
1025,"Chinook(=Spring=King) salmon"
1026,"Cholga mussel"
1027,"Choro mussel"
1028,"Coho(=Silver) salmon"
52,"Japanese abalone"
1029,"Masu(=Cherry) salmon"
1030,"Pacific cupped oyster"
1031,"Peruvian calico scallop"
1032,"Rainbow trout"
53,"Red abalone"
51,"Turbot"
888,"Abalones nei"
