"cntry_key","sector","value"
"ABW","cf",862.19
"ABW","mar",0.861585822
"ABW","tour",36400
"AGO","cf",41508.516
"AGO","tour",6678.58700947
"AIA","cf",242.5206
"AIA","tour",3900
"ALB","cf",5162.066
"ALB","mar",682.0084378912
"ALB","tour",104529.506166
"ANT","mmw",0
"ANT","tour",18600
"ARE","cf",32666.718
"ARE","mar",108
"ARE","tour",104797.678395
"ARG","cf",36493.576
"ARG","mmw",367.68
"ARG","tour",109852.002086
"ASM","cf",97.3721
"ASM","mar",1.136927561326
"ASM","mmw",0
"ATA","mmw",84
"ATG","cf",1335.208
"ATG","mar",0.472196896335
"ATG","mmw",0
"ATG","tour",19200
"AUS","cf",5774.3
"AUS","mar",8112.4887042
"AUS","tour",193760.840876
"Azores","mmw",46
"BEL","cf",606.4597
"BEL","tour",48240.2058727
"BEN","cf",45187.457
"BEN","mmw",0
"BEN","tour",3712.47770619
"BGD","cf",2908044.8978
"BGD","mmw",0
"BGD","tour",657293.855076
"BGR","tour",42148.1502504
"BHR","cf",10003.3815
"BHR","mar",115.02
"BHR","mmw",13.405
"BHR","tour",78500
"BHS","mmw",3.83
"BHS","tour",86600
"BIH","tour",8224.56235229
"BLZ","cf",3586.394
"BLZ","mmw",0
"BLZ","tour",23623.4984327
"BMU","cf",290.1388
"BMU","mmw",0
"BMU","tour",9300
"BRA","mmw",310.23
"BRA","tour",319687.483978
"BRB","cf",3550.4035
"BRB","tour",63300
"BRN","cf",477.764
"BRN","mar",47.349514629
"BRN","tour",8487.81070815
"CAN","cf",38904.544
"CAN","tour",289748.450708
"CAN","wte",8.695
"Canary Islands","mmw",576
"CHL","cf",111953.394
"CHL","mmw",19.15
"CHL","tour",269935.179586
"CHN","cf",2879486.792
"CHN","mar",3273754.458175
"CHN","mmw",545.775
"CHN","tour",2003709.61375
"CIV","cf",9836.876
"CIV","tour",13003.7545951
"CMR","cf",23730
"CMR","tour",8336.55999946
"COD","cf",192399.7551
"COD","mar",0
"COD","tour",255.600906227
