"rgn_id","score"
1,4.235
2,4.235
3,5.17
4,5.17
5,4.200183
6,4.200183
7,2.59
8,4.200183
9,4.200183
10,2.59
11,4.200183
12,
13,4.200183
14,4.71
15,3.93
16,5.17
17,4.200183
18,4.200183
19,4.200183
20,4.91
21,2.59
24,3.56
25,4.47
26,4.235
28,3.695
29,3.695
30,3.695
31,4.51
32,3.695
33,3.695
34,3.695
35,3.695
36,3.695
37,4.28
38,3.646
39,3.646
40,3.99
41,3.17
42,3.09
43,3.66
44,3.695
45,3.695
46,3.695
47,2.96
48,4.29
49,3.66
50,4.17
51,3.61
52,4.3
53,3.25
54,4.86
55,4.638
56,3.87
57,3.66
58,3.66
59,5.04
60,4.638
61,3.66
62,4.03
63,3.66
64,2.91
65,3.73
66,3.49
67,3.66
68,4.92
69,4.43
70,4.82
71,4.38
72,4.04
73,4.16
74,4.1
75,3.98
76,4.44
77,4.201538462
78,4.04
79,4.34
80,4.75
81,4.84
82,3.97
84,3.07
85,3.251
86,3.251
88,3.251
89,
90,
91,
92,
93,
94,
95,3.953
96,2.87
97,3.251
98,3.251
99,3.09
100,3.27
101,3.77
102,4.13
103,3.27
104,3.27
105,
106,3.38
107,4.01
108,5.3
110,3.953333333
111,3.953333333
112,3.953333333
113,3.953333333
114,2.59
115,3.88
116,4.36
117,3.953333333
118,3.953333333
119,3.953333333
120,3.953333333
121,3.953333333
122,3.953333333
123,3.953333333
124,4.88
125,3.953333333
126,3.93
127,3.953333333
129,4.54
130,4.44
131,3.67
132,3.9
133,3.72
134,3.59
135,4.46
136,3.65
137,3.93
138,4
139,3.41
140,3.953333333
141,4.94
143,5.1
144,4.94
145,5.3
146,
147,4.200183
148,2.59
149,
150,
151,4.200183
152,4.200183
153,4.200183
154,4.200183
155,4.200183
156,2.59
157,2.59
158,
159,
161,4.200183
162,5.17
163,5.32
164,4.01
166,4.08
167,3.6
168,3.63
169,3.953
171,4.37
172,4.17
173,4.23
174,5.1
175,4.98
176,5.39
177,5.14
178,4.47
179,5.31
180,5.38
181,5.01
182,5.38
183,5.01
184,4.9
185,5.22
186,4.5
187,4.59
188,4.58
189,4.39
190,4.49
191,3.64
192,4.201538462
193,3.251
194,2.88
195,3.15
196,3.14
197,3.27
198,3.27
199,3.27
200,3.27
202,3.46
203,4.11
204,3.24
205,4.235
206,4.7
207,3.95
208,5.23
209,5.11
210,4.45
212,5.13
214,3.88
215,4.18
216,4.03
218,5.28
219,5.3
220,3.953333333
221,3.953333333
222,5.24
223,4.95
224,4.29
227,4.94
228,4.94
231,4.235
232,3.78
237,4.235
244,3.953333333
245,3.953333333
247,4.01
248,3.953333333
249,3.953333333
250,3.953333333
