"cntry_key","year","usd"
"AGO",1985,1852.6539
"AGO",1986,1893.418283
"AGO",1987,2049.995372
"AGO",1988,2185.987078
"AGO",1989,2220.008106
"AGO",1990,2234.442291
"AGO",1991,2214.322315
"AGO",1992,2037.991735
"AGO",1993,1517.311273
"AGO",1994,1551.730671
"AGO",1995,1700.6122
"AGO",1996,1870.935585
"AGO",1997,2003.052429
"AGO",1998,2112.249454
"AGO",1999,2151.558338
"AGO",2000,2196.949764
"AGO",2001,2243.190009
"AGO",2002,2522.058386
"AGO",2003,2568.169234
"AGO",2004,2833.543356
"AGO",2005,3343.426799
"AGO",2006,4026.239662
"AGO",2007,4909.693214
"AGO",2008,5524.018435
"AGO",2009,5522.427858
"AGO",2010,5602.73731
"AGO",2011,5760.124712
"AGO",2012,6105.39804
"AIA",1980,3919.32103455556
"AIA",1981,4215.03825711111
"AIA",1982,4549.43200744444
"AIA",1983,4700.01098422222
"AIA",1984,5201.05399777778
"AIA",1985,5774.1799496
"AIA",1986,6198.774227
"AIA",1987,6588.34998
"AIA",1988,7104.6613571
"AIA",1989,7700.4806339
"AIA",1990,8054.3109475
"AIA",1991,7556.63722536364
"AIA",1992,7623.02834967273
"AIA",1993,7835.58229103636
"AIA",1994,8147.03574002727
"AIA",1995,8428.34491650909
"AIA",1996,8861.07303210909
"AIA",1997,9337.06900898182
"AIA",1998,9835.56487438182
"AIA",1999,10365.6038882727
"AIA",2000,10767.9511953636
"AIA",2001,10921.7729505455
"AIA",2002,11233.4011159091
"AIA",2003,11806.6262412727
"AIA",2004,12450.5255216909
"AIA",2005,12830.11514825
"AIA",2006,14573.0809867273
"AIA",2007,15451.0667736364
"AIA",2008,15925.1000671818
"AIA",2009,15162.4603719091
"AIA",2010,15276.7627539091
"AIA",2011,15555.0724375859
"AIA",2012,15935.888856132
"ALB",1980,1978.272001
"ALB",1981,2235.225563
"ALB",1982,2386.304685
"ALB",1983,2451.231704
"ALB",1984,2452.070866
"ALB",1985,2507.940163
"ALB",1986,2636.355222
"ALB",1987,2618.290977
"ALB",1988,2603.00929
