"target","layer","name","description","citation_2012n","citation_2013a","fld_value","units","gapfilling","X2013a_source","children","children_notes","disaggregation.function","updated","still.to.do.with.2013a.file.","dir_2012a","fn_2012a","dir_2013a","fn_2013a","ingest","fn_nature2012","id_num","id_chr","category","year","value_num","value_chr"
"AO","rn_ao_access","Fisheries management effectiveness and opportunity","The opportunity for artisanal and recreational fishing based on the quality of management of the small- scale fishing sector (Mora et al 2009)","7.04","5.04","value","value",,"2012a","parent",,,"N",,"neptune_data:model/GL-NCEAS-Resilience_v2013a/data","r_mora_s4_2013a.csv","neptune_data:model/GL-NCEAS-Resilience_v2013a/data","r_mora_s4_2013a.csv",TRUE,"ao_access.csv",,"country_id",,,"score",
"AO","rny_ao_need","Purchasing power parity as a proxy for subsistence fishing need, by region","The per capita purchasing power parity (PPP) adjusted gross domestic product (GDP): GDPpcPPP","7.05","5.05","value","value",,"new","new",,,"U",,"neptune_data:model/GL-NCEAS-ArtisanalOpportunities_v2013a/data","rgn_wb_gdppcppp_rescaled_year_2012b.csv","neptune_data:model/GL-NCEAS-ArtisanalOpportunities_v2013a/data","rgn_wb_gdppcppp_rescaled_year_2013b.csv",TRUE,"ao_need.csv",,"country_id",,"year","score",
"CW","rn_cw_coastalpopn_trend","Coastal human population as a proxy for trend in trash","Coastal population, defined as the total population inland of 25 miles ","6I","5.09","trend","trend score",,"2012a","new",,,"U",,"neptune_data:model/GL-NCEAS-CoastalPopulation_v2013/data","rgn_popn5yrtrend_inland25mi_2007to2012.csv","neptune_data:model/GL-NCEAS-CoastalPopulation_v2013/data","rgn_popn5yrtrend_inland25mi_2008to2013.csv",TRUE,,,,,,,
"CW","rn_cw_fertilizer_trend","Fertilizer consumption as a proxy for trend in nutrient pollution","Statistics on fertilizer consumption from the Food and Agricultural Organization (FAO) ","7.19","5.19","trend.score","trend score",,"new","new","use coastpop to gap-fill v2013a and v2012a (NOTE: trend needs to be normalized)",,"U",,"neptune_data:model/GL-NCEAS_CW_trends_v2013a/data","GL-NCEAS_CW_Fertilizers_trend_v2012a.csv","neptune_data:model/GL-NCEAS_CW_trends_v2013a/data","GL-NCEAS_CW_Fertilizers_trend_v2013a.csv",TRUE,,,,,,,
"CW","rn_cw_pathogen_trend","Trends in access to improved sanitation as a proxy for pathogen pollution trend","Trends in percent of population with access to improved sanitation facilities ","7.53","5.57","trend","trend score",,"new","new",,,"U",,"neptune_data:model/GL-NCEAS-Pressures_v2013a/data","po_pathogens_trend_sanitation2008to2011_popninland25km2008to2013.csv","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","po_pathogens_trend_sanitation2008to2011_popninland25km2008to2013.csv",TRUE,,,,,,,
"CW","rn_cw_pesticide_trend","Pesticide consumption as a proxy for trend in chemical pollution","Statistics on pesticides consumption from the Food and Agricultural Organization (FAO) ","6I","5.58","trend.score","trend score",,"new","new","use coastpop to gap-fill v2013a and v2012a (NOTE: trend needs to be normalized)",,"U",,"neptune_data:model/GL-NCEAS_CW_trends_v2013a/data","GL-NCEAS_CW_Pesticides_trend_v2012a.csv","neptune_data:model/GL-NCEAS_CW_trends_v2013a/data","GL-NCEAS_CW_Pesticides_trend_v2013a.csv",TRUE,,,,,,,
"FIS","fnk_fis_b_bmsy","B/Bmsy estimates obtained using the catch-MSY method",,"6A","6A","b_bmsy","B / B_msy",,,,,,,,"neptune_data:model/GL-NCEAS_FIS_v2013a/RevisingFIS/data/","fnk_fis_b_bmsy_lyr.csv","neptune_data:model/GL-NCEAS_FIS_v2013a/RevisingFIS/data/","fnk_fis_b_bmsy_lyr.csv",TRUE,,,,,,,
"FIS","rn_fis_trend","Fisheries trend","Modeled fisheries trend based on the Sea Around Us Project (status)","6A","5.2","trend","trend score",,,"new",,,"L",,"neptune_data:model/GL-NCEAS_FIS_v2012a","FIS_Trend_2012a_lyr.csv","neptune_data:model/GL-NCEAS_FIS_v2013a","FIS_Trend_2013a_lyr.csv",FALSE,,,,,,,
"FIS","snk_fis_meancatch","Catch data for each Taxon/FAO/SAUP region averaged across years (1980-2011)","Reported data includes years 2006-2011","6A","6A","mean_catch","metric tons",,,,,,,,"neptune_data:model/GL-NCEAS_FIS_v2013a/RevisingFIS/data/","snk_fis_meancatch_lyr.csv","neptune_data:model/GL-NCEAS_FIS_v2013a/RevisingFIS/data/","snk_fis_meancatch_lyr.csv",TRUE,,,,,,,
"FIS","snk_fis_proparea_saup2rgn","area of each saup/total OHI reporting region","For converting saup regions to OHI reporting regions","6A","6A","prop_area","proportion of area",,,,,,,,"neptune_data:model/GL-NCEAS_FIS_v2013a/RevisingFIS/data/","snk_fis_proparea_saup2rgn_lyr.csv","neptune_data:model/GL-NCEAS_FIS_v2013a/RevisingFIS/data/","snk_fis_proparea_saup2rgn_lyr.csv",TRUE,,,,,,,
