goal,unweighted,preservationist,extractive,nonextractive,extreme,cc_workshop
AO,0.1,0.05,0.15,0.05,0.176470588,0.075
BD,0.1,0.15,0.05,0.15,0.029411765,0.075
CP,0.1,0.15,0.1,0.1,0.088235294,0.073
CS,0.1,0.15,0.05,0.05,0.029411765,0.087
CW,0.1,0.15,0.05,0.1,0.029411765,0.205
FP,0.1,0.05,0.15,0.1,0.176470588,0.086
LE,0.1,0.1,0.15,0.1,0.176470588,0.053
NP,0.1,0.05,0.15,0.05,0.176470588,0.101
SP,0.1,0.1,0.05,0.15,0.029411765,0.177
TR,0.1,0.05,0.1,0.15,0.088235294,0.068
