layer,type,weight
rfmo,regulatory,1
UNFCCC_Kyoto,regulatory,0.5
UNEP_gap_report,regulatory,0.5
Marpol_aliens,regulatory,1
Marpol_poll,regulatory,1
MPAs,regulatory,1
