Common_name,Scientific_name,Population,Taxon,Range,COSEWIC_Status,Schedule,SARA_status
Beluga Whale,Delphinapterus leucas,Eastern Beaufort Sea population,Mammals,"Northwest Territories, Arctic Ocean",Not at Risk,,
Beluga Whale,Delphinapterus leucas,Western Hudson Bay population,Mammals,"Nunavut, Manitoba, Ontario, Arctic Ocean, Atlantic Ocean",Special Concern,No schedule,No Status
Beluga Whale,Delphinapterus leucas,Southeast Baffin Island-Cumberland Sound population,Mammals,"Nunavut, Arctic Ocean",Non-active,Schedule 2,Endangered
Bering Wolffish,Anarhichas orientalis,,Fishes,Arctic Ocean,Data Deficient,Schedule 3,Special Concern
Blackline Prickleback,Acantholumpenus mackayi,,Fishes,Arctic Ocean,Data Deficient,Schedule 3,Special Concern
Bowhead Whale,Balaena mysticetus,Bering-Chukchi-Beaufort population,Mammals,Arctic Ocean,Special Concern,Schedule 1,Special Concern
Bowhead Whale,Balaena mysticetus,Eastern Arctic population,Mammals,Arctic Ocean,Non-active,Schedule 2,Endangered
Bowhead Whale,Balaena mysticetus,Eastern Canada-West Greenland population,Mammals,Arctic Ocean,Special Concern,No schedule,No Status
Fourhorn Sculpin,Myoxocephalus quadricornis,Salt water form,Fishes,"Pacific Ocean, Arctic Ocean, Atlantic Ocean",Not at Risk,,
Grey Whale,Eschrichtius robustus,Eastern North Pacific population,Mammals,"Pacific Ocean, Arctic Ocean",Special Concern,Schedule 1,Special Concern
Harbour Seal Atlantic and Eastern Arctic subspecies,Phoca vitulina concolor,,Mammals,"Nunavut, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador, Arctic Ocean, Atlantic Ocean",Not at Risk,,
Hooded Seal,Cystophora cristata,,Mammals,"Arctic Ocean, Atlantic Ocean",Not at Risk,,
Humpback Whale,Megaptera novaeangliae,Western North Atlantic population,Mammals,"Arctic Ocean, Atlantic Ocean",Not at Risk,Schedule 3,Special Concern
Killer Whale,Orcinus orca,Northwest Atlantic / Eastern Arctic population,Mammals,"Arctic Ocean, Atlantic Ocean",Special Concern,No schedule,No Status
Narwhal,Monodon monoceros,,Mammals,Arctic Ocean,Special Concern,No schedule,No Status
Northern Wolffish,Anarhichas denticulatus,,Fishes,"Arctic Ocean, Atlantic Ocean",Threatened,Schedule 1,Threatened
Polar Bear,Ursus maritimus,,Mammals,"Yukon, Northwest Territories, Nunavut, Manitoba, Ontario, Quebec, Newfoundland and Labrador, Arctic Ocean",Special Concern,Schedule 1,Special Concern
Ringed Seal,Phoca hispida,,Mammals,"Arctic Ocean, Atlantic Ocean",Not at Risk,,
Roundnose Grenadier,Coryphaenoides rupestris,,Fishes,"Arctic Ocean, Atlantic Ocean",Endangered,No schedule,No Status
Spotted Wolffish,Anarhichas minor,,Fishes,"Arctic Ocean, Atlantic Ocean",Threatened,Schedule 1,Threatened
Thorny Skate,Amblyraja radiata,,Fishes,"Nunavut, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador, Arctic Ocean, Atlantic Ocean",Special Concern,No schedule,No Status
