Common_name,Scientific_name,Source
Leather star,Dermasterias imbricata,Royal Canadian Mint
Orca,Orcinus orca,Royal Canadian Mint
Beluga,Delphinapterus leucas,Royal Canadian Mint
Bowhead,Balaena mysticetus,Royal Canadian Mint
Polar Bear,Ursus maritimus,Royal Canadian Mint
Bald Eagle,Haliaeetus leucocephalus,Royal Canadian Mint
Common Loon,Gavia immer,Royal Canadian Mint
Humpback,Megaptera novaeangliae,Royal Canadian Mint
Atlantic Cod,Gadus morhua,Royal Canadian Mint
Lobster,Homarus americanus,Royal Canadian Mint
Blue whale,Balaenoptera musculus,Royal Canadian Mint
Atlantic Salmon,Salmo salar,Royal Canadian Mint (referring to salmon in general)
Sockeye Salmon,Oncorhynchus nerka,Royal Canadian Mint (referring to salmon in general)
Chinook Salmon,Oncorhynchus tshawytscha,Royal Canadian Mint (referring to salmon in general)
Coho Salmon,Oncorhynchus kisutch,Royal Canadian Mint (referring to salmon in general)
Pink Salmon,Oncorhynchus gorbuscha,Royal Canadian Mint (referring to salmon in general)
Chum Salmon,Oncorhynchus keta,Royal Canadian Mint (referring to salmon in general)
Steelhead,Oncorhynchus mykiss,Royal Canadian Mint (referring to salmon in general)
