"","name","type","latitude","longitude","population","year","gas","est_RFNB"
"70","Woodstock","First Nations","46.109192","-67.57747","554","1979","24.375","144.706485845057"
"71","Eagle Lake","First Nations","49.745","-93.055","428","1979","22.625","123.00207211365"
"72","Rainy River First Nations","First Nations","48.655","-93.906944444","561","1979","22.625","153.637583136275"
"73","Lac Des Mille Lacs","First Nations","48.965046882","-90.647195987","429","1979","22.625","226.697145168726"
"74","Wabaseemoong Independent Nations","First Nations","50.133333","-94.95","159","1979","22.625","225.073880763766"
"75","Big Grassy","First Nations","49.053956465","-94.305554548","497","1979","22.625","125.831834102938"
"76","Iskatewizaagegan #39 Independent First Nation","First Nations","49.653055556","-95.098055556","438","1979","22.625","205.468459209792"
"77","Ojibways of Onigaming First Nation","First Nations","49.176944444","-93.921111111","503","1979","22.625","196.270581634978"
"78","Grassy Narrows First Nation","First Nations","50.183055556","-94.036944444","99","1979","22.625","125.562907318863"
"79","Wabigoon Lake Ojibway Nation","First Nations","49.605","-92.523056","462","1979","22.625","147.9479202286"
"80","Ochiichagwe'babigo'ining First Nation","First Nations","49.893748992","-94.538129049","369","1979","22.625","127.407140583495"
"81","Naicatchewenin","First Nations","48.858888889","-93.578888889","376","1979","22.625","173.326557581305"
"82","Nigigoonsiminikaaning First Nation","First Nations","48.73846477","-92.925954105","319","1979","22.625","129.159772710367"
"83","Kingsclear","First Nations","45.950442","-66.851933","558","1979","24.375","125.768155781382"
"84","Shoal Lake No.40","First Nations","49.605561944","-95.132423611","433","1979","22.625","132.572877767242"
"85","Seine River First Nation","First Nations","48.718888889","-92.428055556","491","1979","22.625","185.982690094481"
"86","Lac Seul","First Nations","50.245","-92.328055556","304","1979","22.625","149.620903645833"
"87","Skuppah","First Nations","50.187988281","-121.578063965","39","1979","23.2083333333333","122.908225829639"
"88","Toosey","First Nations","51.920410156","-122.483764648","298","1979","23.2083333333333","231.73910537877"
"89","Première nation de Whapmagoostui","First Nations","55.16003418","-77.269897461","540","1979","23.95","175.316210615726"
"90","Katzie","First Nations","49.201504","-122.677245","417","1979","23.2083333333333","122.469158179969"
"91","Membertou","First Nations","46.116621","-60.195615","82","1979","25.8166666666667","278.145961593988"
"92","Yekooche First Nation","First Nations","54.600402832","-125.066101074","202","1979","23.2083333333333","156.899904492482"
"93","York Factory First Nation","First Nations","56.089782715","-96.108276367","55","1979","22.625","168.650517863148"
"94","Nisga'a Village of Laxgalt'sap","First Nations","55.037841797","-129.555786133","133","1979","23.2083333333333","133.086900124165"
"95","Acadia","First Nations","43.832917","-66.084223","94","1979","24.375","222.955265507735"
"96","Waycobah First Nation","First Nations","45.967398945","-61.135483371","555","1979","25.8166666666667","133.660992901409"
"97","Tlowitsis Tribe","First Nations","50.531982422","-125.982666016","350","1979","23.2083333333333","130.8697316448"
"98","Haisla Nation","First Nations","53.973205566","-128.648071289","141","1979","23.2083333333333","211.24540144728"
"99","Tsawwassen First Nation","First Nations","49.041920768","-123.100158446","311","1979","23.2083333333333","199.911088594129"
"100","Chawathil","First Nations","49.378888889","-121.555","426","1979","23.2083333333333","129.207438959146"
