year,mean,unc
1980,338.8,0.1
1981,340,0.1
1982,340.76,0.1
1983,342.44,0.1
1984,343.98,0.1
1985,345.46,0.1
1986,346.89,0.1
1987,348.63,0.1
1988,351.17,0.1
1989,352.78,0.1
1990,353.98,0.1
1991,355.3,0.1
1992,356.01,0.1
1993,356.74,0.1
1994,358.21,0.1
1995,360.04,0.1
1996,361.81,0.1
1997,362.92,0.1
1998,365.56,0.1
1999,367.64,0.1
2000,368.85,0.1
2001,370.4,0.1
2002,372.42,0.1
2003,374.97,0.1
2004,376.78,0.1
2005,378.81,0.1
2006,380.93,0.1
2007,382.7,0.1
2008,384.79,0.1
2009,386.28,0.1
2010,388.57,0.1
2011,390.49,0.1
2012,392.52,0.1
2013,395.33,0.1
